Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home AB,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Home BP AB,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away AB,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO,Away BP AB
2025-08-02,Tampa Bay Rays,Drew Rasmussen,2.96,1.04,100.1,87,.218,362,4.01,1.24,884.1,845,3339,Los Angeles Dodgers,Blake Snell,2.0,2.0,9.0,4.0,.270,37.0,4.22,1.3,971.1,962.0,3670.0
2025-08-02,Chicago Cubs,Matthew Boyd,2.47,1.06,123.2,110,.227,449,4.14,1.25,846.0,702,3214,Baltimore Orioles,Tomoyuki Sugano,4.38,1.33,109.0,71.0,.270,433.0,4.92,1.42,857.1,826.0,3328.0
2025-08-02,Toronto Blue Jays,Max Scherzer,4.89,1.09,35.0,39,.233,129,4.29,1.27,948.2,955,3596,Kansas City Royals,Noah Cameron,2.44,1.0,81.0,71.0,.196,296.0,3.63,1.25,898.1,815.0,3393.0
2025-08-02,Colorado Rockies,Austin Gomber,6.28,1.66,38.2,22,.325,166,5.72,1.6,912.8,695,3656,Pittsburgh Pirates,Paul Skenes,1.83,0.9,133.0,146.0,.184,477.0,4.1,1.26,840.0,691.0,3170.0
2025-08-02,Philadelphia Phillies,Zack Wheeler,2.56,0.89,133.2,172,.190,479,4.0,1.31,836.9,826,3226,Detroit Tigers,Tarik Skubal,2.09,0.84,133.2,171.0,.194,480.0,4.02,1.3,849.9,779.0,3238.0
2025-08-02,Washington Nationals,Jake Irvin,4.69,1.29,126.2,86,.249,493,5.3,1.44,830.9,736,3237,Milwaukee Brewers,Brandon Woodruff,2.01,0.72,22.1,29.0,.163,80.0,3.72,1.26,947.0,914.0,3551.0
2025-08-02,Boston Red Sox,Walker Buehler,5.72,1.54,89.2,71,.276,352,3.55,1.27,905.8,851,3408,Houston Astros,Colton Gordon,4.74,1.42,62.2,54.0,.302,258.0,3.59,1.17,917.8,1010.0,3397.0
2025-08-02,New York Mets,Kodai Senga,2.0,1.21,85.2,82,.204,309,3.72,1.32,890.8,857,3374,San Francisco Giants,Kai-Wei Teng,,,,,,,,,,,
2025-08-02,Seattle Mariners,Luis Castillo,3.19,1.21,127.0,111,.243,486,3.93,1.26,877.2,827,3306,Texas Rangers,Merrill Kelly,3.22,1.06,128.2,121.0,.206,475.0,3.25,1.19,855.9,785.0,3177.0
2025-08-02,Cleveland Guardians,Tanner Bibee,4.39,1.22,121.0,107,.249,461,3.78,1.32,848.2,806,3177,Minnesota Twins,Bailey Ober,5.28,1.41,92.0,74.0,.289,374.0,4.16,1.26,865.0,851.0,3309.0
2025-08-02,Miami Marlins,Eury Pérez,3.07,0.95,44.0,46,.172,157,4.5,1.33,917.1,806,3521,New York Yankees,Cam Schlittler,4.91,1.84,14.2,15.0,.305,59.0,4.03,1.24,959.8,959.0,3614.0
2025-08-02,Cincinnati Reds,Chase Burns,6.26,1.54,27.1,45,.265,113,3.82,1.23,954.1,876,3589,Atlanta Braves,Spencer Strider,3.71,1.22,77.2,92.0,.222,284.0,4.28,1.29,886.0,889.0,3340.0
2025-08-02,Athletics,J.T. Ginn,3.89,1.18,44.0,47,.250,168,5.04,1.41,948.0,850,3670,Arizona Diamondbacks,Zac Gallen,5.6,1.35,127.0,121.0,.254,493.0,4.45,1.34,848.2,787.0,3277.0
2025-08-02,Los Angeles Angels,Kyle Hendricks,4.73,1.25,106.2,70,.258,414,4.6,1.45,869.8,791,3347,Chicago White Sox,Aaron Civale,4.38,1.34,63.2,48.0,.252,246.0,4.06,1.37,896.0,766.0,3402.0
2025-08-02,San Diego Padres,Randy Vásquez,3.65,1.37,103.2,52,.242,389,3.5,1.19,867.8,875,3217,St. Louis Cardinals,Michael McGreevy,4.91,1.21,33.0,19.0,.269,130.0,4.12,1.28,947.2,785.0,3648.0
