Date,Away Team,Away Starter,Home Team,Home Starter
2025-05-29,Atlanta Braves,AJ Smith-Shawver,Philadelphia Phillies,Cristopher Sánchez
2025-05-29,Atlanta Braves,Chris Sale,Philadelphia Phillies,Zack Wheeler
2025-05-29,Athletics,Jacob Lopez,Toronto Blue Jays,José Berríos
2025-05-29,Tampa Bay Rays,Shane Baz,Houston Astros,Ryan Gusto
2025-05-29,Washington Nationals,MacKenzie Gore,Seattle Mariners,Emerson Hancock
