Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Yankees10.0,KCR6.6,PHI5.9,NYM2.4,CHC8.8,CHC2.3,LAD1.7,CHC1.3,BOS2.2,KCR2.0,CLE1.5,CHC2.3,NYY2.7,NYY4.0,LAD1.8,BOS0.2
2,New York Mets9.0,NYM6.1,KCR5.1,MIN1.9,LAD7.3,SEA1.4,ATL1.4,MIL0.9,HOU1.5,HOU1.9,TEX1.1,MIN1.4,SDP1.8,CHC3.9,BOS1.4,TOR0.2
3,Chicago Cubs6.7,PHI5.5,NYM3.7,HOU1.8,NYY7.2,ATL1.2,NYM1.0,SFG0.8,SFG1.4,ARI1.8,WSN1.1,SEA1.1,LAD1.8,BOS2.7,PHI1.3,LAD0.2
4,Philadelphia Phillies5.9,MIN4.4,CIN3.0,SFG1.6,BOS4.7,BOS1.0,NYY0.9,ARI0.6,SDP1.1,WSN1.4,SEA1.0,HOU0.9,BOS1.4,MIN1.9,NYY1.1,TBR0.2
5,Los Angeles Dodgers4.1,HOU2.9,TEX2.8,KCR1.5,NYM2.9,MIL1.0,PHI0.8,STL0.6,TEX1.0,TEX1.4,STL0.9,NYY0.9,CHC1.3,DET1.4,ATL0.9,NYM0.1
6,Detroit Tigers4.0,NYY2.8,MIN2.5,NYY0.8,SEA2.7,LAD0.9,TBR0.7,TOR0.5,CLE0.9,ATH1.2,DET0.5,BOS0.9,ARI1.2,LAD1.2,SEA0.6,HOU0.0
7,Minnesota Twins4.0,SDP2.3,LAA2.2,SEA0.5,DET2.3,CIN0.8,DET0.5,LAD0.4,ATL0.5,LAD1.1,MIN0.5,MIA0.8,TBR1.0,SEA1.2,CHC0.5,CIN0.0
8,Houston Astros3.8,CIN2.3,SDP2.1,SDP0.2,STL2.1,NYM0.8,CHC0.4,NYM0.4,COL0.4,NYY1.1,BOS0.4,LAD0.8,NYM0.9,TEX1.1,BAL0.3,MIA0.0
9,Boston Red Sox3.1,DET1.7,DET2.1,COL0.0,ARI1.8,TOR0.7,TOR0.4,NYY0.4,DET0.3,TBR1.0,NYY0.4,SFG0.8,HOU0.5,SDP1.1,STL0.1,ATL0.0
10,St. Louis Cardinals2.5,SFG1.4,NYY1.9,DET-0.4,ATL1.8,CHW0.4,MIL0.4,CLE0.2,ARI0.3,LAA1.0,CHC0.3,STL0.7,DET0.4,STL1.0,CLE0.1,ARI-0.1
11,Seattle Mariners2.4,ARI0.5,CHW1.7,PHI-0.5,TBR1.6,DET0.4,CLE0.2,PHI0.1,CHW0.2,PHI1.0,SFG0.0,TOR0.7,TEX0.2,SFG1.0,ATH0.0,DET-0.1
12,Arizona Diamondbacks2.3,STL0.4,ARI1.6,BOS-0.6,HOU0.9,CLE0.3,ARI0.0,DET0.1,BAL0.1,BAL0.9,LAA-0.1,KCR0.6,SFG0.2,TBR0.7,ARI0.0,ATH-0.1
13,Kansas City Royals1.7,PIT-0.1,PIT1.6,TBR-0.7,TOR0.9,MIN0.3,BAL-0.2,TBR0.1,LAD0.0,SEA0.9,PHI-0.1,SDP0.6,ATH0.1,NYM0.6,DET-0.1,NYY-0.1
14,San Diego Padres1.4,SEA-0.3,ATH1.5,ATL-0.7,PHI0.4,STL0.3,STL-0.3,SEA0.0,TOR0.0,CHC0.9,TOR-0.2,DET0.5,MIN0.0,WSN0.5,MIN-0.1,CHC-0.1
15,San Francisco Giants1.1,CHW-0.3,STL1.3,CIN-0.7,TEX0.3,MIA0.0,ATH-0.3,CHW-0.1,KCR0.0,STL0.7,NYM-0.2,CIN0.3,CIN0.0,HOU0.3,CIN-0.3,PHI-0.2
16,Atlanta Braves0.7,CLE-0.9,WSN1.2,CLE-0.8,SFG-0.3,LAA0.0,LAA-0.4,PIT-0.1,STL-0.1,NYM0.6,MIL-0.2,TBR0.3,MIA-0.3,MIA0.2,SFG-0.4,STL-0.2
17,Cincinnati Reds0.0,ATH-0.9,MIL1.0,ARI-1.0,MIN-0.4,NYY0.0,TEX-0.4,MIA-0.1,WSN-0.2,PIT0.5,CIN-0.2,PIT0.1,BAL-0.3,TOR0.1,NYM-0.4,LAA-0.2
18,Tampa Bay Rays-0.1,TEX-0.9,HOU1.0,STL-1.0,SDP-0.9,ATH0.0,MIN-0.6,MIN-0.3,NYM-0.2,CIN0.3,BAL-0.3,NYM-0.1,MIL-0.4,CIN0.1,SDP-0.5,WSN-0.2
19,Texas Rangers-0.6,ATL-1.1,CLE-0.2,TOR-1.1,BAL-1.3,TBR-0.1,KCR-0.8,BAL-0.3,NYY-0.2,ATL0.0,MIA-0.3,WSN-0.2,WSN-0.4,ARI-0.5,PIT-0.5,SFG-0.3
20,Toronto Blue Jays-1.5,MIL-1.2,SFG-0.2,MIA-1.5,WSN-1.8,PIT-0.2,SEA-0.8,SDP-0.3,SEA-0.3,TOR-0.1,ATH-0.3,TEX-0.2,ATL-0.4,MIL-0.9,TBR-0.5,BAL-0.3
21,Cleveland Guardians-3.1,BOS-1.6,CHC-0.4,PIT-1.6,CLE-2.2,HOU-0.2,SDP-0.8,ATL-0.4,CHC-0.4,SDP-0.1,COL-0.5,MIL-0.3,TOR-0.4,BAL-1.0,MIL-0.6,PIT-0.3
22,Athletics-3.3,TBR-1.7,ATL-0.4,CHC-1.7,MIL-2.2,ARI-0.3,HOU-1.0,HOU-0.6,TBR-0.5,DET-0.2,TBR-0.6,LAA-0.3,STL-0.6,ATH-1.4,LAA-0.7,MIN-0.3
23,Milwaukee Brewers-3.4,CHC-2.1,SEA-0.7,LAD-1.7,CIN-2.3,TEX-0.3,WSN-1.1,ATH-0.6,MIA-0.5,MIN-0.3,ATL-0.8,BAL-0.4,PHI-0.7,PHI-1.5,MIA-0.9,SEA-0.3
24,Washington Nationals-4.1,WSN-2.3,TBR-1.0,CHW-2.0,ATH-2.4,WSN-0.4,PIT-1.1,CIN-0.8,PHI-0.6,COL-0.4,CHW-0.9,CHW-0.5,CHW-0.8,LAA-1.5,WSN-0.9,TEX-0.3
25,Pittsburgh Pirates-4.5,TOR-2.4,BOS-1.0,MIL-2.2,MIA-3.3,PHI-0.5,COL-1.2,BOS-0.8,PIT-0.7,BOS-0.7,PIT-0.9,ATL-0.6,SEA-0.9,ATL-1.8,TOR-0.9,MIL-0.4
26,Chicago White Sox-5.9,LAA-2.4,TOR-1.3,ATH-2.4,LAA-3.7,SFG-0.6,SFG-1.3,LAA-0.9,CIN-0.7,MIA-0.7,ARI-1.0,ARI-0.7,LAA-1.1,CLE-1.8,CHW-1.0,KCR-0.5
27,Los Angeles Angels-6.1,LAD-3.2,LAD-1.5,BAL-3.3,PIT-4.4,SDP-0.6,BOS-1.3,WSN-0.9,MIN-1.0,CHW-0.8,HOU-1.1,PHI-0.7,PIT-1.2,PIT-2.0,HOU-1.0,CHW-0.6
28,Miami Marlins-6.6,MIA-3.3,MIA-1.8,WSN-3.5,KCR-4.9,BAL-0.8,MIA-1.3,TEX-1.1,MIL-1.0,SFG-0.9,KCR-1.2,ATH-1.2,CLE-1.7,CHW-2.2,COL-1.1,SDP-0.8
29,Baltimore Orioles-8.1,COL-5.4,BAL-3.6,TEX-3.7,CHW-5.6,KCR-0.8,CHW-1.5,KCR-1.3,LAA-1.0,CLE-1.3,SDP-1.3,COL-1.3,COL-1.8,KCR-2.4,KCR-1.1,CLE-0.8
30,Colorado Rockies-15.2,BAL-6.8,COL-5.3,LAA-4.6,COL-9.8,COL-1.0,CIN-1.7,COL-1.7,ATH-1.2,MIL-1.6,LAD-1.4,CLE-1.6,KCR-1.8,COL-3.6,TEX-1.1,COL-1.2
