Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home AB,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Home BP AB,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away AB,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO,Away BP AB
2025-08-17,Washington Nationals,Mitchell Parker,5.83,1.5,129.2,84.0,.276,515.0,5.25,1.43,953.9,853.0,3718.0,Philadelphia Phillies,Aaron Nola,6.92,1.6,52.0,56.0,.308,214.0,3.59,1.22,1042.2,1059.0,3965.0
2025-08-17,Boston Red Sox,Garrett Crochet,2.48,1.1,152.1,188.0,.223,569.0,3.93,1.33,956.9,821.0,3629.0,Miami Marlins,Janson Junk,4.06,1.13,75.1,52.0,.268,287.0,4.6,1.31,1013.0,917.0,3878.0
2025-08-17,Toronto Blue Jays,José Berríos,3.74,1.26,142.0,119.0,.244,532.0,4.28,1.26,957.2,981.0,3613.0,Texas Rangers,Nathan Eovaldi,1.71,0.88,116.0,114.0,.196,413.0,3.64,1.22,986.1,898.0,3685.0
2025-08-17,Cleveland Guardians,Logan Allen,3.94,1.39,118.2,92.0,.260,450.0,3.88,1.3,968.0,931.0,3638.0,Atlanta Braves,Erick Fedde,5.4,1.49,116.2,70.0,.266,447.0,4.08,1.25,972.0,1007.0,3652.0
2025-08-17,Cincinnati Reds,Andrew Abbott,2.41,1.11,123.0,105.0,.221,458.0,4.02,1.26,974.2,918.0,3686.0,Milwaukee Brewers,Jose Quintana,3.44,1.3,99.1,69.0,.246,378.0,3.63,1.22,989.0,993.0,3684.0
2025-08-17,Houston Astros,Cristian Javier,3.6,1.0,5.0,5.0,.176,17.0,3.77,1.2,1092.0,1163.0,4084.0,Baltimore Orioles,Dean Kremer,4.17,1.25,140.1,116.0,.257,541.0,4.81,1.41,942.9,895.0,3661.0
2025-08-17,Minnesota Twins,TBD,,,,,,,,,,,,Detroit Tigers,Chris Paddack,4.76,1.22,126.2,92.0,.260,489.0,3.68,1.22,982.9,977.0,3689.0
2025-08-17,Kansas City Royals,Ryan Bergert,2.87,1.09,47.0,44.0,.179,168.0,3.65,1.25,1048.0,923.0,3966.0,Chicago White Sox,Davis Martin,4.17,1.3,101.1,70.0,.260,389.0,4.13,1.37,972.0,870.0,3687.0
2025-08-17,St. Louis Cardinals,Miles Mikolas,4.97,1.28,117.2,79.0,.269,468.0,4.16,1.29,978.0,826.0,3757.0,New York Yankees,Will Warren,4.34,1.37,122.1,140.0,.240,470.0,4.0,1.23,967.1,958.0,3631.0
2025-08-17,Chicago Cubs,Javier Assad,9.0,2.25,4.0,2.0,.421,19.0,3.8,1.2,1078.2,923.0,4054.0,Pittsburgh Pirates,Carmen Mlodzinski,4.2,1.39,75.0,62.0,.280,300.0,4.03,1.23,1019.0,897.0,3832.0
2025-08-17,Colorado Rockies,TBD,,,,,,,,,,,,Arizona Diamondbacks,Nabil Crismatt,,,,,,,,,,,
2025-08-17,Athletics,Jeffrey Springs,4.06,1.15,135.1,109.0,.226,509.0,4.96,1.41,972.0,914.0,3750.0,Los Angeles Angels,José Soriano,3.84,1.37,143.0,125.0,.249,534.0,4.83,1.44,947.0,850.0,3658.0
2025-08-17,San Francisco Giants,Logan Webb,3.34,1.26,153.2,168.0,.266,594.0,3.78,1.29,936.8,871.0,3542.0,Tampa Bay Rays,Ryan Pepiot,3.86,1.18,142.1,138.0,.228,521.0,3.89,1.21,954.1,915.0,3594.0
2025-08-17,Los Angeles Dodgers,Tyler Glasnow,3.08,1.12,52.2,64.0,.172,186.0,4.17,1.32,1041.9,1026.0,3948.0,San Diego Padres,Yu Darvish,5.61,1.22,33.2,29.0,.238,126.0,3.5,1.21,1054.8,1024.0,3901.0
2025-08-17,New York Mets,Clay Holmes,3.71,1.35,126.0,101.0,.248,475.0,3.8,1.32,965.0,950.0,3661.0,Seattle Mariners,George Kirby,3.71,1.07,85.0,90.0,.227,313.0,3.83,1.24,1038.1,972.0,3919.0
