Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home AB,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Home BP AB,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away AB,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO,Away BP AB
2025-09-17,Pittsburgh Pirates,Johan Oviedo,3.16,1.25,25.2,29,.185,92,3.9,1.23,1315.0,1190,4958,Chicago Cubs,Matthew Boyd,3.05,1.07,171.1,146,.233,622,3.92,1.21,1168.9,1018,4401
2025-09-17,St. Louis Cardinals,Andre Pallante,5.23,1.43,155.0,104,.270,608,4.16,1.31,1190.0,1022,4569,Cincinnati Reds,Brady Singer,3.94,1.24,155.1,149,.235,574,4.0,1.24,1179.9,1127,4466
2025-09-17,Chicago White Sox,Martín Pérez,3.27,1.05,52.1,42,.188,186,4.28,1.37,1277.0,1139,4869,Baltimore Orioles,Tyler Wells,2.31,0.6,11.2,10,.146,41,4.64,1.38,1324.0,1237,5127
2025-09-17,Arizona Diamondbacks,Brandon Pfaadt,5.31,1.4,157.2,131,.291,643,4.34,1.3,1195.8,1067,4561,San Francisco Giants,Justin Verlander,3.94,1.37,134.2,124,.261,528,3.86,1.3,1201.0,1141,4563
2025-09-17,Washington Nationals,Brad Lord,4.21,1.3,115.1,96,.256,434,5.41,1.45,1219.0,1062,4760,Atlanta Braves,Hurston Waldrep,2.78,1.17,45.1,42,.216,162,4.47,1.31,1302.9,1280,4954
2025-09-17,Detroit Tigers,Jack Flaherty,4.69,1.28,151.2,178,.240,578,3.82,1.23,1189.8,1101,4482,Cleveland Guardians,Gavin Williams,3.16,1.29,156.2,152,.214,575,3.87,1.29,1177.8,1093,4447
2025-09-17,Boston Red Sox,Lucas Giolito,3.31,1.25,136.0,113,.241,511,3.78,1.29,1214.1,1147,4603,Athletics,Mason Barnett,8.53,1.89,12.2,13,.327,55,4.71,1.36,1327.9,1226,5078
2025-09-17,Tampa Bay Rays,Ian Seymour,2.95,1.1,42.2,52,.204,162,3.91,1.21,1294.9,1271,4851,Toronto Blue Jays,Kevin Gausman,3.44,1.0,177.2,171,.203,650,4.23,1.3,1165.8,1173,4414
2025-09-17,New York Mets,David Peterson,3.77,1.32,162.1,148,.251,617,4.04,1.33,1171.9,1143,4464,San Diego Padres,Nick Pivetta,2.73,0.95,171.1,180,.191,619,3.81,1.24,1162.9,1143,4338
2025-09-17,Kansas City Royals,Cole Ragans,5.18,1.29,48.2,76,.250,188,3.73,1.26,1290.8,1103,4888,Seattle Mariners,Bryce Miller,5.59,1.37,75.2,64,.260,289,3.82,1.23,1289.0,1257,4877
2025-09-17,Minnesota Twins,Taj Bradley,4.88,1.3,132.2,114,.242,500,4.59,1.33,1196.8,1156,4649,New York Yankees,Luis Gil,2.83,1.4,41.1,34,.209,148,4.09,1.27,1299.1,1301,4913
2025-09-17,Milwaukee Brewers,Brandon Woodruff,3.32,0.96,59.2,74,.194,222,3.63,1.24,1284.0,1257,4791,Los Angeles Angels,José Soriano,4.13,1.38,167.2,152,.248,629,4.96,1.45,1168.9,1041,4517
2025-09-17,Houston Astros,Cristian Javier,4.78,1.29,26.1,26,.216,97,3.83,1.22,1328.9,1397,4982,Texas Rangers,Jacob deGrom,2.82,0.92,162.2,171,.194,587,3.52,1.2,1188.9,1083,4438
2025-09-17,Colorado Rockies,McCade Brown,9.88,2.12,13.2,10,.339,59,5.97,1.58,1300.9,997,5248,Miami Marlins,Ryan Weathers,2.73,1.04,29.2,27,.207,111,4.72,1.32,1311.9,1166,5048
2025-09-17,Los Angeles Dodgers,Blake Snell,2.79,1.39,48.1,55,.247,178,4.13,1.27,1292.0,1315,4841,Philadelphia Phillies,Jesús Luzardo,4.03,1.26,169.2,200,.245,646,3.82,1.24,1180.9,1182,4505
