Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home AB,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Home BP AB,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away AB,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO,Away BP AB
2025-07-28,Baltimore Orioles,Zach Eflin,5.78,1.37,67.0,47.0,.297,269.0,4.83,1.41,855.1,816.0,3325.0,Toronto Blue Jays,Chris Bassitt,3.88,1.3,120.2,117,.268,478,4.12,1.23,821.0,835,3064
2025-07-28,Cleveland Guardians,Slade Cecconi,3.76,1.23,69.1,60.0,.247,263.0,3.95,1.33,863.1,818.0,3241.0,Colorado Rockies,Bradley Blalock,8.67,1.78,27.0,9,.366,112,5.51,1.56,890.0,677,3562
2025-07-28,Detroit Tigers,Troy Melton,10.8,1.8,5.0,7.0,.333,21.0,3.78,1.24,943.1,910.0,3572.0,Arizona Diamondbacks,Eduardo Rodriguez,5.5,1.65,86.2,93,.307,362,4.41,1.29,857.0,789,3263
2025-07-28,New York Yankees,Cam Schlittler,4.35,1.55,10.1,10.0,.275,40.0,4.0,1.25,917.1,915.0,3452.0,Tampa Bay Rays,Drew Rasmussen,2.93,1.03,95.1,82,.219,343,3.98,1.23,845.1,796,3190
2025-07-28,Cincinnati Reds,Chase Burns,6.65,1.62,21.2,35.0,.270,89.0,3.79,1.22,914.0,832.0,3432.0,Los Angeles Dodgers,Yoshinobu Yamamoto,2.55,1.05,109.1,124,.197,396,4.49,1.36,836.0,804,3181
2025-07-28,Minnesota Twins,Simeon Woods Richardson,4.14,1.37,76.0,64.0,.247,288.0,4.19,1.25,844.2,828.0,3244.0,Boston Red Sox,Richard Fitts,4.86,1.27,37.0,32,.259,143,3.73,1.3,921.2,864,3484
2025-07-28,Kansas City Royals,Rich Hill,1.8,1.6,5.0,1.0,.286,21.0,3.5,1.22,937.1,858.0,3525.0,Atlanta Braves,Spencer Strider,3.72,1.18,72.2,89,.214,262,4.18,1.28,847.0,858,3187
2025-07-28,Chicago White Sox,Davis Martin,3.89,1.24,85.2,56.0,.255,325.0,4.12,1.39,838.0,723.0,3196.0,Philadelphia Phillies,Cristopher Sánchez,2.4,1.09,124.0,134,.223,461,3.93,1.27,812.1,846,3105
2025-07-28,Milwaukee Brewers,Jacob Misiorowski,2.45,0.92,29.1,40.0,.150,100.0,3.62,1.25,904.0,869.0,3387.0,Chicago Cubs,Matthew Boyd,2.2,1.01,118.2,108,.223,430,4.15,1.26,817.0,675,3108
2025-07-28,St. Louis Cardinals,Andre Pallante,4.91,1.37,110.0,72.0,.265,434.0,4.13,1.28,835.2,710.0,3210.0,Miami Marlins,Edward Cabrera,3.48,1.24,88.0,92,.239,331,4.53,1.32,838.1,725,3215
2025-07-28,Houston Astros,Framber Valdez,2.67,1.13,128.0,129.0,.218,468.0,3.9,1.2,816.0,886.0,3058.0,Washington Nationals,Brad Lord,3.39,1.26,69.0,57,.249,257,5.25,1.41,854.1,737,3323
2025-07-28,Los Angeles Angels,Jack Kochanowicz,6.03,1.63,94.0,65.0,.298,362.0,4.45,1.41,846.0,763.0,3252.0,Texas Rangers,Jacob deGrom,2.28,0.9,118.1,122,.191,423,3.27,1.2,825.0,737,3071
2025-07-28,San Diego Padres,Dylan Cease,4.59,1.3,113.2,144.0,.243,436.0,3.44,1.22,821.8,744.0,3048.0,New York Mets,Frankie Montas,4.62,1.3,25.1,23,.270,100,3.49,1.3,916.0,883,3439
2025-07-28,San Francisco Giants,Carson Whisenhunt,,,,,,,,,,,,Pittsburgh Pirates,Mitch Keller,3.53,1.16,125.0,97,.239,482,3.75,1.19,811.2,711,3020
2025-07-28,Athletics,JP Sears,4.98,1.25,106.2,91.0,.256,418.0,5.11,1.43,849.8,772.0,3293.0,Seattle Mariners,Luis Castillo,3.3,1.24,120.0,107,.245,461,3.95,1.26,841.2,790,3174
