game_pk,home_bp_bb_per_9_rolling_5,away_bp_bb_per_9_rolling_5
5057771,,
5057772,,
5057773,,
5057774,,
5057775,,
5057776,,
5057777,,
5057778,,
5057779,,
5057780,,
5057781,,
5057782,,
5057783,4.5,3.374957813027337
5057784,,
5057785,,
5057786,,
5057787,4.153878106754667,6.0
5057788,4.909046281397441,0.0
5057789,1.5,9.0
5057790,0.0,6.75
5057791,9.0,3.0
5057792,1.6875105469409182,5.062531640822755
5057793,6.0,2.4545231406987207
5057794,0.0,3.374957813027337
5057795,3.0,2.7000270002700026
5057796,6.0,3.0
5057797,0.0,0.0
5057798,0.0,8.590948140673365
5057799,7.043539509039208,4.695631758122791
5057800,4.5,11.368480886741509
5057801,0.0,0.0
5057802,5.869539697653488,4.263113019862948
5057803,4.5,6.0
5057804,2.0769150887881205,3.681834917431443
5057805,4.049979750101249,1.2857142857142858
5057806,1.5,4.263180332528067
5057807,1.4210601108426886,4.909046281397442
5057808,2.25,2.8928674745266947
5057809,5.192287721970301,6.23074526636436
5057810,4.5,6.7500241072289535
5057811,0.0,1.2272615703493603
5057812,1.8620625446119154,9.529439792469978
5057813,7.500062500520838,7.363636363636363
5057814,5.192287721970301,10.451646618214896
5057815,5.625,4.263180332528067
5057816,4.5,6.48002592010368
5057817,4.218736816447448,3.3750084375210934
5057818,3.0,6.352903806448197
5057819,5.4,5.538461538461538
5057820,0.0,9.878096966326664
5057821,5.785714285714286,7.411764705882353
5057822,3.272727272727273,5.10812191384301
5057823,3.648628926330128,1.5428395104055954
5057824,1.8,5.108080496862179
5057825,3.75,7.8
5057826,3.681809814068605,4.354852757589541
5057827,5.538461538461538,4.909079752091473
5057828,6.872777256561865,6.75
5057829,3.292674895914888,3.272697520931628
5057830,4.153846153846154,4.2631466759298
5057831,1.5428527347064724,3.7058823529411766
5057832,3.4838822060716326,3.72412508922383
5057833,4.295444783080038,4.5
5057834,1.3846153846153846,8.660410039283168
5057835,5.5,7.105263157894737
5057836,3.521746786406057,4.959193794273049
5057837,3.7894537397171595,2.24998593758789
5057838,1.3846153846153846,3.8571271137668823
5057839,3.0,7.322021488099173
5057840,3.374993973225048,4.725011812529531
5057841,5.823529411764706,4.0
5057842,6.639387799264257,5.744668628364621
5057843,4.395359058974556,5.142857142857143
5057844,2.6999946000108004,2.9999800001333323
5057845,3.5,4.021268039855234
5057846,1.6199967600064802,3.15
5057847,0.9818199669453944,4.426214996016406
5057848,3.6,3.983613087890308
5057849,4.835828113176288,6.464779627070948
5057850,3.3157894736842106,4.242863204090291
5057851,3.272712396761833,2.999985714353741
5057852,1.528299003209428,8.274220239420128
5057853,5.142857142857143,4.05
5057854,3.5735241565821227,4.86001944007776
5057855,6.631613850599214,5.684210526315789
5057856,3.7241443519730204,7.322021488099173
5057857,4.153854142027196,5.625
5057858,1.6199967600064802,2.647043252686749
5057859,3.0,3.374993973225048
5057860,2.25,5.651136506341831
5057861,2.2881317150309917,3.6
5057862,6.1875,6.8727022810826135
5057864,2.755107663485027,0.9818199669453944
5057865,4.67305894977327,4.640610498092194
5057866,4.714285714285714,3.203384401043388
5057867,5.785714285714286,4.5
5057868,2.647043252686749,1.7234005885093864
5057869,6.157894736842105,3.272727272727273
6041984,6.051734571956158,3.521723818592093
5057870,4.714285714285714,4.764719896234989
5057871,3.3157894736842106,3.634622374273797
5057873,2.8208871018295465,2.6128990114532074
5057874,4.868836495618048,3.857142857142857
5057872,6.749987946450096,4.86001944007776
5057876,7.64149501604714,1.07999784000432
5057877,5.192317677533995,0.9310360879932551
5057878,3.7968631348027038,4.576286699276947
5057879,3.11537263318218,5.120671997682766
5057880,5.785714285714286,5.062507910168609
5057881,3.698635203609868,2.779395415321086
5057886,7.8,3.323071810658753
5057882,3.258609453070852,4.79031485433088
5057883,4.76469887544283,3.634622374273796
5057884,3.724125089223831,3.661029359421557
5057885,4.595734902691697,1.7704947057290257
5057887,1.6199967600064802,4.075464008558475
5057888,4.5,4.576286699276946
5057889,5.684210526315789,5.625
6096942,6.267845950275089,3.4285714285714284
5057891,4.959193794273049,0.4909099834726972
5057892,2.554050602634321,2.9454438347496916
5057893,4.959163431985991,2.9999833334259254
5057894,6.113196012837712,0.0
5057899,1.6530544773286642,2.907701254465398
5057895,4.5,4.118658029349252
5057896,4.5633738544030225,3.634622374273796
5057897,2.076927071013598,7.9411764705882355
5057898,3.5,1.3278710292967693
5057900,6.3,5.571428571428571
5057901,4.5,6.0
5057902,3.7241379310344827,3.4615251479802
5057903,1.9636399338907888,4.339301211790041
5057904,2.51163374798546,2.5471650053490467
5057905,5.815375668652818,2.1600086400345604
5057906,4.584897009628284,3.2399740802073587
5057907,4.764705882352941,0.0
5057908,3.3061291961820327,0.5510215326970055
6127497,1.148933725672924,3.000014285782313
5057909,6.750030681957646,5.571428571428571
5057910,5.0625,4.285734693974733
5057911,2.6999946000108004,8.142857142857142
5057912,9.45,4.584922961973441
5057913,3.789473684210526,1.2461576804851706
5057914,3.258626307976393,6.096764360057483
5057915,4.5633738544030225,6.0
5057916,2.8420977839532,4.408172261576044
5057917,3.5357142857142856,4.714308163372206
5057918,5.311484117187077,5.4
5057919,3.258626307976393,1.0
5057920,1.9756121653806893,4.118658029349252
5057921,3.919367481830587,1.2
5057922,5.399989200021601,1.6530544773286642
5057923,2.6470588235294117,5.684210526315789
5057932,2.727272727272727,5.949172709060031
5057931,2.4999861111882713,2.8928674745266942
5057924,3.5660310074886654,3.8571566327022597
5057925,11.117647058823529,5.1702347669564555
5057926,3.3157894736842106,2.7457720195661675
5057927,3.7384557869910973,5.85
5057928,6.096764360057485,7.2
5057929,2.8723526483091417,7.714263673532362
5057930,3.6818098140686044,3.634622374273796
5057933,4.868860440754821,5.93998812002376
5057934,3.3157894736842106,2.204086130788022
5057935,1.3846153846153846,4.426236764322565
5057936,3.8571566327022597,1.125
5057937,5.294117647058823,1.0188660021396188
5057938,3.0565980064188554,2.8928674745266942
5057939,3.9272798677815777,5.785734949053389
5057940,3.3749894531579594,5.949142459080577
5057941,2.97000297000297,5.949172709060031
5057942,2.0,2.700006750016875
5057943,3.103437574353192,3.634622374273796
5057944,1.5211246181343405,5.2105263157894735
5057945,6.319175826280111,1.6875
5057946,6.6521739130434785,6.75
5057947,4.050020250101251,1.6530645980910164
5057951,1.5,2.7000135000675005
5057948,3.6,4.339301211790042
5057949,12.053549904375169,5.823529411764706
5057950,4.584922961973442,6.8507258187289
5057952,5.85,4.7368421052631575
5057953,9.642839923500135,5.890919801672366
5057954,3.7241636149214825,7.892295550314539
5057955,6.381829785145063,6.157894736842105
5057956,1.4727299504180915,0.9473734072284591
5057957,5.400027000135001,4.1294166228430855
5057958,3.258626307976393,1.2857142857142858
5057959,3.44682317797097,2.547165005349046
5057961,1.1739155954686857,0.9000045000225001
5057962,6.882352941176471,6.517218906141703
5057960,6.0,4.640632250987893
5057964,4.228910567577629,6.06123685966706
5057965,1.5576953032601986,6.9677306972085535
5057966,2.4545454545454546,4.2353190312884195
5057963,5.949172709060031,4.800032000213335
5057967,1.723411588985485,4.50002500013889
5057968,5.785734949053389,3.802827613598911
5057969,6.0,6.2876798461367756
5057970,6.406768802086776,3.428555102118562
5057971,3.573539922176242,2.739130434782609
5057972,3.3750084375210934,7.4769115739821945
5057973,4.5,1.894736842105263
5057974,0.5192317677533995,0.9310409037303706
5057975,7.043493572812115,4.049979750101249
5057976,2.9347889886717144,2.647043252686749
5057977,3.857137847872925,4.764705882352941
5057978,6.749987946450096,4.95
5057979,1.4210526315789473,4.118637087055785
5057980,3.7800151200604803,4.153858934950569
