Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2018-04-25,STL,NYM,9,1,-147,127,-135,125,8.5,8.5,8.5,8.5,100,-120,107,-118
2018-04-25,LAD,MIA,6,8,-380,310,-390,347,7.0,7.0,7.0,7.0,-110,-110,-120,109
2018-04-25,HOU,LAA,5,2,-215,175,-199,182,8.0,8.0,8.5,8.5,-110,-110,102,-113
2018-04-25,COL,SD,5,2,-148,128,-166,153,10.0,10.0,10.0,10.0,-110,-110,108,-119
2018-04-25,TOR,BOS,3,4,-103,-117,132,-143,8.5,8.5,8.5,8.5,-120,100,-135,122
2018-04-25,SF,WAS,2,15,132,-152,147,-160,7.0,7.0,7.0,7.0,100,-120,105,-116
2018-04-25,CLE,CHC,4,1,-133,113,-135,125,8.0,8.0,7.5,7.5,-110,-110,104,-115
2018-04-25,CHW,SEA,3,4,133,-153,134,-145,9.5,9.5,9.5,9.5,-110,-110,-107,-103
2018-04-25,KC,MIL,2,6,105,-125,-106,-102,9.5,9.5,8.5,8.5,100,-120,-105,-105
2018-04-25,NYY,MIN,7,4,-170,145,-168,155,9.0,9.0,9.0,9.0,-120,100,-105,-105
2018-04-25,BAL,TB,4,8,-112,-108,-114,105,8.5,8.5,8.5,8.5,-110,-110,-135,122
2018-04-25,TEX,OAK,4,2,-110,-110,-104,-104,10.5,10.5,9.5,9.5,-105,-115,-100,-110
2018-04-25,PIT,DET,10,13,-215,175,-201,184,7.5,7.5,7.5,7.5,-105,-115,100,-110
2018-04-25,CIN,ATL,4,5,-259,229,-102,-108,7.5,7.5,9.5,9.5,-113,-103,-110,-110
2018-04-25,PHI,ARI,5,3,-110,100,-105,-105,7.5,7.5,7.0,7.0,110,-130,-120,100
