game_pk,date,home_team_id,away_team_id,home_team_name,away_team_name,home_games,away_games,home_total_ip,away_total_ip,home_total_hits,away_total_hits,home_total_hits_per_ip,away_total_hits_per_ip,home_total_earned_runs,away_total_earned_runs,home_total_earned_runs_per_ip,away_total_earned_runs_per_ip,home_total_walks,away_total_walks,home_total_walks_per_ip,away_total_walks_per_ip,home_total_strikeouts,away_total_strikeouts,home_total_strikeouts_per_ip,away_total_strikeouts_per_ip,home_total_homeruns,away_total_homeruns,home_total_homeruns_per_ip,away_total_homeruns_per_ip,home_era,away_era,home_whip,away_whip,home_k_per_9,away_k_per_9,home_k_bb_ratio,away_k_bb_ratio,home_hr_per_9,away_hr_per_9,home_bb_per_9,away_bb_per_9
777070,2025-07-20,119,158,Dodgers,Brewers,99,98,436.0,382.7,422,334,0.97,0.87,212,170,0.49,0.44,159,147,0.36,0.38,442,372,1.01,0.97,58,41,0.13,0.11,4.38,4.0,1.33,1.26,9.12,8.75,2.78,2.53,1.2,0.96,3.28,3.46
777071,2025-07-20,109,138,D-backs,Cardinals,99,97,336.3,343.7,342,310,1.02,0.9,185,141,0.55,0.41,141,125,0.42,0.36,320,303,0.95,0.88,45,29,0.13,0.08,4.95,3.69,1.44,1.27,8.56,7.94,2.27,2.42,1.2,0.76,3.77,3.27
777067,2025-07-20,136,117,Mariners,Astros,98,95,357.0,337.3,322,262,0.9,0.78,149,126,0.42,0.37,144,121,0.4,0.36,330,393,0.92,1.17,42,38,0.12,0.11,3.76,3.36,1.31,1.14,8.32,10.49,2.29,3.25,1.06,1.01,3.63,3.23
777072,2025-07-20,115,142,Rockies,Twins,98,97,376.0,357.0,391,359,1.04,1.01,203,167,0.54,0.47,172,118,0.46,0.33,325,362,0.86,1.01,54,33,0.14,0.09,4.86,4.21,1.5,1.34,7.78,9.13,1.89,3.07,1.29,0.83,4.12,2.97
777075,2025-07-20,112,111,Cubs,Red Sox,98,98,352.0,362.7,316,310,0.9,0.85,135,140,0.38,0.39,125,151,0.36,0.42,297,341,0.84,0.94,33,28,0.09,0.08,3.45,3.47,1.25,1.27,7.59,8.46,2.38,2.26,0.84,0.69,3.2,3.75
777082,2025-07-20,146,118,Marlins,Royals,97,99,389.3,328.0,365,295,0.94,0.9,175,136,0.45,0.41,148,121,0.38,0.37,346,289,0.89,0.88,45,37,0.12,0.11,4.05,3.73,1.32,1.27,8.0,7.93,2.34,2.39,1.04,1.02,3.42,3.32
777084,2025-07-20,114,133,Guardians,Athletics,96,100,344.3,384.3,323,391,0.94,1.02,145,229,0.42,0.6,137,197,0.4,0.51,345,403,1.0,1.05,32,50,0.09,0.13,3.79,5.36,1.34,1.53,9.02,9.44,2.52,2.05,0.84,1.17,3.58,4.61
777073,2025-07-20,140,116,Rangers,Tigers,97,98,350.7,381.3,308,360,0.88,0.94,127,170,0.36,0.45,122,132,0.35,0.35,310,321,0.88,0.84,33,45,0.09,0.12,3.26,4.01,1.23,1.29,7.96,7.58,2.54,2.43,0.85,1.06,3.13,3.12
777083,2025-07-20,144,147,Braves,Yankees,96,98,329.7,345.3,271,301,0.82,0.87,141,159,0.43,0.46,132,151,0.4,0.44,337,361,1.02,1.05,39,43,0.12,0.12,3.85,4.14,1.22,1.31,9.2,9.41,2.55,2.39,1.06,1.12,3.6,3.94
777074,2025-07-20,134,145,Pirates,White Sox,98,99,344.0,394.0,299,359,0.87,0.91,154,171,0.45,0.43,131,175,0.38,0.44,299,350,0.87,0.89,34,42,0.1,0.11,4.03,3.91,1.25,1.36,7.82,7.99,2.28,2.0,0.89,0.96,3.43,4.0
777078,2025-07-20,143,108,Phillies,Angels,97,98,319.7,346.3,312,349,0.98,1.01,154,198,0.48,0.57,120,166,0.38,0.48,307,334,0.96,0.96,43,59,0.13,0.17,4.34,5.15,1.35,1.49,8.64,8.68,2.56,2.01,1.21,1.53,3.38,4.31
777077,2025-07-20,120,135,Nationals,Padres,98,96,339.0,355.3,358,287,1.06,0.81,223,125,0.66,0.35,159,141,0.47,0.4,298,361,0.88,1.02,49,31,0.14,0.09,5.92,3.17,1.53,1.2,7.91,9.14,1.87,2.56,1.3,0.79,4.22,3.57
777076,2025-07-20,139,110,Rays,Orioles,98,97,328.0,367.0,302,355,0.92,0.97,142,191,0.43,0.52,118,163,0.36,0.44,335,393,1.02,1.07,46,52,0.14,0.14,3.9,4.68,1.28,1.41,9.19,9.64,2.84,2.41,1.26,1.28,3.24,4.0
777079,2025-07-20,141,137,Blue Jays,Giants,97,98,371.7,339.7,294,274,0.79,0.81,146,116,0.39,0.34,151,118,0.41,0.35,410,302,1.1,0.89,43,32,0.12,0.09,3.54,3.07,1.2,1.15,9.93,8.0,2.72,2.56,1.04,0.85,3.66,3.13
777087,2025-07-20,121,113,Mets,Reds,98,97,379.7,349.3,344,290,0.91,0.83,163,151,0.43,0.43,154,155,0.41,0.44,377,320,0.99,0.92,39,45,0.1,0.13,3.86,3.89,1.31,1.27,8.94,8.24,2.45,2.06,0.92,1.16,3.65,3.99
