game_pk,date,home_team_id,away_team_id,home_team_name,away_team_name,home_games,away_games,home_total_ip,away_total_ip,home_total_hits,away_total_hits,home_total_hits_per_ip,away_total_hits_per_ip,home_total_earned_runs,away_total_earned_runs,home_total_earned_runs_per_ip,away_total_earned_runs_per_ip,home_total_walks,away_total_walks,home_total_walks_per_ip,away_total_walks_per_ip,home_total_strikeouts,away_total_strikeouts,home_total_strikeouts_per_ip,away_total_strikeouts_per_ip,home_total_homeruns,away_total_homeruns,home_total_homeruns_per_ip,away_total_homeruns_per_ip,home_era,away_era,home_whip,away_whip,home_k_per_9,away_k_per_9,home_k_bb_ratio,away_k_bb_ratio,home_hr_per_9,away_hr_per_9,home_bb_per_9,away_bb_per_9
778264,2025-04-19,111,145,Red Sox,White Sox,21,19,75.7,69.3,71,64,0.94,0.92,33,38,0.44,0.55,21,30,0.28,0.43,73,71,0.96,1.02,4,12,0.05,0.17,3.93,4.93,1.22,1.36,8.68,9.22,3.48,2.37,0.48,1.56,2.5,3.89
778243,2025-04-19,108,137,Angels,Giants,19,20,59.3,68.7,67,44,1.13,0.64,37,14,0.62,0.2,29,24,0.49,0.35,57,65,0.96,0.95,11,5,0.19,0.07,5.61,1.83,1.62,0.99,8.65,8.52,1.97,2.71,1.67,0.66,4.4,3.15
778267,2025-04-19,144,142,Braves,Twins,19,20,64.3,75.3,49,63,0.76,0.84,28,32,0.44,0.42,30,27,0.47,0.36,62,76,0.96,1.01,9,6,0.14,0.08,3.92,3.82,1.23,1.19,8.67,9.08,2.07,2.81,1.26,0.72,4.2,3.23
778253,2025-04-19,158,133,Brewers,Athletics,20,20,78.0,72.7,73,72,0.94,0.99,47,34,0.6,0.47,38,40,0.49,0.55,82,83,1.05,1.14,7,6,0.09,0.08,5.42,4.21,1.42,1.54,9.46,10.28,2.16,2.08,0.81,0.74,4.38,4.95
778259,2025-04-19,117,135,Astros,Padres,19,19,71.3,74.0,55,43,0.77,0.58,24,13,0.34,0.18,28,26,0.39,0.35,88,79,1.23,1.07,6,6,0.08,0.08,3.03,1.58,1.16,0.93,11.1,9.61,3.14,3.04,0.76,0.73,3.53,3.16
778255,2025-04-19,139,147,Rays,Yankees,20,20,65.7,77.7,59,47,0.9,0.61,24,26,0.37,0.33,14,42,0.21,0.54,64,100,0.97,1.29,13,6,0.2,0.08,3.29,3.01,1.11,1.15,8.77,11.59,4.57,2.38,1.78,0.7,1.92,4.87
778247,2025-04-19,115,120,Rockies,Nationals,18,19,65.0,61.7,60,74,0.92,1.2,34,47,0.52,0.76,41,40,0.63,0.65,54,60,0.83,0.97,12,9,0.18,0.15,4.71,6.86,1.55,1.85,7.48,8.76,1.32,1.5,1.66,1.31,5.68,5.84
778251,2025-04-19,140,119,Rangers,Dodgers,19,21,70.3,89.7,61,76,0.87,0.85,31,36,0.44,0.4,22,29,0.31,0.32,73,104,1.04,1.16,5,9,0.07,0.1,3.97,3.61,1.18,1.17,9.34,10.44,3.32,3.59,0.64,0.9,2.82,2.91
778256,2025-04-19,121,138,Mets,Cardinals,20,20,77.0,74.3,52,66,0.68,0.89,18,35,0.23,0.47,23,32,0.3,0.43,82,59,1.06,0.79,4,5,0.05,0.07,2.1,4.24,0.97,1.32,9.58,7.14,3.57,1.84,0.47,0.61,2.69,3.87
778254,2025-04-19,134,114,Pirates,Guardians,21,19,74.7,67.0,59,66,0.79,0.99,30,26,0.4,0.39,34,24,0.46,0.36,66,78,0.88,1.16,5,8,0.07,0.12,3.62,3.49,1.25,1.34,7.96,10.48,1.94,3.25,0.6,1.07,4.1,3.22
778262,2025-04-19,110,113,Orioles,Reds,19,20,70.7,64.7,62,45,0.88,0.7,23,23,0.33,0.36,31,26,0.44,0.4,70,53,0.99,0.82,3,10,0.04,0.15,2.93,3.2,1.32,1.1,8.92,7.38,2.26,2.04,0.38,1.39,3.95,3.62
778258,2025-04-19,141,136,Blue Jays,Mariners,20,20,67.7,78.7,47,77,0.69,0.98,25,32,0.37,0.41,24,33,0.35,0.42,77,62,1.14,0.79,7,7,0.1,0.09,3.33,3.66,1.05,1.4,10.24,7.09,3.21,1.88,0.93,0.8,3.19,3.78
778257,2025-04-19,112,109,Cubs,D-backs,22,20,75.7,66.7,87,59,1.15,0.88,49,36,0.65,0.54,44,18,0.58,0.27,62,77,0.82,1.15,8,8,0.11,0.12,5.83,4.86,1.73,1.15,7.37,10.39,1.41,4.28,0.95,1.08,5.23,2.43
778265,2025-04-19,116,118,Tigers,Royals,20,21,67.0,66.0,51,61,0.76,0.92,25,28,0.37,0.42,23,30,0.34,0.45,55,62,0.82,0.94,8,8,0.12,0.12,3.36,3.82,1.1,1.38,7.39,8.45,2.39,2.07,1.07,1.09,3.09,4.09
778252,2025-04-19,143,146,Phillies,Marlins,20,19,61.7,80.0,61,69,0.99,0.86,32,38,0.52,0.48,27,47,0.44,0.59,65,63,1.05,0.79,8,12,0.13,0.15,4.67,4.28,1.43,1.45,9.49,7.09,2.41,1.34,1.17,1.35,3.94,5.29
