gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
107,933,914,463,182,14,143,925,338,9,913,26,.250,3657,.316,.424,.740,16,59,.787,87,15185,4054,1552,448,730,8,20,.295,1.02,5,25.57,Athletics
105,897,896,352,143,16,69,913,325,14,796,32,.229,3470,.299,.339,.638,26,85,.766,79,15055,3863,1178,340,723,9,23,.290,1.00,4,50.29,Pittsburgh Pirates
105,944,1005,417,161,12,88,739,329,14,863,30,.247,3492,.315,.376,.691,18,71,.798,67,14877,3911,1312,390,728,30,29,.288,0.94,1,39.68,San Diego Padres
105,865,962,483,146,5,147,931,355,17,890,60,.247,3606,.323,.412,.735,25,97,.795,68,15991,4063,1487,464,762,18,24,.291,0.90,0,24.53,Seattle Mariners
105,802,1012,433,162,18,98,890,361,9,807,43,.233,3460,.311,.375,.686,17,46,.730,72,15459,3916,1299,413,701,19,32,.283,0.79,1,35.31,San Francisco Giants
106,831,1080,474,187,4,103,809,328,12,901,51,.252,3581,.321,.392,.713,16,58,.784,75,15439,4001,1405,453,728,13,27,.296,0.77,1,34.77,St. Louis Cardinals
105,886,914,487,160,9,114,871,322,9,906,31,.256,3539,.321,.403,.724,34,138,.802,73,15184,3932,1426,457,677,10,28,.307,0.97,2,31.04,Tampa Bay Rays
105,800,1050,429,153,10,111,872,311,13,804,42,.230,3489,.299,.375,.674,22,98,.817,56,14984,3880,1310,412,678,7,30,.273,0.76,1,31.43,Texas Rangers
105,958,1024,497,189,6,112,697,352,21,938,41,.263,3565,.334,.414,.748,16,53,.768,79,15119,4017,1475,473,764,23,29,.297,0.94,7,31.83,Toronto Blue Jays
104,831,968,438,167,12,120,861,310,5,839,60,.242,3474,.313,.400,.713,20,53,.726,71,15113,3870,1390,419,699,2,23,.286,0.86,1,28.95,Minnesota Twins
104,905,941,490,168,14,120,826,361,13,907,38,.256,3544,.329,.413,.742,19,91,.827,63,15464,3980,1463,467,749,12,23,.300,0.96,2,29.53,Philadelphia Phillies
103,862,921,426,151,12,112,896,360,10,847,32,.242,3494,.317,.389,.706,13,49,.790,65,15539,3919,1358,413,755,10,22,.293,0.94,1,31.20,Atlanta Braves
105,796,1022,394,169,9,90,892,342,7,780,27,.226,3445,.299,.359,.658,18,65,.783,67,15095,3864,1237,378,699,17,28,.277,0.78,5,38.28,Chicago White Sox
103,930,928,443,175,17,96,815,307,11,893,26,.254,3520,.316,.395,.711,29,78,.729,66,14614,3899,1390,425,713,18,28,.302,1.00,0,36.67,Miami Marlins
104,801,972,539,179,14,168,909,395,34,899,40,.254,3542,.333,.455,.788,24,65,.730,66,15840,4021,1610,517,747,4,35,.292,0.82,5,21.08,New York Yankees
104,917,921,494,153,10,98,830,348,11,874,45,.250,3494,.323,.384,.707,39,118,.752,54,15320,3938,1341,460,710,18,30,.299,1.00,3,35.65,Milwaukee Brewers
105,814,912,454,145,11,150,1015,311,15,828,57,.234,3536,.304,.409,.713,22,48,.686,63,15432,3940,1445,440,687,8,25,.283,0.89,3,23.57,Los Angeles Angels
105,898,1003,523,186,24,147,826,370,12,891,49,.251,3555,.326,.441,.767,21,71,.772,72,15466,4039,1566,511,725,22,41,.284,0.90,2,24.18,Arizona Diamondbacks
