gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
101,892,853,433,170,14,132,866,318,9,859,23,.249,3445,.315,.422,.737,15,56,.789,86,14318,3816,1453,418,684,7,18,.295,1.05,5,26.10,Athletics
100,854,853,333,133,15,66,869,310,13,758,30,.229,3304,.300,.339,.639,25,81,.764,78,14347,3678,1119,322,684,8,22,.289,1.00,4,50.06,Pittsburgh Pirates
99,883,952,400,144,12,86,695,322,14,811,26,.247,3284,.317,.377,.694,18,68,.791,63,14082,3690,1237,375,686,28,29,.286,0.93,1,38.19,San Diego Padres
99,809,913,467,142,5,138,878,342,17,850,57,.249,3408,.326,.415,.741,25,90,.783,62,15157,3849,1416,449,725,18,24,.295,0.89,0,24.70,Seattle Mariners
100,759,964,408,150,17,92,853,344,9,757,40,.230,3285,.309,.370,.679,17,46,.730,68,14670,3718,1217,388,663,19,29,.281,0.79,1,35.71,San Francisco Giants
100,777,1017,451,172,4,99,777,311,12,850,47,.251,3383,.321,.392,.713,15,56,.789,70,14645,3780,1327,430,686,12,26,.296,0.76,1,34.17,St. Louis Cardinals
100,850,876,467,154,9,110,820,297,8,870,29,.258,3378,.320,.406,.726,33,129,.796,66,14419,3744,1372,440,641,10,28,.307,0.97,2,30.71,Tampa Bay Rays
100,767,1005,400,145,9,104,832,295,11,767,40,.230,3337,.298,.372,.670,21,94,.817,53,14308,3707,1242,383,656,6,28,.273,0.76,1,32.09,Texas Rangers
99,900,961,458,172,4,105,661,331,20,871,39,.261,3342,.332,.409,.741,16,52,.765,76,14210,3770,1366,439,712,23,28,.294,0.94,7,31.83,Toronto Blue Jays
99,799,923,419,155,12,118,812,285,5,801,58,.242,3313,.311,.403,.714,18,48,.727,65,14290,3679,1334,403,659,2,20,.284,0.87,1,28.08,Minnesota Twins
99,855,896,454,157,13,108,786,343,10,855,37,.255,3359,.328,.405,.733,18,85,.825,60,14682,3772,1362,432,712,10,23,.300,0.95,0,31.10,Philadelphia Phillies
98,835,872,406,141,10,110,842,332,10,810,29,.243,3328,.316,.391,.707,13,45,.776,61,14689,3721,1301,393,711,10,21,.292,0.96,1,30.26,Atlanta Braves
100,760,968,359,160,9,80,853,331,7,728,27,.223,3266,.298,.351,.649,18,64,.780,62,14332,3672,1146,344,674,17,26,.275,0.79,5,40.82,Chicago White Sox
98,890,884,423,165,16,90,777,292,10,849,23,.253,3356,.315,.392,.707,28,75,.728,59,13915,3715,1316,407,678,17,27,.302,1.01,0,37.29,Miami Marlins
99,766,917,520,176,14,156,864,385,32,864,38,.256,3373,.336,.455,.791,24,63,.724,65,15167,3839,1536,499,719,4,34,.297,0.84,5,21.62,New York Yankees
99,871,885,473,141,10,96,782,338,11,829,44,.250,3320,.325,.385,.710,36,115,.762,51,14612,3752,1278,440,680,18,29,.297,0.98,3,34.58,Milwaukee Brewers
99,767,858,437,137,11,146,957,290,15,783,52,.235,3333,.304,.414,.718,20,45,.692,61,14517,3710,1380,423,637,8,24,.283,0.89,3,22.83,Los Angeles Angels
100,857,945,515,178,24,145,789,355,12,855,48,.252,3387,.329,.448,.777,21,70,.769,68,14793,3851,1516,503,684,20,39,.285,0.91,2,23.36,Arizona Diamondbacks
98,791,875,402,157,11,114,858,267,9,785,45,.239,3280,.303,.398,.701,22,71,.763,68,14246,3621,1306,380,621,3,26,.287,0.90,0,28.77,Baltimore Orioles
101,831,883,498,203,16,125,904,329,17,883,44,.254,3473,.325,.430,.755,23,85,.787,55,15012,3875,1493,477,699,7,22,.307,0.94,0,27.78,Boston Red Sox
99,783,1035,523,170,20,148,763,338,10,874,25,.256,3418,.325,.447,.772,21,111,.841,40,14822,3820,1528,512,687,7,30,.286,0.76,2,23.10,Chicago Cubs
100,822,870,456,160,13,107,866,329,10,823,38,.246,3349,.318,.397,.715,24,73,.753,67,14654,3748,1330,431,659,7,25,.298,0.94,0,31.30,Cincinnati Reds
98,745,986,371,143,10,102,805,306,17,714,32,.223,3197,.295,.370,.665,25,78,.757,55,14099,3588,1183,356,612,18,35,.263,0.76,0,31.34,Cleveland Guardians
99,759,851,353,160,28,96,964,255,5,772,32,.233,3317,.292,.385,.677,25,55,.688,75,13813,3633,1276,344,619,11,18,.297,0.89,0,34.55,Colorado Rockies
100,725,966,485,154,20,125,871,329,7,841,47,.250,3365,.322,.419,.741,9,43,.827,56,14805,3782,1410,466,672,5,33,.298,0.75,3,26.92,Detroit Tigers
99,816,926,436,149,10,112,782,291,9,865,45,.258,3348,.323,.409,.732,20,51,.718,79,13993,3725,1370,416,688,11,30,.303,0.88,0,29.89,Houston Astros
100,815,1075,343,177,16,77,686,236,13,817,39,.244,3347,.299,.376,.675,33,73,.689,54,13844,3670,1257,339,671,20,26,.284,0.76,2,43.47,Kansas City Royals
100,786,965,530,163,15,150,830,359,19,869,35,.254,3415,.329,.443,.772,14,57,.803,66,14996,3846,1512,510,676,3,32,.291,0.81,2,22.77,Los Angeles Dodgers
99,987,813,424,158,14,97,752,286,10,813,40,.244,3327,.310,.388,.698,33,83,.716,62,14028,3692,1290,407,630,16,22,.286,1.21,1,34.30,Washington Nationals
100,864,903,435,155,15,126,796,345,21,809,57,.243,3332,.322,.412,.734,10,77,.885,80,14915,3776,1372,424,710,9,31,.280,0.96,2,26.44,New York Mets
