gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
111,967,948,482,187,15,151,956,344,9,948,28,.250,3788,.316,.427,.743,17,62,.785,89,15704,4196,1618,467,751,10,21,.295,1.02,5,25.09,Athletics
109,932,928,369,150,16,72,951,339,14,833,34,.231,3612,.301,.341,.642,26,86,.768,82,15656,4021,1231,357,757,9,23,.291,1.00,4,50.17,Pittsburgh Pirates
109,980,1041,445,168,13,92,767,344,14,911,33,.250,3637,.318,.380,.698,19,74,.796,70,15511,4077,1381,417,765,32,30,.292,0.94,1,39.53,San Diego Padres
110,903,1009,498,149,6,154,973,369,17,921,60,.245,3763,.320,.410,.730,26,106,.803,71,16699,4235,1544,478,787,18,25,.288,0.89,0,24.44,Seattle Mariners
109,835,1056,443,166,19,101,921,378,9,832,46,.232,3591,.310,.373,.683,17,48,.738,74,16078,4069,1339,423,734,21,32,.281,0.79,1,35.55,San Francisco Giants
110,865,1114,483,195,4,105,840,346,12,924,53,.250,3703,.320,.389,.709,16,62,.795,79,16024,4144,1442,461,757,13,27,.294,0.78,2,35.27,St. Louis Cardinals
110,932,958,505,167,11,118,918,334,9,943,34,.254,3710,.319,.401,.720,37,143,.794,77,15905,4121,1486,475,709,10,31,.305,0.97,2,31.44,Tampa Bay Rays
110,839,1095,452,159,12,116,916,328,15,849,44,.232,3662,.300,.377,.677,23,100,.813,59,15727,4072,1380,432,715,7,30,.276,0.77,1,31.57,Texas Rangers
110,1001,1073,520,197,7,118,732,371,21,991,44,.265,3742,.336,.416,.752,17,54,.761,84,15868,4219,1556,496,808,26,29,.299,0.93,7,31.71,Toronto Blue Jays
108,866,1012,451,168,12,125,884,322,5,870,64,.241,3605,.313,.399,.712,20,55,.733,75,15645,4019,1437,432,729,2,25,.284,0.86,1,28.84,Minnesota Twins
108,931,985,504,174,14,126,862,370,13,935,38,.254,3676,.327,.412,.739,19,91,.827,66,16007,4123,1515,481,770,12,25,.298,0.95,2,29.18,Philadelphia Phillies
109,906,979,455,162,13,117,936,390,11,893,32,.243,3681,.319,.389,.708,14,50,.781,69,16376,4137,1432,441,801,10,23,.293,0.93,1,31.46,Atlanta Braves
109,832,1066,416,173,9,99,913,345,7,820,29,.229,3586,.299,.365,.664,19,67,.779,67,15609,4010,1308,400,721,17,28,.277,0.78,5,36.22,Chicago White Sox
107,960,977,453,182,18,99,841,315,11,921,26,.252,3653,.314,.393,.707,31,81,.723,66,15117,4040,1436,435,736,18,28,.300,0.98,0,36.90,Miami Marlins
109,834,1018,564,183,16,174,957,414,35,935,43,.252,3703,.332,.452,.784,24,75,.758,68,16571,4206,1672,541,780,5,36,.292,0.82,5,21.28,New York Yankees
108,947,961,517,160,11,104,860,363,12,911,46,.251,3625,.324,.388,.712,39,121,.756,56,15914,4091,1405,483,740,19,35,.299,0.99,3,34.86,Milwaukee Brewers
109,839,944,475,150,12,155,1054,325,15,855,62,.234,3658,.305,.408,.713,23,53,.697,67,16021,4082,1494,459,709,8,26,.283,0.89,3,23.60,Los Angeles Angels
109,931,1038,528,191,26,149,861,377,12,914,51,.248,3680,.323,.436,.759,24,71,.747,75,16022,4174,1604,516,747,22,42,.282,0.90,2,24.70,Arizona Diamondbacks
109,884,976,482,182,12,136,936,299,9,896,54,.245,3656,.309,.413,.722,25,77,.755,78,15867,4045,1510,456,683,3,33,.290,0.91,0,26.88,Baltimore Orioles
110,908,957,545,226,20,137,995,353,17,959,51,.253,3787,.323,.432,.755,25,94,.790,60,16413,4224,1636,523,758,7,26,.307,0.95,0,27.64,Boston Red Sox
