Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,41,27.9,5.07,60,2315,2038,304,520,117,12,84,297,51,12,216,446,.255,.332,.448,.780,115,913,41,29,8,23,7,418
Athletics,44,26.6,4.19,62,2358,2124,260,541,103,8,75,251,34,8,200,501,.255,.321,.417,.738,107,885,60,14,4,13,5,431
Atlanta Braves,42,28.5,4.05,59,2236,2002,239,491,82,6,63,229,35,11,200,501,.245,.317,.387,.704,97,774,36,17,6,11,4,434
Baltimore Orioles,46,27.4,3.85,59,2177,1967,227,470,86,8,63,213,43,13,164,517,.239,.303,.387,.690,100,761,46,26,2,18,3,385
Boston Red Sox,39,27.5,4.63,63,2446,2194,292,553,119,8,74,280,56,13,212,582,.252,.323,.415,.738,106,910,30,24,5,11,13,466
Chicago Cubs,42,28.6,5.82,60,2355,2084,349,545,115,15,81,341,79,14,227,473,.262,.335,.448,.783,124,933,29,16,6,22,8,426
Chicago White Sox,45,27.2,3.44,61,2224,1988,210,440,90,3,48,203,47,11,198,513,.221,.294,.342,.636,81,680,34,13,7,14,1,411
Cincinnati Reds,41,27.6,4.50,62,2330,2080,279,509,105,7,64,267,55,19,213,553,.245,.319,.394,.713,93,820,37,20,3,14,6,410
Cleveland Guardians,38,27.7,4.02,59,2167,1923,237,450,82,6,61,224,44,14,190,470,.234,.307,.378,.685,94,727,34,23,8,23,9,379
Colorado Rockies,44,27.7,3.16,61,2217,2016,193,437,90,15,53,191,30,14,162,591,.217,.280,.355,.635,71,716,39,20,7,12,5,381
Detroit Tigers,40,26.9,5.00,62,2352,2098,310,526,95,10,73,296,21,6,206,557,.251,.323,.410,.733,108,860,37,26,4,16,5,416
Houston Astros,38,28.7,4.03,60,2215,1991,242,502,81,6,61,231,30,13,173,457,.252,.319,.391,.709,100,778,49,28,8,15,6,415
Kansas City Royals,38,28.4,3.34,61,2243,2042,204,507,101,12,36,201,48,22,144,424,.248,.302,.362,.664,87,740,27,21,14,21,9,427
Los Angeles Angels,45,28.3,4.10,60,2193,1993,246,448,81,6,87,237,25,10,153,583,.225,.286,.402,.689,93,802,36,25,6,14,6,347
Los Angeles Dodgers,45,31.1,5.77,61,2370,2092,352,558,105,9,100,339,40,12,233,505,.267,.343,.469,.812,130,981,47,20,3,21,13,409
Miami Marlins,41,26.1,4.03,59,2237,2009,238,498,98,8,51,228,47,19,186,486,.248,.314,.381,.695,90,765,36,15,13,14,5,423
Milwaukee Brewers,41,27.0,4.50,62,2343,2075,279,492,88,5,55,256,81,19,214,505,.237,.314,.364,.678,91,755,28,25,14,14,8,427
Minnesota Twins,39,28.6,4.22,60,2246,2019,253,489,97,7,59,242,32,12,170,495,.242,.312,.385,.697,95,777,37,41,1,14,4,410
New York Mets,43,28.8,4.41,61,2307,2023,269,496,104,13,69,260,46,8,219,469,.245,.327,.412,.739,112,833,54,38,3,22,13,436
New York Yankees,34,28.2,5.46,59,2300,2000,322,516,107,10,97,309,42,14,243,518,.258,.343,.467,.810,129,934,36,29,1,24,16,439
Philadelphia Phillies,33,30.4,4.82,60,2317,2054,289,528,92,9,66,274,56,11,221,473,.257,.333,.407,.740,105,836,36,22,5,15,6,443
Pittsburgh Pirates,42,29.5,3.18,61,2275,2026,194,458,75,10,43,188,59,15,209,533,.226,.304,.337,.641,79,682,55,23,5,9,10,442
San Diego Padres,38,30.3,4.17,59,2191,1958,246,486,86,7,53,226,43,12,184,409,.248,.315,.380,.695,95,745,38,15,15,18,6,395
Seattle Mariners,45,28.9,4.47,59,2275,2005,264,474,71,3,80,255,54,18,219,528,.236,.320,.395,.714,110,791,35,31,9,11,4,428
San Francisco Giants,31,28.8,4.10,61,2271,2014,250,465,88,9,58,239,36,13,213,515,.231,.309,.370,.679,95,745,42,20,11,12,5,409
St. Louis Cardinals,35,27.1,4.67,60,2286,2038,280,527,112,4,54,265,35,12,197,465,.259,.329,.397,.726,103,809,45,27,6,18,9,426
Tampa Bay Rays,36,27.5,4.35,60,2221,2003,261,493,93,3,62,249,84,17,182,502,.246,.312,.388,.700,100,778,40,16,1,17,1,383
Texas Rangers,40,29.5,3.36,61,2159,1963,205,435,71,6,60,200,55,14,156,496,.222,.284,.356,.639,85,698,30,20,3,16,3,365
Toronto Blue Jays,41,28.2,4.18,60,2281,2014,251,509,102,2,60,241,35,9,211,420,.253,.327,.395,.722,103,795,45,21,13,19,11,446
Washington Nationals,34,26.1,4.47,60,2231,2001,268,488,103,10,60,255,56,20,175,467,.244,.312,.395,.708,101,791,36,31,10,14,2,372
League Average,39,28.2,4.31,60,2271,2028,260,495,95,8,65,250,47,14,196,498,.244,.316,.395,.710,100,800,39,23,7,16,7,413
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
,1172,28.2,4.31,1812,68138,60834,7813,14851,2839,237,1950,7487,1399,405,5890,14954,.244,.316,.395,.710,100,24014,1175,696,201,485,203,12399
