Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,45,28.0,5.13,70,2700,2371,359,604,127,15,101,352,54,15,259,538,.255,.333,.449,.781,117,1064,49,31,12,26,9,485
Athletics,46,26.5,4.29,72,2741,2471,309,627,122,8,88,300,41,8,233,589,.254,.320,.416,.737,106,1029,64,16,4,14,5,502
Atlanta Braves,45,28.5,4.19,69,2624,2344,289,577,96,6,76,278,37,12,236,596,.246,.319,.390,.709,98,913,44,22,7,15,7,506
Baltimore Orioles,47,27.3,3.88,69,2545,2296,268,550,101,9,78,250,51,13,196,603,.240,.305,.393,.698,100,903,56,30,2,21,4,451
Boston Red Sox,40,27.4,4.88,72,2810,2505,351,636,141,9,88,336,62,15,250,664,.254,.328,.423,.751,109,1059,37,34,6,15,15,534
Chicago Cubs,42,28.6,5.38,71,2759,2463,382,629,128,15,97,374,87,15,250,567,.255,.325,.438,.763,118,1078,31,17,6,23,8,500
Chicago White Sox,50,27.3,3.48,71,2599,2319,247,515,110,4,54,237,49,14,233,616,.222,.295,.343,.638,81,795,40,14,10,19,3,481
Cincinnati Reds,43,27.6,4.61,71,2681,2388,327,590,119,7,81,315,59,21,249,625,.247,.322,.405,.726,96,966,42,22,6,16,7,476
Cleveland Guardians,39,27.7,3.91,69,2528,2249,270,524,95,6,72,255,56,16,219,564,.233,.306,.377,.682,92,847,44,27,9,24,10,441
Colorado Rockies,45,27.7,3.27,70,2563,2328,229,521,111,22,60,226,32,16,191,675,.224,.288,.368,.655,76,856,50,23,7,14,5,449
Detroit Tigers,43,26.8,4.82,72,2723,2438,347,613,112,13,83,333,27,6,231,631,.251,.321,.410,.732,106,1000,41,29,4,18,7,487
Houston Astros,40,28.7,4.14,70,2587,2331,290,594,103,7,69,277,42,14,200,536,.255,.319,.394,.713,100,918,58,29,8,19,6,477
Kansas City Royals,39,28.3,3.31,71,2617,2387,235,595,114,14,46,231,55,23,168,489,.249,.302,.367,.669,88,875,37,23,15,23,10,498
Los Angeles Angels,49,28.3,4.20,69,2523,2290,290,520,93,7,99,280,33,13,175,674,.227,.289,.403,.693,94,924,41,33,6,17,7,401
Los Angeles Dodgers,46,31.1,5.55,71,2762,2435,394,643,120,12,110,378,42,12,273,579,.264,.341,.459,.800,126,1117,54,24,3,26,16,493
Miami Marlins,42,26.0,4.10,68,2578,2329,279,584,114,8,60,268,53,24,203,551,.251,.313,.384,.697,92,894,40,16,14,16,5,478
Milwaukee Brewers,42,27.0,4.35,72,2701,2388,313,563,96,8,64,289,88,21,247,593,.236,.313,.363,.676,91,867,35,30,16,17,8,493
Minnesota Twins,40,28.6,4.20,70,2617,2350,294,569,111,8,73,282,36,13,207,579,.242,.313,.389,.703,95,915,47,43,1,15,4,476
New York Mets,44,28.8,4.62,71,2711,2374,328,590,119,13,91,319,58,9,261,546,.249,.332,.425,.756,117,1008,63,47,3,24,14,518
New York Yankees,34,28.3,5.36,69,2681,2341,370,601,122,11,109,356,52,17,278,603,.257,.340,.458,.798,122,1072,45,31,2,25,18,506
Philadelphia Phillies,37,30.3,4.61,70,2672,2375,323,602,108,10,73,307,62,13,248,551,.253,.329,.400,.728,101,949,42,26,7,16,8,502
Pittsburgh Pirates,43,29.5,3.19,72,2661,2369,230,537,90,13,50,220,68,21,241,626,.227,.304,.339,.643,79,803,65,28,6,14,10,509
San Diego Padres,38,30.2,4.16,69,2572,2296,287,568,98,10,58,264,52,14,220,487,.247,.315,.375,.690,93,860,45,17,17,21,7,466
Seattle Mariners,45,28.7,4.38,69,2671,2362,302,576,92,4,89,292,69,20,249,612,.244,.323,.399,.723,112,943,41,35,11,14,7,516
San Francisco Giants,36,28.8,4.30,71,2646,2335,305,543,107,11,69,290,42,15,253,601,.233,.311,.376,.687,99,879,46,23,12,22,5,468
St. Louis Cardinals,36,27.1,4.59,71,2701,2409,326,615,124,4,65,310,39,13,228,554,.255,.326,.391,.717,102,942,53,36,8,20,10,502
Tampa Bay Rays,37,27.5,4.51,70,2607,2346,316,582,110,4,74,300,97,22,211,590,.248,.314,.393,.707,101,922,44,23,5,20,3,448
Texas Rangers,40,29.3,3.70,71,2567,2325,263,530,92,6,76,254,62,17,195,575,.228,.293,.371,.663,92,862,35,25,3,18,6,445
Toronto Blue Jays,42,28.1,4.26,70,2654,2361,298,600,121,3,70,287,38,11,228,476,.254,.323,.397,.720,101,937,53,23,16,22,12,504
Washington Nationals,36,26.1,4.20,70,2578,2324,294,558,114,10,66,279,57,23,194,536,.240,.307,.383,.690,96,890,44,35,10,14,3,427
League Average,40,28.1,4.32,70,2646,2363,304,579,110,9,76,291,53,16,228,581,.245,.316,.396,.712,100,936,46,27,8,19,8,481
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
,1213,28.1,4.32,2110,79379,70899,9115,17356,3310,277,2289,8739,1600,466,6826,17426,.245,.316,.396,.712,100,28087,1386,812,236,568,239,14439
