gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
82,734,704,342,131,9,101,678,262,5,706,19,.252,2803,.318,.413,.731,11,44,.800,75,11599,3106,1158,331,570,4,15,.297,1.04,3,27.75,Athletics
82,694,703,267,103,14,55,721,265,11,619,29,.228,2712,.302,.337,.639,22,72,.766,71,11902,3034,915,257,574,8,17,.289,0.99,3,49.31,Pittsburgh Pirates
80,717,765,336,118,11,69,561,252,8,661,21,.248,2661,.316,.379,.695,16,56,.778,54,11373,2978,1008,312,537,18,25,.288,0.94,1,38.56,San Diego Padres
79,640,729,364,108,4,105,700,277,8,667,44,.247,2705,.324,.406,.730,22,78,.780,47,12070,3057,1098,352,576,12,19,.293,0.88,0,25.76,Seattle Mariners
80,614,768,339,114,12,78,670,288,6,604,32,.231,2615,.312,.373,.685,17,43,.717,54,11762,2977,976,320,529,17,24,.278,0.80,1,33.53,San Francisco Giants
81,638,820,382,138,4,81,625,256,12,702,43,.255,2753,.326,.396,.722,14,44,.759,58,11910,3085,1091,362,564,9,23,.300,0.78,1,33.99,St. Louis Cardinals
80,664,692,379,127,6,85,674,246,3,693,28,.257,2694,.324,.403,.727,24,104,.813,54,11651,2999,1087,358,519,8,21,.311,0.96,2,31.69,Tampa Bay Rays
81,615,816,295,111,8,80,649,225,6,605,30,.228,2659,.293,.366,.659,18,69,.793,41,11303,2941,972,283,518,3,23,.269,0.75,1,33.24,Texas Rangers
79,725,769,344,134,4,81,534,256,14,685,30,.256,2672,.326,.400,.726,14,40,.741,60,11268,3004,1070,330,571,16,25,.290,0.94,5,32.99,Toronto Blue Jays
80,656,739,337,126,8,90,660,235,5,651,47,.242,2689,.312,.395,.707,14,37,.725,52,11741,2989,1063,324,545,1,16,.287,0.89,1,29.88,Minnesota Twins
80,682,743,369,126,11,83,623,278,9,695,31,.256,2719,.330,.402,.732,15,67,.817,49,11865,3052,1092,352,575,7,17,.301,0.92,0,32.76,Philadelphia Phillies
79,677,702,332,110,8,82,670,284,9,653,24,.244,2675,.320,.383,.703,12,42,.778,50,11924,3010,1025,319,584,7,20,.294,0.96,0,32.62,Atlanta Braves
81,623,765,280,123,7,64,707,266,4,583,16,.220,2646,.293,.345,.638,17,56,.767,48,11616,2964,912,267,544,11,21,.274,0.81,4,41.34,Chicago White Sox
78,710,694,318,131,11,66,626,234,5,676,18,.253,2670,.315,.385,.700,25,60,.706,46,11098,2958,1027,306,556,15,21,.305,1.02,0,40.46,Miami Marlins
80,633,709,407,141,13,121,717,313,21,694,33,.255,2721,.336,.450,.786,20,57,.740,53,12272,3103,1224,391,595,3,29,.300,0.89,4,22.49,New York Yankees
81,709,716,379,116,8,75,657,278,10,666,32,.246,2706,.321,.378,.699,27,97,.782,41,11948,3061,1023,352,553,17,25,.296,0.99,3,36.08,Milwaukee Brewers
80,603,694,338,104,8,118,788,212,10,604,43,.227,2664,.292,.405,.697,17,37,.685,44,11530,2947,1078,327,483,7,18,.274,0.87,3,22.58,Los Angeles Angels
80,692,760,413,145,17,115,619,287,9,694,37,.255,2720,.331,.448,.779,18,60,.769,54,11912,3090,1218,405,551,13,32,.287,0.91,1,23.65,Arizona Diamondbacks
