gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
80,719,686,335,131,9,98,661,256,5,690,18,.252,2737,.319,.414,.733,10,43,.811,74,11345,3033,1133,324,558,4,15,.297,1.05,3,27.93,Athletics
79,678,681,257,98,13,53,681,260,11,593,29,.227,2608,.303,.336,.639,22,71,.763,69,11447,2925,876,247,556,8,17,.286,1.00,3,49.21,Pittsburgh Pirates
77,693,731,325,116,11,65,545,242,8,639,21,.249,2565,.316,.379,.695,15,55,.786,53,10969,2872,972,301,517,18,25,.290,0.95,1,39.46,San Diego Padres
76,618,698,347,106,4,101,671,274,7,645,39,.248,2605,.327,.408,.735,21,77,.786,46,11672,2945,1062,335,562,11,16,.294,0.89,0,25.79,Seattle Mariners
78,598,749,332,113,12,76,653,280,6,594,28,.232,2556,.313,.375,.688,16,42,.724,52,11467,2903,959,313,518,16,22,.280,0.80,1,33.63,San Francisco Giants
78,617,782,366,133,4,74,612,252,12,676,43,.255,2656,.327,.391,.718,14,43,.754,56,11565,2983,1039,346,553,9,22,.302,0.79,1,35.89,St. Louis Cardinals
78,648,677,371,125,6,84,654,244,3,671,28,.256,2623,.323,.404,.727,23,104,.819,52,11394,2924,1060,352,506,7,20,.308,0.96,2,31.23,Tampa Bay Rays
78,582,783,282,108,8,78,630,218,6,583,29,.228,2555,.294,.368,.662,18,63,.778,41,10858,2826,941,270,499,3,20,.270,0.74,1,32.76,Texas Rangers
77,700,751,330,132,4,79,520,246,13,664,29,.256,2595,.324,.401,.725,12,38,.760,60,10928,2915,1041,317,552,16,24,.290,0.93,5,32.85,Toronto Blue Jays
77,630,711,328,122,8,86,637,230,5,632,47,.244,2593,.315,.396,.711,14,37,.725,50,11348,2888,1028,316,531,1,16,.290,0.89,1,30.15,Minnesota Twins
78,662,725,369,125,11,83,607,274,9,684,30,.258,2654,.332,.407,.739,15,66,.815,47,11605,2982,1080,352,559,7,17,.303,0.91,0,31.98,Philadelphia Phillies
76,654,675,319,107,7,80,641,264,9,630,22,.245,2576,.318,.385,.703,12,39,.765,48,11388,2886,991,306,554,7,17,.294,0.97,0,32.20,Atlanta Braves
78,596,742,272,118,7,60,683,256,4,563,16,.221,2553,.293,.343,.636,16,55,.775,45,11211,2860,875,259,526,11,20,.275,0.80,4,42.55,Chicago White Sox
76,691,676,306,123,11,66,609,227,5,652,18,.251,2593,.314,.384,.698,25,59,.702,46,10765,2873,995,294,539,15,20,.302,1.02,0,39.29,Miami Marlins
77,612,680,395,133,12,118,679,305,21,666,32,.256,2606,.338,.452,.790,20,54,.730,52,11767,2978,1177,380,567,3,28,.298,0.90,4,22.08,New York Yankees
78,682,687,362,115,8,71,640,269,10,640,31,.245,2608,.321,.377,.698,25,96,.793,40,11501,2952,984,336,536,17,24,.296,0.99,3,36.73,Milwaukee Brewers
77,588,673,321,102,8,113,753,193,9,581,40,.226,2571,.289,.404,.693,14,35,.714,43,11043,2831,1038,310,459,7,17,.272,0.87,3,22.75,Los Angeles Angels
77,665,727,396,140,17,110,597,279,9,666,35,.255,2611,.332,.448,.780,17,57,.770,52,11472,2970,1170,388,529,13,31,.287,0.91,1,23.74,Arizona Diamondbacks
77,612,682,304,110,9,88,680,217,6,611,36,.238,2562,.305,.391,.696,16,55,.775,60,11243,2838,1003,285,495,2,21,.288,0.90,0,29.11,Baltimore Orioles
79,646,690,372,147,11,97,733,267,15,680,36,.249,2729,.323,.418,.741,16,65,.802,43,11906,3053,1140,354,570,6,15,.305,0.94,0,28.13,Boston Red Sox
77,602,801,417,137,15,113,611,269,9,677,22,.254,2662,.325,.444,.769,16,91,.850,34,11689,2982,1183,409,532,6,23,.288,0.75,0,23.56,Chicago Cubs
78,637,679,360,131,9,86,682,269,7,643,24,.246,2615,.320,.402,.722,23,63,.733,47,11452,2934,1050,345,516,6,20,.298,0.94,0,30.41,Cincinnati Reds
76,582,737,286,109,7,75,625,232,11,570,27,.230,2479,.300,.370,.670,17,61,.782,47,10891,2773,918,271,481,10,25,.274,0.79,0,33.05,Cleveland Guardians
78,591,680,276,123,25,77,765,209,5,593,29,.228,2605,.291,.383,.674,19,41,.683,57,10915,2867,997,271,489,8,16,.290,0.87,0,33.83,Colorado Rockies
79,589,747,391,129,15,96,692,257,7,674,34,.252,2673,.323,.419,.742,6,28,.824,45,11595,2996,1121,377,531,4,25,.303,0.79,3,27.84,Detroit Tigers
78,646,724,333,113,7,84,606,229,7,674,35,.257,2620,.323,.402,.725,19,45,.703,66,10904,2914,1053,317,540,9,21,.302,0.89,0,31.19,Houston Astros
78,628,859,262,127,15,56,527,187,12,646,25,.247,2619,.301,.371,.672,26,62,.705,39,10803,2873,971,258,538,18,23,.287,0.73,1,46.77,Kansas City Royals
79,614,758,442,134,14,123,645,298,17,712,30,.264,2697,.341,.461,.802,13,44,.772,59,11989,3058,1243,424,542,3,29,.301,0.81,1,21.93,Los Angeles Dodgers
78,792,634,329,127,10,81,577,222,4,625,38,.241,2596,.308,.391,.699,27,64,.703,49,10963,2889,1015,313,484,14,18,.278,1.25,1,32.05,Washington Nationals
78,687,700,347,124,13,103,610,279,14,639,48,.245,2609,.326,.421,.747,10,61,.859,65,11735,2965,1098,338,562,3,24,.279,0.98,2,25.33,New York Mets
