gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
151,1308,1300,696,276,16,211,1299,473,14,1322,42,.255,5179,.321,.437,.758,27,76,.738,.262,113,21557,5749,2263,675,1033,17,33,.300,1.01,5,24.54,Athletics
153,1312,1274,541,224,21,107,1331,502,19,1156,49,.230,5029,.304,.347,.651,34,111,.766,.234,116,22006,5628,1743,520,1057,13,31,.290,1.03,4,47.00,Pittsburgh Pirates
151,1355,1440,644,244,18,138,1071,479,16,1269,55,.251,5048,.321,.389,.710,27,99,.786,.214,100,21904,5671,1963,607,1056,45,42,.291,0.94,2,36.58,San Diego Padres
151,1209,1398,717,218,9,221,1334,513,26,1256,81,.244,5139,.321,.419,.740,36,150,.806,.194,96,22767,5793,2155,687,1050,23,35,.286,0.86,2,23.25,Seattle Mariners
151,1163,1459,657,224,26,162,1278,509,12,1187,62,.237,5017,.312,.388,.700,21,65,.756,.244,99,22228,5659,1949,627,1000,22,48,.283,0.80,1,30.97,San Francisco Giants
152,1196,1488,651,242,8,141,1229,447,15,1250,84,.245,5104,.314,.378,.692,23,84,.785,.215,106,22075,5698,1931,619,1025,20,39,.294,0.80,4,36.20,St. Louis Cardinals
151,1312,1266,673,225,16,172,1299,434,9,1281,44,.251,5101,.313,.403,.716,46,185,.801,.199,101,21878,5638,2054,641,964,16,41,.302,1.04,2,29.66,Tampa Bay Rays
152,1209,1496,651,234,15,167,1237,467,18,1215,59,.238,5108,.307,.388,.695,29,129,.816,.184,88,22138,5686,1980,627,1014,10,39,.280,0.81,3,30.59,Texas Rangers
151,1340,1481,757,277,10,180,1027,488,25,1390,63,.269,5161,.337,.432,.769,23,74,.763,.237,125,21834,5797,2227,731,1064,33,44,.303,0.90,8,28.67,Toronto Blue Jays
151,1224,1420,648,233,19,182,1254,471,9,1217,86,.240,5073,.313,.401,.714,29,103,.780,.220,96,22113,5673,2034,615,1029,8,34,.282,0.86,1,27.87,Minnesota Twins
152,1277,1371,743,255,24,197,1232,501,17,1347,60,.260,5173,.331,.433,.764,28,119,.810,.190,91,22474,5791,2241,718,1059,15,39,.304,0.93,3,26.26,Philadelphia Phillies
152,1276,1391,668,230,17,172,1290,528,14,1259,48,.244,5168,.318,.395,.713,24,75,.758,.242,92,22915,5793,2039,646,1084,15,33,.291,0.92,1,30.05,Atlanta Braves
152,1158,1487,608,231,10,153,1281,472,8,1179,44,.233,5052,.303,.374,.677,21,82,.796,.204,102,21899,5626,1889,587,1000,20,33,.281,0.78,5,33.02,Chicago White Sox
151,1376,1379,661,253,26,144,1169,453,12,1289,48,.250,5155,.314,.393,.707,40,118,.747,.253,89,21425,5714,2026,630,1038,19,39,.295,1.00,0,35.80,Miami Marlins
151,1135,1408,784,239,19,255,1351,586,40,1275,48,.250,5110,.329,.453,.782,33,125,.791,.209,96,23038,5812,2317,757,1052,7,52,.287,0.81,9,20.04,New York Yankees
151,1336,1358,771,247,16,161,1177,522,14,1342,66,.261,5141,.334,.409,.743,52,155,.749,.251,89,22827,5805,2104,716,1065,25,47,.307,0.98,4,31.93,Milwaukee Brewers
151,1119,1301,641,202,17,209,1510,461,22,1140,85,.227,5023,.301,.399,.700,25,81,.764,.236,89,22280,5621,2003,619,964,13,34,.279,0.86,5,24.03,Los Angeles Angels
152,1284,1426,757,260,36,205,1230,509,18,1293,76,.252,5140,.325,.436,.761,35,115,.767,.233,103,22483,5821,2240,736,1028,33,60,.289,0.90,3,25.07,Arizona Diamondbacks
151,1234,1322,647,242,18,179,1342,444,14,1214,71,.239,5070,.307,.400,.707,35,106,.752,.248,99,22087,5627,2029,614,971,4,38,.289,0.93,0,28.32,Baltimore Orioles
151,1266,1325,737,303,23,177,1322,483,22,1316,69,.254,5182,.324,.424,.748,37,128,.776,.224,89,22454,5782,2196,702,1042,11,37,.306,0.96,0,29.28,Boston Red Sox
152,1189,1535,738,250,27,204,1184,522,15,1283,44,.250,5129,.322,.429,.751,34,153,.818,.182,67,22282,5759,2199,719,1045,9,53,.284,0.77,2,25.14,Chicago Cubs
151,1234,1345,676,237,23,152,1312,497,15,1248,49,.245,5085,.316,.391,.707,29,100,.775,.225,98,22039,5685,1987,639,1017,12,42,.299,0.92,0,33.45,Cincinnati Reds
150,1136,1502,587,221,16,155,1239,453,27,1108,57,.226,4913,.296,.372,.668,33,115,.777,.223,75,21538,5495,1826,567,940,24,47,.267,0.76,0,31.70,Cleveland Guardians
151,1180,1294,563,239,35,149,1425,371,5,1205,46,.238,5055,.295,.388,.683,36,81,.692,.308,113,20991,5522,1961,548,925,19,30,.301,0.91,1,33.93,Colorado Rockies
151,1110,1436,734,233,35,190,1332,476,12,1268,64,.249,5094,.318,.420,.738,15,58,.795,.205,82,22397,5692,2141,700,982,5,47,.298,0.77,6,26.81,Detroit Tigers
152,1286,1409,647,233,12,167,1211,450,15,1302,64,.253,5155,.318,.400,.718,26,77,.748,.252,118,21497,5723,2060,617,1058,16,37,.298,0.91,1,30.87,Houston Astros
151,1249,1607,582,264,21,146,1021,400,18,1227,64,.244,5036,.305,.391,.696,41,104,.717,.283,93,21234,5571,1971,572,993,28,40,.277,0.78,3,34.49,Kansas City Royals
151,1174,1444,773,242,19,223,1260,554,32,1301,52,.254,5116,.330,.440,.770,23,85,.787,.213,104,22765,5788,2250,741,1035,11,52,.293,0.81,3,22.94,Los Angeles Dodgers
152,1388,1274,643,245,27,143,1241,425,11,1233,53,.243,5078,.306,.386,.692,45,125,.735,.265,94,21479,5616,1961,617,937,18,40,.292,1.09,2,35.51,Washington Nationals
151,1301,1345,712,246,19,207,1230,527,26,1267,83,.250,5078,.327,.428,.755,17,134,.887,.113,114,22562,5755,2172,694,1068,13,52,.287,0.97,2,24.53,New York Mets
