gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
103,905,873,437,173,14,134,888,325,9,871,24,.248,3512,.315,.420,.735,15,57,.792,86,14586,3891,1474,422,701,7,18,.294,1.04,5,26.21,Athletics
103,867,870,345,141,15,67,891,317,13,782,30,.231,3380,.301,.341,.642,26,82,.759,78,14663,3761,1154,333,704,8,22,.293,1.00,4,50.45,Pittsburgh Pirates
102,903,973,405,151,12,86,717,326,14,823,27,.245,3359,.314,.374,.688,18,70,.795,63,14394,3770,1256,380,698,28,29,.285,0.93,1,39.06,San Diego Padres
101,823,929,468,143,5,139,896,345,17,859,59,.248,3465,.324,.412,.736,25,91,.784,65,15398,3911,1429,450,735,18,24,.293,0.89,0,24.93,Seattle Mariners
103,779,991,422,156,18,95,863,355,9,780,41,.232,3362,.310,.374,.684,17,46,.730,70,15034,3810,1257,402,681,19,32,.281,0.79,1,35.39,San Francisco Giants
102,793,1040,461,180,4,100,789,316,12,876,48,.253,3459,.322,.394,.716,15,57,.792,71,14921,3863,1364,440,705,12,27,.299,0.76,1,34.59,St. Louis Cardinals
102,866,890,474,155,9,111,838,309,9,880,29,.256,3436,.320,.403,.723,34,133,.796,69,14700,3814,1386,446,653,10,28,.306,0.97,2,30.96,Tampa Bay Rays
102,782,1023,413,148,9,109,844,299,11,784,40,.231,3398,.298,.376,.674,22,95,.812,55,14550,3773,1277,396,661,7,28,.273,0.76,1,31.17,Texas Rangers
101,916,987,466,177,4,105,671,341,20,888,39,.260,3411,.332,.407,.739,16,52,.765,77,14526,3849,1388,445,732,23,28,.294,0.93,7,32.49,Toronto Blue Jays
101,814,942,431,161,12,119,832,298,5,819,59,.242,3384,.313,.402,.715,19,49,.721,66,14660,3765,1361,413,679,2,21,.285,0.86,1,28.44,Minnesota Twins
101,871,912,461,159,13,110,802,348,11,869,38,.254,3421,.328,.405,.733,18,88,.830,62,14960,3842,1384,438,725,10,23,.300,0.96,2,31.10,Philadelphia Phillies
101,844,889,415,146,10,110,869,346,10,826,31,.243,3397,.317,.389,.706,13,46,.780,62,15078,3806,1322,402,733,10,21,.294,0.95,1,30.88,Atlanta Braves
102,777,981,370,165,9,83,875,335,7,745,27,.223,3334,.297,.353,.650,18,64,.780,64,14630,3745,1177,355,682,17,27,.275,0.79,5,40.17,Chicago White Sox
101,908,904,429,167,17,91,792,298,11,870,24,.254,3430,.315,.392,.707,28,76,.731,63,14197,3796,1344,412,694,17,27,.303,1.00,0,37.69,Miami Marlins
