gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
132,1152,1134,592,235,16,180,1134,421,13,1140,35,.252,4516,.319,.431,.750,22,67,.753,.247,104,18860,5021,1947,575,905,13,31,.297,1.02,5,25.09,Athletics
131,1128,1108,467,191,18,94,1130,419,17,1015,41,.234,4342,.305,.351,.656,29,100,.775,.225,99,18975,4845,1524,451,912,11,28,.293,1.02,4,46.19,Pittsburgh Pirates
131,1192,1242,548,212,16,111,911,424,16,1094,46,.251,4361,.321,.383,.704,26,87,.770,.230,83,18863,4911,1671,513,923,40,38,.291,0.96,2,39.29,San Diego Padres
131,1052,1201,597,179,7,186,1175,440,19,1075,69,.241,4455,.317,.410,.727,30,132,.815,.185,78,19797,5013,1826,573,918,21,27,.285,0.88,1,23.95,Seattle Mariners
131,992,1271,530,196,24,128,1132,444,9,1005,53,.231,4343,.308,.376,.684,18,60,.769,.231,84,19356,4898,1633,504,886,22,35,.281,0.78,1,33.93,San Francisco Giants
131,1032,1307,573,218,5,124,1026,397,14,1098,62,.249,4412,.317,.385,.702,19,77,.802,.198,94,19044,4925,1698,545,890,18,33,.296,0.79,3,35.58,St. Louis Cardinals
130,1112,1110,584,194,14,145,1115,381,9,1103,42,.251,4393,.315,.401,.716,43,171,.799,.201,81,18851,4865,1760,553,841,12,35,.302,1.00,2,30.30,Tampa Bay Rays
132,1031,1311,546,200,12,142,1080,398,18,1035,53,.234,4417,.303,.381,.684,29,114,.797,.203,71,19097,4910,1685,524,872,8,32,.277,0.79,2,31.11,Texas Rangers
131,1191,1277,640,235,9,154,877,429,22,1192,56,.266,4475,.336,.426,.762,18,63,.778,.222,106,18927,5029,1907,616,938,30,32,.299,0.93,7,29.06,Toronto Blue Jays
130,1053,1216,537,202,16,150,1080,392,8,1032,75,.237,4350,.310,.394,.704,25,66,.725,.275,87,18898,4849,1716,512,874,5,26,.280,0.87,1,29.00,Minnesota Twins
130,1103,1185,617,217,17,160,1041,427,14,1138,49,.257,4423,.327,.423,.750,23,108,.824,.176,77,19166,4946,1869,592,913,14,30,.301,0.93,3,27.64,Philadelphia Phillies
130,1090,1169,570,196,14,144,1123,466,13,1080,41,.244,4421,.320,.393,.713,18,65,.783,.217,76,19632,4970,1736,550,950,13,28,.294,0.93,1,30.70,Atlanta Braves
130,1000,1272,512,195,9,129,1079,414,8,1003,33,.233,4304,.303,.372,.675,20,77,.794,.206,87,18650,4806,1603,494,862,19,31,.280,0.79,5,33.36,Chicago White Sox
130,1170,1183,562,214,24,127,1027,392,12,1110,37,.250,4440,.314,.395,.709,35,107,.754,.246,76,18483,4919,1753,538,896,19,31,.296,0.99,0,34.96,Miami Marlins
130,996,1217,666,206,19,215,1139,500,38,1100,44,.250,4404,.330,.452,.782,28,102,.785,.215,84,19729,5002,1989,641,913,7,41,.286,0.82,6,20.48,New York Yankees
131,1159,1176,666,209,14,138,1026,457,14,1142,60,.257,4441,.332,.404,.736,47,139,.747,.253,73,19616,5024,1793,618,916,23,39,.303,0.99,4,32.18,Milwaukee Brewers
130,985,1121,564,178,14,183,1273,394,19,1003,74,.231,4342,.304,.405,.709,25,63,.716,.284,75,19117,4854,1758,545,838,10,30,.281,0.88,4,23.73,Los Angeles Angels
