Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,45,28.0,5.09,68,2624,2305,346,588,126,14,98,339,53,15,251,517,.255,.333,.449,.782,117,1036,49,30,12,25,9,471
Athletics,46,26.6,4.27,70,2663,2400,299,610,121,8,84,290,38,8,227,577,.254,.321,.416,.737,106,999,64,15,4,14,5,488
Atlanta Braves,45,28.5,4.07,67,2549,2278,273,555,94,6,73,263,36,12,230,580,.244,.317,.386,.704,97,880,41,22,7,12,7,495
Baltimore Orioles,46,27.3,3.88,67,2476,2233,260,533,98,9,74,242,50,13,191,591,.239,.304,.390,.694,99,871,53,29,2,21,3,438
Boston Red Sox,40,27.4,4.93,70,2737,2444,345,623,136,9,88,331,61,14,241,650,.255,.328,.426,.754,110,1041,35,33,5,14,14,519
Chicago Cubs,42,28.6,5.49,69,2690,2398,379,615,126,15,96,371,84,15,247,550,.256,.327,.442,.769,120,1059,30,17,6,22,8,487
Chicago White Sox,49,27.3,3.51,69,2521,2246,242,500,106,4,54,232,49,14,229,592,.223,.296,.346,.642,82,776,39,14,10,18,2,466
Cincinnati Reds,43,27.6,4.51,69,2594,2311,311,566,114,7,75,299,59,21,240,608,.245,.320,.398,.718,95,919,41,22,6,15,7,459
Cleveland Guardians,39,27.7,3.96,67,2458,2185,265,512,93,6,69,251,54,16,213,547,.234,.307,.377,.684,92,824,41,27,9,24,10,430
Colorado Rockies,45,27.7,3.29,68,2487,2259,224,503,108,22,59,221,32,16,186,648,.223,.286,.368,.655,76,832,46,21,7,14,5,432
Detroit Tigers,42,26.8,4.79,70,2643,2370,335,593,107,13,79,321,25,6,223,622,.250,.320,.406,.726,105,963,41,27,4,17,6,470
Houston Astros,38,28.7,4.07,68,2513,2265,277,576,99,6,67,264,41,13,193,517,.254,.319,.392,.711,99,888,57,29,8,18,6,466
Kansas City Royals,39,28.3,3.35,69,2547,2324,231,584,111,13,46,227,53,23,163,475,.251,.304,.370,.673,89,859,36,22,15,22,10,486
Los Angeles Angels,46,28.3,4.25,67,2448,2223,285,504,92,7,96,275,31,12,169,649,.227,.289,.404,.692,93,898,39,31,6,17,7,385
Los Angeles Dodgers,46,31.1,5.52,69,2686,2375,381,630,117,12,105,365,42,12,259,573,.265,.340,.457,.798,126,1086,52,24,3,24,15,481
Miami Marlins,42,26.0,4.00,66,2492,2250,264,556,111,8,57,254,53,23,197,538,.247,.310,.380,.690,90,854,39,16,14,15,5,461
Milwaukee Brewers,42,27.0,4.36,70,2628,2325,305,549,93,7,63,282,86,20,241,571,.236,.313,.363,.677,92,845,35,28,15,16,8,479
Minnesota Twins,40,28.6,4.25,68,2550,2287,289,558,110,8,69,277,34,13,204,554,.244,.316,.390,.705,96,891,45,42,1,15,4,468
New York Mets,44,28.8,4.62,69,2630,2302,319,572,117,13,89,310,58,9,253,528,.248,.332,.427,.758,118,982,60,46,3,24,14,500
New York Yankees,34,28.3,5.46,67,2612,2276,366,591,120,11,108,352,51,15,274,587,.260,.344,.464,.808,125,1057,43,31,2,25,18,497
Philadelphia Phillies,37,30.3,4.59,68,2600,2316,312,588,104,10,71,296,62,13,238,535,.254,.328,.399,.727,101,925,42,24,7,15,8,489
Pittsburgh Pirates,43,29.5,3.24,70,2592,2307,227,526,88,13,49,217,65,19,236,613,.228,.306,.341,.647,81,787,62,28,5,13,10,499
San Diego Padres,38,30.2,4.16,67,2497,2230,279,551,95,10,57,257,52,13,212,474,.247,.315,.375,.690,92,837,41,17,17,20,6,453
Seattle Mariners,45,28.8,4.34,67,2587,2292,291,553,85,4,87,282,65,19,239,601,.241,.320,.396,.716,109,907,41,33,10,13,5,493
San Francisco Giants,36,28.8,4.26,69,2568,2266,294,527,102,11,65,280,42,15,244,584,.233,.311,.373,.684,98,846,45,23,12,22,5,455
St. Louis Cardinals,36,27.1,4.58,69,2622,2339,316,598,121,4,63,301,38,13,221,535,.256,.326,.392,.718,102,916,52,34,8,20,10,487
Tampa Bay Rays,37,27.5,4.43,68,2523,2271,301,557,107,3,71,286,96,19,205,575,.245,.311,.389,.700,99,883,43,21,4,20,3,433
Texas Rangers,40,29.3,3.70,69,2481,2254,255,512,85,6,75,249,62,17,183,559,.227,.290,.370,.660,91,834,33,23,3,17,4,421
Toronto Blue Jays,42,28.1,4.35,68,2586,2297,296,589,119,3,70,285,38,11,225,462,.256,.326,.402,.728,103,924,52,22,16,22,12,492
Washington Nationals,35,26.1,4.15,68,2493,2248,282,535,111,10,65,268,57,23,186,519,.238,.304,.383,.687,97,861,42,34,10,14,2,408
League Average,40,28.1,4.32,68,2570,2296,295,562,107,9,74,283,52,15,221,564,.245,.316,.396,.712,100,909,45,26,8,18,8,467
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
,1207,28.1,4.32,2050,77097,68876,8849,16854,3216,272,2222,8487,1567,452,6620,16931,.245,.316,.396,.712,100,27280,1339,785,231,548,228,14008
