gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
138,1202,1182,625,250,16,187,1192,436,13,1193,35,.253,4723,.318,.431,.749,24,67,.736,.264,107,19697,5245,2036,607,940,14,32,.298,1.02,5,25.26,Athletics
138,1188,1160,500,206,18,100,1201,450,18,1071,45,.234,4577,.307,.352,.659,31,103,.769,.231,107,20019,5119,1613,480,964,13,30,.294,1.02,4,45.77,Pittsburgh Pirates
137,1244,1298,582,224,16,119,962,442,16,1154,50,.252,4576,.322,.386,.708,26,90,.776,.224,90,19836,5152,1767,547,968,43,39,.293,0.96,2,38.45,San Diego Padres
137,1097,1258,627,186,7,195,1221,459,20,1124,72,.242,4652,.318,.410,.728,32,135,.808,.192,84,20638,5232,1909,602,951,21,27,.285,0.87,1,23.86,Seattle Mariners
137,1039,1329,580,205,25,140,1173,463,9,1072,56,.236,4550,.311,.384,.695,19,62,.765,.235,89,20212,5133,1747,551,923,22,41,.284,0.78,1,32.50,San Francisco Giants
138,1074,1376,603,227,6,132,1099,415,14,1146,69,.247,4641,.316,.384,.700,21,77,.786,.214,96,20043,5183,1781,574,931,18,36,.294,0.78,4,35.16,St. Louis Cardinals
136,1170,1161,611,204,15,154,1166,392,9,1148,42,.250,4596,.312,.401,.713,44,172,.796,.204,85,19664,5081,1844,579,866,12,37,.300,1.01,2,29.84,Tampa Bay Rays
138,1080,1370,596,214,12,155,1125,417,18,1104,56,.238,4635,.307,.390,.697,29,116,.800,.200,76,20064,5154,1807,574,910,8,36,.280,0.79,2,29.90,Texas Rangers
137,1231,1336,675,247,9,162,921,445,22,1253,60,.268,4676,.337,.429,.766,20,67,.770,.230,114,19810,5253,2004,651,974,30,35,.301,0.92,7,28.86,Toronto Blue Jays
136,1102,1275,573,207,16,162,1126,415,8,1083,79,.238,4552,.311,.397,.708,26,78,.750,.250,87,19835,5081,1808,546,914,6,28,.280,0.86,1,28.10,Minnesota Twins
137,1158,1250,650,225,20,170,1103,447,15,1197,51,.257,4663,.326,.423,.749,24,113,.825,.175,79,20194,5209,1972,625,959,14,31,.300,0.93,3,27.43,Philadelphia Phillies
137,1150,1234,604,207,14,154,1183,492,14,1138,44,.244,4663,.320,.394,.714,19,68,.782,.218,81,20727,5242,1835,584,997,14,28,.293,0.93,1,30.28,Atlanta Braves
137,1045,1357,536,206,9,136,1135,427,8,1060,35,.233,4547,.302,.372,.674,20,78,.796,.204,90,19655,5064,1692,517,909,19,31,.279,0.77,5,33.43,Chicago White Sox
137,1236,1250,599,230,26,131,1076,411,12,1178,41,.251,4685,.315,.396,.711,36,112,.757,.243,82,19513,5192,1853,569,946,19,36,.298,0.99,0,35.76,Miami Marlins
137,1032,1295,719,220,19,233,1210,539,39,1162,46,.250,4646,.331,.456,.787,28,110,.797,.203,87,20934,5292,2119,692,966,8,45,.286,0.80,8,19.94,New York Yankees
138,1220,1242,703,224,15,149,1080,473,14,1217,60,.259,4694,.332,.409,.741,48,141,.746,.254,76,20735,5296,1918,655,966,24,41,.305,0.98,4,31.50,Milwaukee Brewers
136,1024,1175,581,187,14,190,1338,420,19,1037,75,.229,4534,.303,.402,.705,25,69,.734,.266,79,19995,5073,1822,561,878,10,30,.279,0.87,4,23.86,Los Angeles Angels
138,1150,1315,680,236,33,190,1120,462,16,1169,69,.250,4674,.323,.437,.760,30,100,.769,.231,92,20358,5288,2041,664,936,27,53,.287,0.87,3,24.60,Arizona Diamondbacks
137,1132,1209,595,225,17,164,1194,385,10,1113,66,.242,4608,.307,.405,.712,31,95,.754,.246,92,19918,5099,1864,563,868,3,37,.289,0.94,0,28.10,Baltimore Orioles
138,1162,1202,678,274,21,166,1218,449,21,1192,66,.252,4729,.323,.424,.747,35,116,.768,.232,79,20531,5290,2006,647,951,11,35,.304,0.97,0,28.49,Boston Red Sox
137,1088,1407,676,229,25,186,1060,463,13,1164,40,.250,4664,.320,.429,.749,29,135,.823,.177,60,20120,5224,2001,660,939,9,46,.282,0.77,2,25.08,Chicago Cubs
137,1112,1226,611,217,20,136,1188,449,14,1137,47,.246,4613,.317,.391,.708,28,92,.767,.233,89,19981,5159,1802,576,928,12,38,.301,0.91,0,33.92,Cincinnati Reds
135,1019,1364,519,192,14,137,1117,413,26,982,52,.223,4413,.294,.366,.660,30,105,.778,.222,66,19388,4947,1613,500,849,23,46,.264,0.75,0,32.21,Cleveland Guardians
