gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
153,1324,1319,705,279,16,212,1321,481,14,1340,42,.255,5253,.321,.435,.756,27,79,.745,.255,114,21876,5832,2287,682,1051,17,34,.300,1.00,5,24.78,Athletics
153,1318,1285,545,225,21,108,1342,505,19,1165,51,.230,5066,.304,.347,.651,34,111,.766,.234,116,22201,5670,1756,524,1068,13,31,.290,1.03,4,46.91,Pittsburgh Pirates
153,1369,1461,652,244,18,140,1085,484,16,1288,57,.252,5113,.321,.389,.710,28,100,.781,.219,101,22187,5746,1988,615,1069,46,44,.292,0.94,2,36.52,San Diego Padres
153,1229,1413,724,221,9,223,1349,516,26,1271,81,.244,5202,.320,.419,.739,36,150,.806,.194,99,23042,5861,2179,693,1057,23,36,.286,0.87,2,23.33,Seattle Mariners
153,1176,1479,663,225,26,162,1303,521,12,1193,62,.235,5080,.311,.385,.696,22,66,.750,.250,101,22556,5735,1956,633,1012,22,49,.281,0.80,1,31.36,San Francisco Giants
153,1202,1497,653,243,8,142,1240,451,15,1255,84,.244,5135,.314,.378,.692,24,85,.780,.220,107,22225,5733,1940,620,1031,20,39,.294,0.80,4,36.16,St. Louis Cardinals
153,1326,1284,679,231,16,173,1311,439,10,1300,45,.252,5164,.314,.403,.717,47,186,.798,.202,102,22139,5707,2082,647,979,16,41,.303,1.03,2,29.85,Tampa Bay Rays
153,1219,1506,653,235,15,167,1242,470,18,1221,59,.238,5139,.307,.387,.694,30,131,.814,.186,89,22268,5720,1987,629,1019,10,39,.280,0.81,3,30.77,Texas Rangers
153,1358,1503,758,279,10,180,1039,491,25,1398,63,.268,5220,.335,.429,.764,23,74,.763,.237,128,22087,5860,2237,732,1072,33,45,.301,0.90,8,29.00,Toronto Blue Jays
152,1231,1430,653,234,19,182,1262,473,9,1228,87,.240,5109,.314,.400,.714,29,104,.782,.218,98,22252,5712,2046,619,1036,8,34,.283,0.86,1,28.07,Minnesota Twins
153,1281,1381,743,255,24,197,1245,504,17,1350,60,.259,5203,.330,.431,.761,28,119,.810,.190,91,22622,5824,2244,718,1065,15,39,.303,0.93,3,26.41,Philadelphia Phillies
153,1283,1401,677,232,17,173,1298,531,14,1275,48,.245,5208,.319,.396,.715,24,76,.760,.240,93,23092,5837,2060,655,1092,15,34,.292,0.92,1,30.10,Atlanta Braves
153,1163,1502,609,231,10,154,1287,472,8,1184,44,.233,5083,.302,.373,.675,21,82,.796,.204,103,22026,5657,1897,588,1003,20,33,.280,0.77,5,33.01,Chicago White Sox
153,1396,1403,678,258,26,148,1177,462,12,1313,49,.251,5229,.316,.395,.711,40,121,.752,.248,90,21737,5800,2067,647,1053,19,41,.295,1.00,0,35.33,Miami Marlins
153,1150,1422,801,247,19,258,1370,597,41,1296,50,.250,5178,.331,.455,.786,35,130,.788,.212,99,23370,5894,2355,773,1063,7,53,.288,0.81,9,20.07,New York Yankees
153,1353,1378,785,251,17,162,1187,533,14,1357,66,.261,5202,.334,.409,.743,52,155,.749,.251,91,23116,5878,2128,729,1076,25,48,.306,0.98,4,32.11,Milwaukee Brewers
153,1127,1318,645,204,17,212,1540,463,22,1151,85,.226,5089,.300,.398,.698,25,84,.771,.229,89,22546,5690,2025,623,975,13,34,.279,0.86,6,24.00,Los Angeles Angels
153,1294,1443,758,260,37,205,1235,513,19,1297,77,.251,5174,.324,.434,.758,36,116,.763,.237,103,22647,5862,2246,737,1037,34,61,.288,0.90,3,25.24,Arizona Diamondbacks
153,1248,1335,650,243,18,180,1369,451,14,1224,71,.238,5134,.307,.398,.705,35,113,.764,.236,99,22364,5698,2043,617,985,4,38,.288,0.93,0,28.52,Baltimore Orioles
153,1281,1350,745,304,23,180,1337,490,24,1333,69,.254,5252,.323,.423,.746,38,132,.776,.224,91,22771,5861,2223,710,1059,12,38,.306,0.95,0,29.18,Boston Red Sox
153,1209,1555,743,252,27,205,1199,529,15,1292,45,.249,5192,.321,.426,.747,34,154,.819,.181,68,22556,5831,2213,724,1058,9,54,.283,0.78,2,25.33,Chicago Cubs
153,1245,1364,683,240,23,153,1333,501,15,1263,49,.245,5151,.316,.390,.706,29,100,.775,.225,98,22321,5755,2008,645,1029,12,42,.299,0.91,0,33.67,Cincinnati Reds
152,1147,1525,594,223,17,157,1259,464,28,1125,57,.226,4983,.297,.372,.669,33,117,.780,.220,75,21876,5577,1853,574,961,25,47,.268,0.75,0,31.74,Cleveland Guardians
153,1206,1307,574,243,35,154,1439,376,5,1227,47,.239,5129,.296,.390,.686,37,82,.689,.311,113,21280,5603,2002,559,941,19,31,.301,0.92,1,33.30,Colorado Rockies
153,1121,1454,735,236,35,190,1355,484,12,1277,64,.248,5155,.317,.418,.735,15,59,.797,.203,83,22715,5761,2153,701,996,5,47,.297,0.77,6,27.13,Detroit Tigers
153,1290,1421,652,234,12,169,1220,451,15,1308,64,.252,5186,.318,.400,.718,26,77,.748,.252,118,21625,5755,2073,622,1061,16,37,.297,0.91,1,30.69,Houston Astros
153,1259,1632,589,268,21,148,1034,404,18,1246,65,.244,5102,.306,.392,.698,41,104,.717,.283,94,21495,5643,2000,579,1007,29,40,.277,0.77,3,34.47,Kansas City Royals
153,1190,1464,780,244,19,225,1272,557,32,1313,52,.254,5175,.329,.439,.768,23,86,.789,.211,105,23016,5851,2270,747,1043,11,53,.292,0.81,3,23.00,Los Angeles Dodgers
153,1396,1280,647,249,27,143,1253,425,11,1244,54,.243,5115,.306,.386,.692,45,127,.738,.262,94,21630,5654,1976,621,944,18,40,.293,1.09,2,35.77,Washington Nationals
153,1315,1364,722,248,19,213,1248,533,26,1283,83,.249,5144,.327,.429,.756,17,136,.889,.111,114,22875,5828,2208,704,1080,13,53,.286,0.96,2,24.15,New York Mets
