gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
140,1225,1202,637,259,16,190,1201,441,14,1213,35,.253,4794,.319,.433,.752,25,67,.728,.272,109,19931,5322,2074,619,951,15,32,.298,1.02,5,25.23,Athletics
139,1195,1169,509,209,18,100,1208,458,18,1079,45,.234,4607,.308,.353,.661,31,104,.770,.230,108,20173,5158,1624,489,970,13,31,.294,1.02,4,46.07,Pittsburgh Pirates
139,1262,1318,587,226,16,120,977,448,16,1167,51,.251,4641,.322,.385,.707,27,91,.771,.229,91,20147,5225,1785,552,982,44,39,.292,0.96,2,38.68,San Diego Padres
139,1112,1279,634,188,7,199,1236,466,20,1140,72,.242,4716,.318,.411,.729,33,136,.805,.195,86,20912,5306,1939,609,964,22,29,.284,0.87,1,23.70,Seattle Mariners
139,1061,1344,595,205,25,147,1187,468,9,1096,59,.237,4625,.313,.387,.700,19,63,.768,.232,90,20528,5216,1792,566,937,22,41,.285,0.79,1,31.46,San Francisco Giants
140,1085,1396,608,229,6,134,1116,418,14,1159,70,.247,4701,.315,.383,.698,21,77,.786,.214,97,20288,5248,1802,579,940,19,36,.294,0.78,4,35.08,St. Louis Cardinals
138,1186,1175,627,210,15,157,1182,398,9,1168,43,.251,4661,.313,.403,.716,44,175,.799,.201,86,19954,5154,1879,595,875,12,38,.301,1.01,2,29.69,Tampa Bay Rays
140,1102,1387,606,215,14,157,1140,423,18,1122,56,.238,4706,.307,.390,.697,29,117,.801,.199,79,20390,5232,1836,584,922,8,37,.280,0.79,2,29.98,Texas Rangers
139,1244,1356,691,251,9,168,938,452,23,1273,61,.268,4746,.337,.431,.768,20,69,.775,.225,116,20110,5331,2046,666,982,30,35,.301,0.92,7,28.25,Toronto Blue Jays
138,1117,1297,581,211,17,163,1142,423,8,1098,79,.238,4618,.311,.397,.708,26,80,.755,.245,88,20112,5157,1832,553,928,6,30,.280,0.86,1,28.33,Minnesota Twins
138,1163,1261,660,228,21,171,1111,451,15,1211,52,.258,4699,.327,.424,.751,24,114,.826,.174,81,20356,5252,1994,635,965,14,33,.301,0.92,3,27.48,Philadelphia Phillies
139,1166,1253,613,210,15,156,1201,498,14,1156,46,.244,4733,.320,.394,.714,21,69,.767,.233,82,21029,5321,1864,592,1011,15,28,.294,0.93,1,30.34,Atlanta Braves
139,1061,1376,554,211,9,142,1155,436,8,1085,36,.234,4627,.304,.376,.680,20,78,.796,.204,91,20007,5154,1740,535,927,19,31,.281,0.77,5,32.58,Chicago White Sox
139,1253,1267,601,231,26,131,1097,418,12,1184,42,.249,4746,.314,.392,.706,36,112,.757,.243,83,19813,5261,1860,571,959,19,36,.296,0.99,0,36.23,Miami Marlins
138,1037,1304,726,222,19,236,1223,541,39,1173,46,.250,4685,.331,.457,.788,28,112,.800,.200,88,21104,5332,2141,699,972,7,45,.286,0.80,8,19.85,New York Yankees
139,1229,1254,711,226,15,151,1087,480,14,1227,60,.259,4731,.333,.409,.742,48,142,.747,.253,76,20929,5341,1936,662,976,24,42,.304,0.98,4,31.33,Milwaukee Brewers
138,1038,1196,589,190,14,193,1356,421,19,1053,76,.229,4602,.302,.402,.704,25,71,.740,.260,80,20273,5144,1850,568,887,10,31,.279,0.87,4,23.84,Los Angeles Angels
140,1170,1332,690,239,34,194,1134,465,16,1186,69,.250,4741,.323,.438,.761,31,102,.767,.233,94,20621,5359,2075,674,944,27,54,.286,0.88,3,24.44,Arizona Diamondbacks
139,1146,1223,605,229,17,166,1218,392,11,1134,68,.242,4681,.308,.405,.713,32,96,.750,.250,92,20250,5181,1895,573,886,3,37,.290,0.94,0,28.20,Baltimore Orioles
140,1171,1221,695,282,21,169,1235,454,21,1224,67,.255,4806,.325,.428,.753,35,118,.771,.229,81,20829,5373,2055,663,969,11,35,.307,0.96,0,28.44,Boston Red Sox
139,1108,1423,687,232,25,189,1075,469,13,1182,40,.250,4733,.320,.429,.749,29,138,.826,.174,61,20436,5299,2031,671,951,9,46,.283,0.78,2,25.04,Chicago Cubs
139,1130,1243,625,225,21,138,1205,453,14,1163,47,.248,4691,.318,.393,.711,28,92,.767,.233,90,20333,5241,1844,589,944,12,38,.303,0.91,0,33.99,Cincinnati Reds
