gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
143,1246,1230,665,265,16,197,1232,457,14,1254,37,.255,4915,.321,.436,.757,25,70,.737,.263,111,20429,5461,2142,645,981,15,32,.300,1.01,5,24.95,Athletics
143,1229,1197,520,216,18,102,1245,467,19,1106,47,.234,4733,.307,.352,.659,32,105,.766,.234,111,20689,5295,1664,500,994,13,31,.294,1.03,4,46.40,Pittsburgh Pirates
142,1288,1339,602,231,16,123,1006,456,16,1196,53,.252,4746,.322,.385,.707,27,93,.775,.225,96,20579,5340,1828,566,1001,44,39,.293,0.96,2,38.58,San Diego Padres
143,1131,1311,650,191,8,205,1267,477,20,1164,76,.241,4822,.318,.412,.730,34,139,.803,.197,88,21387,5427,1986,625,982,22,29,.284,0.86,1,23.52,Seattle Mariners
142,1092,1368,615,211,26,152,1207,477,9,1133,61,.239,4734,.314,.391,.705,20,63,.759,.241,94,20977,5339,1852,586,959,22,44,.287,0.80,1,31.14,San Francisco Giants
143,1113,1422,618,230,7,136,1135,423,15,1178,73,.246,4793,.314,.382,.696,22,77,.778,.222,98,20674,5348,1830,589,955,19,36,.293,0.78,4,35.24,St. Louis Cardinals
143,1232,1203,643,216,15,159,1209,408,9,1211,44,.252,4800,.314,.403,.717,46,178,.795,.205,94,20547,5309,1934,611,906,14,41,.303,1.02,2,30.19,Tampa Bay Rays
143,1129,1418,610,219,14,158,1170,436,18,1141,56,.237,4812,.306,.387,.693,29,120,.805,.195,80,20870,5352,1862,588,954,8,38,.279,0.80,2,30.46,Texas Rangers
142,1265,1391,712,260,9,174,961,466,24,1307,62,.269,4854,.338,.434,.772,20,71,.780,.220,117,20611,5459,2107,686,1008,31,39,.301,0.91,7,27.90,Toronto Blue Jays
142,1150,1339,595,217,19,165,1172,437,8,1136,79,.239,4761,.311,.396,.707,28,85,.752,.248,89,20723,5314,1886,566,963,6,30,.281,0.86,1,28.86,Minnesota Twins
142,1195,1294,678,235,22,177,1148,465,15,1251,55,.258,4840,.328,.426,.754,24,115,.827,.173,85,20995,5411,2061,653,998,14,34,.303,0.92,3,27.34,Philadelphia Phillies
143,1185,1288,624,215,16,159,1231,504,14,1179,46,.244,4838,.319,.393,.712,22,72,.766,.234,83,21465,5434,1903,603,1029,15,30,.293,0.92,1,30.43,Atlanta Braves
143,1093,1415,576,221,9,147,1187,444,8,1120,40,.235,4762,.304,.378,.682,21,80,.792,.208,95,20596,5304,1800,556,947,20,33,.281,0.77,5,32.40,Chicago White Sox
142,1290,1283,611,238,26,133,1121,425,12,1208,43,.249,4847,.313,.391,.704,38,112,.747,.253,86,20213,5370,1897,580,977,19,36,.296,1.01,0,36.44,Miami Marlins
142,1068,1345,745,226,19,242,1254,557,39,1202,46,.250,4814,.330,.455,.785,30,114,.792,.208,89,21668,5480,2192,718,996,7,48,.285,0.79,8,19.89,New York Yankees
143,1269,1284,726,232,16,154,1118,492,14,1258,64,.259,4863,.332,.408,.740,49,147,.750,.250,81,21519,5489,1984,674,1004,24,42,.304,0.99,4,31.58,Milwaukee Brewers
142,1062,1231,604,194,15,197,1401,439,19,1078,78,.228,4730,.302,.400,.702,25,73,.745,.255,84,20909,5293,1893,583,913,10,32,.278,0.86,4,24.01,Los Angeles Angels
143,1192,1355,707,242,34,197,1156,479,16,1209,69,.250,4828,.323,.437,.760,33,103,.757,.243,97,21052,5463,2110,689,959,27,57,.287,0.88,3,24.51,Arizona Diamondbacks
142,1168,1247,618,230,17,172,1250,409,11,1149,69,.241,4774,.308,.404,.712,33,100,.752,.248,93,20728,5292,1929,585,905,3,37,.288,0.94,0,27.76,Baltimore Orioles
143,1194,1251,702,287,22,169,1262,459,21,1246,67,.254,4907,.324,.425,.749,35,119,.773,.227,81,21263,5480,2084,670,988,11,36,.307,0.95,0,29.04,Boston Red Sox
142,1125,1456,700,235,25,193,1099,486,13,1199,41,.249,4822,.320,.428,.748,30,142,.826,.174,64,20894,5408,2063,684,969,9,48,.281,0.77,2,24.98,Chicago Cubs
142,1158,1262,644,231,21,141,1234,466,14,1188,47,.248,4790,.318,.393,.711,29,92,.760,.240,92,20790,5355,1884,608,961,12,40,.303,0.92,0,33.97,Cincinnati Reds
142,1066,1425,550,201,14,146,1173,428,26,1037,56,.224,4629,.295,.368,.663,31,111,.782,.218,70,20297,5185,1704,530,888,24,47,.265,0.75,0,31.70,Cleveland Guardians
142,1109,1231,541,231,35,143,1318,353,5,1154,43,.242,4768,.299,.395,.694,35,74,.679,.321,109,19711,5209,1884,527,877,16,28,.303,0.90,1,33.34,Colorado Rockies
143,1036,1357,691,220,33,180,1262,447,9,1204,60,.250,4811,.319,.422,.741,15,58,.795,.205,81,21120,5371,2030,662,926,5,43,.300,0.76,5,26.73,Detroit Tigers
143,1206,1328,607,220,12,159,1139,425,15,1229,60,.253,4851,.319,.402,.721,25,71,.740,.260,113,20231,5388,1950,579,1002,15,36,.298,0.91,1,30.51,Houston Astros
142,1173,1504,550,250,20,138,960,375,18,1161,59,.245,4733,.306,.394,.700,41,99,.707,.293,87,19912,5235,1865,540,932,28,37,.279,0.78,3,34.30,Kansas City Royals
