Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Yankees10.0,PHI6.4,PHI6.5,NYM2.2,CHC9.2,CHC2.2,LAD1.7,CHC1.4,BOS2.2,HOU2.1,TEX1.4,CHC2.5,NYY2.6,CHC4.1,LAD2.0,TBR0.3
2,New York Mets8.5,KCR5.8,KCR4.8,HOU2.2,LAD8.0,SEA1.6,ATL1.4,MIL0.9,SFG1.5,KCR1.9,CLE1.3,MIN1.4,BOS1.7,NYY3.9,BOS1.4,LAD0.2
3,Chicago Cubs7.2,NYM5.0,CIN3.3,SFG2.1,NYY7.2,LAD1.3,NYM1.1,ARI0.7,HOU1.2,ARI1.6,WSN1.3,SEA1.2,LAD1.7,BOS3.5,PHI1.2,TOR0.2
4,Philadelphia Phillies5.9,MIN4.3,TEX3.1,MIN1.8,BOS4.9,ATL1.3,TBR1.0,STL0.7,CLE1.2,ATH1.4,STL1.1,BOS1.1,SDP1.6,MIN1.7,NYY1.0,BOS0.1
5,Detroit Tigers5.1,HOU3.7,DET2.7,KCR1.0,NYM3.5,CIN1.1,NYY1.0,NYY0.5,SDP1.1,LAA1.3,SEA0.8,NYY1.0,CHC1.5,TEX1.4,ATL0.9,NYM0.1
6,Houston Astros4.7,CIN2.8,NYM2.7,NYY0.6,SEA3.0,NYM0.9,PHI0.8,SFG0.5,TEX0.7,TEX1.2,BOS0.7,MIA0.9,ARI1.3,LAD1.4,BAL0.5,CHC0.0
7,Los Angeles Dodgers4.3,NYY2.8,MIN2.5,SEA0.5,STL2.5,BOS0.8,DET0.5,NYM0.4,ATL0.4,WSN1.2,DET0.5,LAD0.8,TBR1.1,DET1.2,CHC0.5,ATL0.0
8,Minnesota Twins3.2,DET2.7,LAA2.3,COL0.3,TBR2.5,MIL0.8,TOR0.5,LAD0.3,CHW0.3,LAD1.1,MIN0.4,HOU0.7,NYM0.7,SEA1.1,SEA0.5,CIN0.0
9,St. Louis Cardinals3.0,SFG1.8,NYY2.1,SDP0.1,DET2.4,STL0.6,MIL0.5,TBR0.3,BAL0.3,NYY1.1,NYY0.3,SFG0.7,HOU0.4,STL1.0,CLE0.1,HOU0.0
10,Seattle Mariners2.8,SDP1.4,CHW2.0,DET0.0,ARI2.2,TOR0.6,CHC0.3,CLE0.3,ARI0.2,TBR1.1,CHC0.1,TOR0.7,DET0.3,TBR1.0,STL0.0,DET-0.1
11,Boston Red Sox2.6,PIT0.9,PIT2.0,PHI-0.2,ATL2.0,DET0.6,CLE0.3,DET0.3,DET0.2,STL0.9,SFG0.1,CIN0.6,ATH0.2,NYM0.9,DET0.0,ARI-0.1
12,Arizona Diamondbacks1.5,STL0.5,HOU1.5,STL-0.3,HOU1.0,CHW0.3,ARI0.1,TOR0.3,COL0.2,PHI0.8,NYM0.1,STL0.6,TEX0.1,WSN0.8,ARI-0.1,NYY-0.1
13,Cincinnati Reds0.9,CHW0.3,WSN1.5,CIN-0.5,TOR0.4,MIN0.1,BAL0.1,SEA0.1,STL0.1,SEA0.8,LAA-0.1,SDP0.4,SFG0.0,SFG0.8,ATH-0.1,MIA-0.1
14,Atlanta Braves0.9,SEA-0.2,SDP1.2,ATL-0.7,TEX-0.2,NYY0.0,ATH-0.3,PHI0.0,LAD0.0,BAL0.8,TOR-0.2,DET0.4,MIN-0.1,SDP0.6,MIN-0.2,SEA-0.2
15,San Francisco Giants0.8,TEX-0.5,MIL1.1,TOR-0.9,PHI-0.5,CLE0.0,MIN-0.3,PIT0.0,TOR0.0,PIT0.7,PHI-0.2,TBR0.4,BAL-0.1,MIA0.3,CIN-0.2,STL-0.2
16,Tampa Bay Rays0.7,ARI-0.7,ARI1.1,TBR-0.9,SDP-0.8,ARI-0.1,LAA-0.5,SDP0.0,CHC0.0,CHC0.7,MIL-0.2,KCR0.3,MIL-0.2,HOU0.2,NYM-0.3,WSN-0.2
17,Kansas City Royals0.7,MIL-0.8,ATH0.8,MIA-1.0,BAL-0.8,TBR-0.1,STL-0.6,MIA0.0,KCR0.0,NYM0.6,COL-0.3,PIT0.2,CIN-0.2,CIN0.0,SFG-0.4,ATH-0.2
18,San Diego Padres0.6,ATL-1.1,STL0.8,CLE-1.0,SFG-1.0,PIT-0.1,KCR-0.7,BAL-0.1,WSN-0.2,CIN0.5,ATH-0.4,NYM0.1,MIA-0.2,TOR-0.1,PIT-0.5,PHI-0.3
19,Texas Rangers-0.7,CLE-1.5,SFG-0.2,PIT-1.1,MIN-1.1,ATH-0.1,SEA-0.7,ATL-0.2,NYM-0.2,SDP0.2,MIA-0.4,WSN-0.1,WSN-0.4,ARI-0.1,SDP-0.5,LAA-0.3
20,Toronto Blue Jays-1.3,TOR-1.7,ATL-0.4,BOS-1.2,WSN-1.8,MIA-0.2,TEX-0.7,CHW-0.2,NYY-0.2,ATL0.1,CIN-0.4,TEX-0.1,ATL-0.6,MIL-0.7,MIL-0.5,SFG-0.3
21,Milwaukee Brewers-2.8,TBR-1.8,CLE-0.4,CHC-1.4,CIN-1.9,LAA-0.2,SDP-0.7,MIN-0.5,SEA-0.2,TOR0.0,TBR-0.5,BAL-0.3,TOR-0.6,BAL-0.9,TBR-0.7,BAL-0.3
22,Pittsburgh Pirates-3.0,ATH-1.9,CHC-0.6,CHW-1.7,CLE-2.0,HOU-0.2,HOU-0.9,HOU-0.5,TBR-0.4,MIN-0.2,BAL-0.5,MIL-0.3,STL-0.7,ATH-1.5,LAA-0.7,TEX-0.3
23,Cleveland Guardians-3.5,CHC-2.0,SEA-0.7,ARI-1.8,MIL-2.0,TEX-0.3,WSN-1.1,ATH-0.6,MIA-0.5,DET-0.3,ARI-0.7,ATL-0.5,PHI-0.8,PIT-1.6,WSN-0.8,PIT-0.4
24,Washington Nationals-4.1,LAA-2.2,TOR-0.8,MIL-1.9,ATH-2.6,PHI-0.5,PIT-1.3,BOS-0.8,PHI-0.6,MIA-0.6,PIT-0.8,CHW-0.5,CHW-0.8,LAA-1.8,HOU-0.9,MIL-0.4
25,Athletics-4.5,WSN-2.3,TBR-0.9,LAD-2.3,MIA-3.4,WSN-0.6,SFG-1.3,CIN-0.9,PIT-0.7,COL-0.8,CHW-0.8,LAA-0.6,SEA-0.9,CLE-1.9,MIA-0.9,KCR-0.5
26,Chicago White Sox-5.2,BOS-2.3,BOS-1.1,ATH-2.7,PIT-3.9,SDP-0.7,CHW-1.4,LAA-0.9,CIN-0.7,CHW-0.8,ATL-0.8,ARI-0.7,PIT-1.0,PHI-1.9,KCR-1.0,MIN-0.5
27,Los Angeles Angels-6.2,MIA-3.3,LAD-1.4,BAL-3.4,LAA-4.0,KCR-0.7,MIA-1.4,WSN-0.9,MIL-0.9,BOS-0.8,HOU-0.9,PHI-0.9,LAA-1.1,ATL-1.9,CHW-1.0,CHW-0.6
