Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Mets9.7,KCR6.8,KCR5.5,SFG2.9,CHC9.2,CHC1.9,LAD1.8,CHC1.4,BOS2.2,HOU2.8,CLE1.6,CHC2.8,NYY2.9,CHC4.5,LAD2.2,TBR0.4
2,New York Yankees9.5,NYM5.4,PHI4.9,NYM2.5,LAD8.9,SEA1.9,ATL1.5,MIL1.3,SFG1.7,KCR1.9,WSN1.5,MIN1.4,SDP1.6,NYY4.1,PHI1.4,LAD0.3
3,Chicago Cubs7.1,MIN4.8,CIN4.1,MIN1.8,NYY7.4,LAD1.4,TBR1.3,TOR0.7,CLE1.4,ATH1.5,STL0.8,SEA1.3,LAD1.6,BOS2.4,BOS1.4,TOR0.3
4,Los Angeles Dodgers5.6,PHI3.9,TEX4.0,KCR1.3,NYM4.3,MIL1.2,NYM1.1,LAD0.6,SDP1.1,ARI1.3,TEX0.8,MIA1.0,TBR1.6,MIN1.9,NYY1.2,BOS0.1
5,Detroit Tigers5.2,DET3.6,DET3.3,HOU0.8,TBR3.9,ATL1.1,NYY0.8,STL0.6,HOU0.9,NYM1.3,SEA0.8,BOS1.0,CHC1.5,TBR1.6,ATL1.0,NYM0.0
6,Minnesota Twins3.6,CIN3.3,MIN2.9,SDP0.5,BOS3.8,TOR0.9,PHI0.7,ARI0.6,TOR0.7,SEA1.3,MIN0.5,LAD1.0,BOS1.3,LAD1.4,CHC0.5,NYY0.0
7,Houston Astros3.3,SFG3.1,NYM2.9,COL0.4,SEA3.2,CIN0.9,TOR0.7,NYY0.6,TEX0.6,WSN1.2,SFG0.5,NYY1.0,ARI1.3,NYM1.3,SEA0.4,MIA-0.1
8,Philadelphia Phillies2.6,HOU2.9,LAA2.3,DET0.3,TOR2.6,DET0.7,CLE0.5,SFG0.5,ARI0.3,TBR1.2,DET0.5,TOR0.6,NYM0.9,TEX1.1,BAL0.4,CIN-0.1
9,Tampa Bay Rays2.5,NYY2.1,HOU2.2,NYY0.3,ARI1.7,NYM0.7,DET0.4,NYM0.4,LAD0.3,LAA1.2,NYY0.2,STL0.5,HOU0.4,SEA1.1,CLE0.2,HOU-0.1
10,Boston Red Sox2.5,SDP1.3,PIT2.1,MIA-0.5,ATL1.6,STL0.7,CHC0.4,DET0.3,ATL0.3,TEX1.0,NYM0.2,SDP0.5,DET0.2,WSN1.0,ATH0.2,ARI-0.1
11,Toronto Blue Jays1.9,TEX1.0,CHW1.9,BOS-0.6,DET1.6,BOS0.6,MIL0.3,CLE0.2,BAL0.2,NYY1.0,CHC0.2,SFG0.5,ATH0.2,DET1.0,ARI0.1,WSN-0.1
12,San Francisco Giants1.9,PIT0.8,NYY1.8,ATL-0.6,STL1.0,CHW0.3,ARI0.1,SEA0.1,COL0.2,BAL0.9,BOS0.1,TBR0.5,TEX0.2,SFG0.9,MIL0.0,CHC-0.1
13,Seattle Mariners1.8,CHW0.3,WSN1.2,STL-0.8,HOU0.4,CLE0.1,BAL0.0,TBR0.1,TBR0.2,LAD0.9,MIL0.0,HOU0.5,MIN0.0,SDP0.7,DET-0.1,ATL-0.2
14,Atlanta Braves1.3,STL0.3,STL1.1,CIN-0.8,TEX-0.3,MIN0.0,MIN-0.3,BAL0.0,CHW0.1,CIN0.7,LAA-0.1,CIN0.4,SFG-0.1,MIA0.3,STL-0.1,DET-0.2
15,St. Louis Cardinals1.3,ATL-0.3,MIL1.0,TOR-0.8,MIL-0.3,NYY-0.1,ATH-0.3,SDP0.0,DET0.1,CHC0.7,TOR-0.2,DET0.3,MIL-0.2,STL0.3,MIN-0.2,STL-0.3
16,Arizona Diamondbacks1.1,ARI-0.6,SDP0.8,TBR-0.9,WSN-0.6,ATH-0.1,LAA-0.5,PIT0.0,WSN0.0,PHI0.6,PHI-0.4,KCR0.3,MIA-0.2,TOR0.0,PIT-0.2,PIT-0.3
17,Kansas City Royals0.9,TOR-0.7,ARI0.6,SEA-0.9,SDP-1.1,TBR-0.2,STL-0.6,MIA-0.1,KCR-0.1,PIT0.6,CIN-0.4,NYM0.2,CIN-0.3,HOU-0.1,CIN-0.2,PHI-0.3
