Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Mets13.0,PHI6.2,PHI6.6,SFG2.2,CHC10.4,CHC1.8,ATL1.9,MIL1.6,BOS2.5,HOU3.1,WSN1.7,CHC3.1,NYY3.4,CHC5.4,LAD2.4,TBR0.3
2,New York Yankees10.3,NYM5.6,DET4.0,NYM2.0,LAD9.7,SEA1.7,NYM1.9,CHC1.5,SFG2.1,KCR2.2,CLE1.7,SEA2.3,NYM2.1,NYY4.3,BOS1.2,LAD0.3
3,Chicago Cubs8.4,KCR4.6,CIN3.9,HOU1.5,NYM7.4,CIN1.5,LAD1.4,ARI1.2,CLE1.8,NYM1.9,SEA1.3,MIN1.4,SDP1.8,NYM3.0,PHI0.9,BOS0.2
4,Los Angeles Dodgers5.7,HOU4.3,KCR3.9,MIN1.4,NYY7.3,LAD1.5,TBR1.3,NYY1.0,SDP1.6,ATH1.7,TEX1.2,BOS1.3,CHC1.7,BOS2.8,NYY0.8,TOR0.2
5,Houston Astros4.9,CIN3.6,NYM3.5,SDP1.0,BOS5.7,TOR1.5,TOR0.8,STL0.7,HOU1.2,LAD1.7,NYM0.7,CIN1.1,ARI1.7,TEX2.7,CHC0.4,NYM0.0
6,Detroit Tigers4.3,SDP3.4,TEX3.3,KCR0.7,SEA3.9,ATL1.4,NYY0.7,TOR0.7,LAD0.9,SEA1.5,BOS0.6,NYY1.1,LAD1.4,SEA2.3,ATL0.4,MIA-0.1
7,Philadelphia Phillies3.5,DET3.1,PIT3.1,NYY0.4,TBR3.4,BOS1.1,CHC0.6,LAD0.5,TOR0.8,LAA1.3,CHC0.6,LAD1.1,BOS0.9,MIN1.6,SEA0.4,ARI-0.1
8,Tampa Bay Rays3.4,MIN3.1,HOU2.8,TBR0.3,ARI3.4,MIL0.8,PHI0.5,SFG0.5,ARI0.7,TBR1.3,MIN0.5,HOU0.9,TBR0.8,SFG1.2,BAL0.3,NYY-0.1
9,Boston Red Sox3.1,NYY3.0,NYY2.6,PHI-0.3,TOR2.2,NYM0.8,DET0.3,DET0.5,ATL0.6,TEX1.2,DET0.5,MIA0.9,TEX0.7,WSN1.1,ATH0.3,DET-0.1
10,Texas Rangers3.0,PIT2.6,CHW2.4,CIN-0.3,TEX2.1,DET0.5,ARI0.2,NYM0.4,BAL0.5,CIN1.2,SFG0.3,TEX0.8,ATH0.3,LAD1.0,ARI0.0,CHC-0.1
11,Arizona Diamondbacks2.4,SFG1.6,SDP2.3,PIT-0.5,ATL2.0,CHW0.5,STL0.1,TBR0.2,KCR0.5,WSN1.1,STL0.3,SFG0.8,ATL0.3,DET0.6,DET0.0,ATL-0.2
12,San Francisco Giants2.1,CHW1.2,LAA1.8,BOS-0.6,DET1.2,STL0.3,CLE0.0,TEX0.1,COL0.4,ARI1.1,MIL0.0,STL0.7,HOU0.2,ARI0.5,STL-0.1,WSN-0.2
