Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Mets12.4,NYM6.0,PHI5.4,SFG3.2,CHC10.1,SEA1.8,NYM2.0,MIL1.5,BOS2.5,HOU2.8,CLE1.7,CHC3.1,NYY3.3,CHC5.4,LAD2.2,TBR0.4
2,New York Yankees9.6,KCR5.7,KCR4.8,NYM2.3,LAD9.3,CHC1.7,ATL1.9,CHC1.3,SFG2.0,KCR2.4,WSN1.4,SEA1.9,CHC1.8,NYY4.4,BOS1.4,TOR0.3
3,Chicago Cubs8.1,PHI4.6,TEX4.1,MIN1.8,NYY7.7,CIN1.5,LAD1.6,ARI1.2,CLE1.7,ATH1.8,SEA1.0,BOS1.4,ARI1.6,BOS2.8,PHI1.1,LAD0.3
4,Los Angeles Dodgers5.9,HOU4.0,NYM3.8,SDP1.5,NYM6.4,TOR1.4,TBR1.3,NYY0.9,SDP1.5,LAD1.6,TEX0.8,MIN1.4,SDP1.6,MIN1.9,NYY1.0,BOS0.2
5,Detroit Tigers5.6,SFG3.9,DET3.6,HOU1.2,BOS5.4,LAD1.3,CHC0.7,STL0.8,HOU1.1,NYM1.5,STL0.6,LAD1.2,NYM1.6,NYM1.8,ATL0.7,NYM0.1
6,Minnesota Twins4.1,MIN3.8,CIN3.4,KCR0.9,TBR3.9,ATL1.2,NYY0.7,DET0.5,LAD0.7,LAA1.3,DET0.6,CIN1.0,LAD1.2,SEA1.6,CHC0.4,CHC0.0
7,Houston Astros3.9,DET3.7,HOU2.8,COL0.2,SEA3.0,NYM0.9,PHI0.6,TOR0.5,ATL0.7,TBR1.3,MIN0.5,NYY0.9,TBR1.2,WSN1.2,SEA0.2,HOU-0.1
8,Tampa Bay Rays3.3,SDP3.1,CHW2.6,DET0.1,TOR2.5,BOS0.8,TOR0.6,LAD0.5,TOR0.7,SEA1.3,CHC0.5,HOU0.9,BOS0.9,DET1.2,BAL0.1,ARI-0.1
9,Philadelphia Phillies2.3,CIN3.1,PIT2.2,NYY0.0,ARI2.4,DET0.7,DET0.3,NYM0.4,TBR0.5,ARI1.1,BOS0.5,MIA0.8,ATH0.5,TBR1.1,DET0.0,NYY-0.1
10,San Francisco Giants2.1,NYY1.9,MIN2.0,CIN-0.3,ATL2.2,MIL0.7,CLE0.2,SFG0.3,ARI0.4,NYY1.0,NYY0.2,SFG0.7,HOU0.3,LAD1.1,MIN0.0,ATL-0.1
11,Toronto Blue Jays1.8,TEX1.4,WSN1.9,CLE-0.5,DET1.9,STL0.7,ARI0.1,BAL0.1,COL0.3,WSN0.9,NYM0.2,TOR0.7,DET0.3,TEX1.0,ARI0.0,WSN-0.1
12,Cincinnati Reds1.7,CHW1.2,MIL1.9,TBR-0.6,STL1.2,CHW0.4,MIL0.0,CLE0.0,KCR0.2,PHI0.9,SFG0.2,STL0.4,WSN0.2,SFG0.8,ATH0.0,CIN-0.2
13,Boston Red Sox1.5,PIT1.0,NYY1.8,PHI-0.8,MIN0.3,MIN0.3,MIN-0.1,PIT0.0,BAL0.1,BAL0.9,MIL0.1,PIT0.4,MIN0.0,CIN0.3,STL0.0,MIA-0.2
14,Kansas City Royals1.0,MIL-0.3,LAA1.7,TOR-0.9,HOU-0.1,CLE0.2,STL-0.1,TEX0.0,SEA0.1,TEX0.8,COL0.0,KCR0.3,TEX0.0,SDP0.2,CLE-0.1,DET-0.2
15,Arizona Diamondbacks1.0,STL-0.4,SDP1.5,BOS-1.0,TEX-0.9,NYY-0.1,KCR-0.3,MIA-0.1,TEX0.0,PIT0.8,TOR-0.3,DET0.3,SFG-0.1,MIA0.0,MIL-0.1,MIL-0.3
16,St. Louis Cardinals0.8,TBR-0.6,STL1.0,MIA-1.0,MIL-1.1,PIT-0.1,ATH-0.3,TBR-0.1,CHW0.0,CIN0.7,LAA-0.3,TBR0.3,MIL-0.1,STL0.0,NYM-0.1,STL-0.3
17,Atlanta Braves0.6,TOR-0.7,SFG0.6,PIT-1.2,CIN-1.4,ARI-0.2,LAA-0.3,SEA-0.1,DET0.0,CHC0.6,TBR-0.4,TEX0.2,ATL-0.2,TOR-0.1,CIN-0.1,BAL-0.3
18,Texas Rangers0.5,CLE-0.7,ARI0.4,CHC-1.2,SFG-1.8,TBR-0.3,BAL-0.3,ATL-0.2,CHC0.0,STL0.3,CIN-0.4,SDP0.2,MIA-0.3,HOU-0.1,TBR-0.3,TEX-0.3
19,Seattle Mariners0.3,ARI-1.4,TOR0.3,SEA-1.3,WSN-2.3,HOU-0.3,TEX-0.4,MIN-0.3,NYY-0.1,MIA0.2,MIA-0.5,NYM0.0,CIN-0.3,ARI-0.1,PIT-0.3,SFG-0.4
