Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Yankees10.0,PHI5.4,PHI6.0,NYM2.3,CHC8.9,CHC2.2,LAD1.7,CHC1.2,BOS2.3,HOU2.3,TEX1.3,CHC2.5,NYY2.6,CHC4.1,LAD2.0,TBR0.4
2,New York Mets8.3,KCR5.4,KCR4.6,SFG2.2,LAD7.6,SEA1.7,ATL1.4,MIL0.9,SFG1.4,KCR1.9,CLE1.3,MIN1.4,LAD1.8,NYY3.7,BOS1.4,TOR0.2
3,Chicago Cubs7.1,NYM5.0,TEX3.0,MIN2.0,NYY6.7,ATL1.4,TBR1.3,ARI0.7,CLE1.2,ARI1.6,WSN1.3,SEA1.2,SDP1.6,BOS3.5,PHI1.3,BOS0.1
4,Philadelphia Phillies5.0,MIN4.8,CIN3.0,HOU1.4,BOS4.9,LAD1.3,NYM1.2,STL0.7,SDP1.1,LAA1.4,STL1.1,BOS1.1,BOS1.6,MIN1.7,ATL1.0,NYM0.1
5,Detroit Tigers5.0,NYY3.3,DET2.9,KCR0.9,NYM3.3,CIN1.1,NYY1.0,SFG0.5,HOU1.1,WSN1.3,BOS0.8,MIA0.9,CHC1.5,LAD1.4,NYY0.9,LAD0.1
6,Los Angeles Dodgers4.1,DET3.0,MIN2.9,NYY0.9,TBR3.3,NYM0.8,PHI0.8,NYY0.5,TEX0.7,TEX1.2,SEA0.5,NYY0.9,ARI1.3,TEX1.3,CHC0.5,ATL0.0
7,Houston Astros4.1,HOU2.9,NYM2.7,COL0.4,SEA2.9,MIL0.8,DET0.5,TBR0.4,ATL0.5,ATH1.2,DET0.5,LAD0.8,TBR1.2,TBR1.1,SEA0.4,HOU0.0
8,Minnesota Twins3.5,CIN2.4,NYY2.5,SEA0.2,STL2.2,TOR0.8,TOR0.5,CLE0.4,CHW0.4,TBR1.1,MIN0.4,STL0.7,HOU0.6,DET1.1,BAL0.4,CIN0.0
9,Boston Red Sox3.1,SFG2.1,LAA2.3,SDP0.1,ARI2.0,BOS0.7,MIL0.5,TOR0.4,ARI0.3,NYY1.1,NYY0.2,SFG0.7,NYM0.5,STL1.0,CLE0.1,CHC-0.1
10,St. Louis Cardinals3.1,SDP1.3,WSN2.0,DET0.1,DET2.0,DET0.6,CLE0.3,NYM0.4,COL0.3,LAD1.0,CHC0.1,TOR0.7,DET0.3,SEA1.0,DET0.0,NYY-0.1
11,Seattle Mariners2.6,STL0.9,CHW2.0,STL-0.1,ATL1.8,STL0.5,CHC0.2,DET0.3,DET0.2,SEA0.9,SFG0.1,HOU0.6,ATH0.1,SFG0.7,STL0.0,ARI-0.1
12,Arizona Diamondbacks1.6,PIT0.4,PIT1.7,TOR-0.6,TOR1.3,CHW0.4,ARI0.1,LAD0.2,BAL0.2,CHC0.8,NYM0.1,KCR0.4,TEX0.1,NYM0.7,ARI-0.1,DET-0.1
13,Tampa Bay Rays1.4,CHW0.3,HOU1.6,CIN-0.6,HOU1.2,CLE0.1,BAL-0.1,MIA0.1,TOR0.1,BAL0.7,LAA-0.2,TBR0.4,MIN-0.1,SDP0.6,CIN-0.1,MIA-0.1
14,Atlanta Braves1.0,SEA-0.3,ARI1.3,PHI-0.6,TEX-0.1,MIN0.0,ATH-0.4,SDP0.1,STL0.1,PHI0.7,MIL-0.2,CIN0.4,MIA-0.1,WSN0.5,ATH-0.1,SEA-0.2
15,San Francisco Giants0.8,ARI-0.4,SDP1.2,TBR-0.8,PHI-0.4,TBR-0.1,MIN-0.4,SEA0.1,CHC0.0,CIN0.7,TOR-0.2,SDP0.4,SFG-0.1,HOU0.3,MIN-0.2,STL-0.2
16,San Diego Padres0.7,TEX-0.7,MIL1.1,ATL-0.9,SDP-0.6,ARI-0.1,LAA-0.5,PHI0.1,SEA-0.1,STL0.7,COL-0.3,DET0.3,MIL-0.2,MIA0.3,NYM-0.3,WSN-0.2
17,Cincinnati Reds0.6,TOR-0.8,STL1.1,BOS-1.0,MIN-1.3,HOU-0.1,STL-0.6,PIT0.0,LAD-0.1,PIT0.7,PHI-0.3,PIT0.3,CIN-0.2,TOR0.0,SDP-0.4,ATH-0.2
18,Toronto Blue Jays0.5,ATL-0.8,ATH0.0,CLE-1.2,SFG-1.3,PIT-0.1,KCR-0.7,BAL-0.2,KCR-0.1,NYM0.6,CIN-0.4,NYM0.1,BAL-0.2,CIN-0.2,SFG-0.4,PHI-0.3
19,Kansas City Royals0.4,MIL-0.9,ATL0.0,MIA-1.2,WSN-1.7,MIA-0.2,TEX-0.7,ATL-0.3,TBR-0.2,TOR0.3,TBR-0.5,TEX-0.1,WSN-0.5,ARI-0.4,MIL-0.5,LAA-0.3
20,Texas Rangers-0.8,WSN-1.8,SFG0.0,PIT-1.2,BAL-1.7,LAA-0.2,SDP-0.7,CHW-0.4,NYM-0.2,SDP0.2,BAL-0.5,MIL-0.2,TOR-0.5,MIL-0.6,PIT-0.5,TEX-0.3
21,Milwaukee Brewers-3.0,CHC-1.8,TOR-0.1,CHC-1.3,CLE-1.8,NYY-0.2,SEA-0.9,MIN-0.5,NYY-0.2,ATL-0.1,ATH-0.5,WSN-0.3,ATL-0.6,BAL-1.1,LAA-0.7,SFG-0.4
22,Pittsburgh Pirates-3.2,BOS-1.8,SEA-0.4,CHW-1.7,CIN-1.8,ATH-0.2,HOU-1.0,HOU-0.5,WSN-0.3,MIN-0.2,MIA-0.5,BAL-0.4,PHI-0.6,PIT-1.4,WSN-0.7,BAL-0.4
23,Washington Nationals-3.5,TBR-1.9,CHC-0.5,ARI-1.7,MIL-2.1,TEX-0.2,WSN-1.2,ATH-0.5,MIA-0.5,MIA-0.5,PIT-0.7,ATL-0.5,SEA-0.7,ATH-1.5,TBR-0.7,PIT-0.4
24,Cleveland Guardians-3.8,CLE-2.0,CLE-0.7,MIL-1.9,ATH-2.9,PHI-0.4,PIT-1.3,WSN-0.6,PIT-0.6,DET-0.6,CHW-0.8,CHW-0.5,CHW-0.7,CLE-1.9,HOU-0.9,MIL-0.4
25,Chicago White Sox-5.2,LAA-2.2,BOS-0.8,LAD-2.2,MIA-3.3,WSN-0.5,SFG-1.3,CIN-0.9,CIN-0.7,BOS-0.7,HOU-0.9,LAA-0.6,STL-0.8,PHI-1.9,MIA-0.9,KCR-0.5
26,Athletics-6.1,ATH-3.2,TBR-1.1,BAL-3.2,PIT-3.6,SDP-0.7,CHW-1.4,LAA-0.9,PHI-0.7,COL-0.8,ARI-0.9,ARI-0.8,PIT-1.0,LAA-1.9,KCR-1.0,MIN-0.5
27,Los Angeles Angels-6.2,LAD-3.5,LAD-1.3,ATH-3.2,LAA-4.0,KCR-0.7,BOS-1.5,BOS-0.9,LAA-0.9,CHW-0.9,ATL-1.0,PHI-1.0,LAA-1.1,CHW-2.0,TOR-1.0,CHW-0.6
28,Miami Marlins-7.0,MIA-3.7,MIA-2.5,TEX-3.7,KCR-5.0,SFG-0.8,MIA-1.5,TEX-1.0,MIL-1.0,SFG-1.0,KCR-1.2,ATH-1.1,CLE-1.7,ATL-2.1,CHW-1.0,SDP-0.8
29,Baltimore Orioles-8.7,COL-4.7,BAL-3.8,WSN-3.8,CHW-5.5,COL-1.1,COL-1.6,KCR-1.3,MIN-1.2,CLE-1.2,LAD-1.2,COL-1.2,KCR-1.8,KCR-2.6,TEX-1.1,CLE-0.8
30,Colorado Rockies-15.8,BAL-7.0,COL-5.0,LAA-4.5,COL-11.1,BAL-1.2,CIN-1.7,COL-2.0,ATH-1.2,MIL-1.8,SDP-1.4,CLE-1.5,COL-1.9,COL-3.4,COL-1.2,COL-1.3
AVG,-0.0,-0.0,0.9,-0.8,-0.0,0.2,-0.3,-0.1,0.1,0.4,-0.1,0.2,0.0,0.1,-0.1,-0.2
