Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Mets10.1,KCR6.4,PHI5.3,SFG2.8,CHC9.8,CHC1.9,LAD1.7,CHC1.5,BOS2.1,HOU2.7,CLE1.6,CHC2.9,NYY3.0,CHC4.7,LAD2.2,TBR0.4
2,New York Yankees9.7,NYM5.9,KCR4.8,NYM2.5,LAD8.9,SEA1.9,TBR1.5,MIL1.5,SFG1.7,KCR2.0,WSN1.5,BOS1.5,SDP1.9,NYY4.2,BOS1.3,LAD0.3
3,Chicago Cubs7.5,MIN5.1,NYM3.4,MIN2.2,NYY7.4,ATL1.3,ATL1.4,ARI1.0,CLE1.5,ATH1.6,TEX1.1,SEA1.4,ARI1.6,BOS3.0,PHI1.2,BOS0.2
4,Los Angeles Dodgers5.7,PHI4.2,TEX3.4,KCR1.6,BOS4.4,LAD1.2,NYM1.3,NYY0.8,SDP1.1,LAA1.5,STL0.9,MIN1.2,TBR1.6,MIN2.0,NYY1.1,TOR0.2
5,Detroit Tigers5.1,HOU3.4,CIN3.3,HOU1.1,NYM4.2,CIN1.2,PHI0.8,STL0.7,HOU0.9,NYM1.4,MIN0.7,LAD1.2,LAD1.5,TBR1.6,ATL1.0,CHC0.0
6,Minnesota Twins5.0,SFG3.4,DET2.9,COL0.8,TBR3.8,DET0.9,NYY0.8,LAD0.7,TOR0.8,WSN1.2,DET0.7,NYY0.9,CHC1.4,NYM1.5,BAL0.4,NYM0.0
7,Houston Astros3.7,DET2.8,MIN2.9,SDP0.8,SEA2.3,TOR0.8,CHC0.6,SFG0.6,TEX0.5,SEA1.2,SEA0.6,MIA0.9,BOS1.2,TEX1.4,CHC0.4,HOU-0.1
8,Tampa Bay Rays3.2,CIN2.3,PIT2.6,NYY0.3,DET2.3,MIL0.8,TOR0.6,DET0.5,LAD0.5,ARI1.1,SFG0.4,HOU0.7,NYM1.2,DET1.4,CLE0.3,ARI-0.1
9,Philadelphia Phillies3.0,NYY2.3,HOU2.3,DET-0.2,ARI2.0,BOS0.8,CLE0.5,TOR0.5,ARI0.3,TBR1.0,CHC0.4,CIN0.7,ATH0.4,LAD1.3,SEA0.3,MIA-0.1
10,San Francisco Giants2.0,SDP1.5,NYY2.0,BOS-0.5,TOR1.8,NYM0.6,DET0.4,NYM0.4,ATL0.3,NYY1.0,NYY0.3,TOR0.6,DET0.3,WSN1.1,ATH0.2,NYY-0.1
11,Boston Red Sox1.9,PIT1.2,CHW2.0,MIA-0.5,STL1.4,STL0.5,MIL0.3,TBR0.2,WSN0.2,LAD1.0,BOS0.3,SDP0.6,HOU0.2,SDP1.1,ARI0.0,ATL-0.1
12,Arizona Diamondbacks1.4,TEX0.5,WSN1.3,TBR-0.6,ATL1.3,CHW0.3,MIN-0.1,CLE0.2,COL0.2,TEX0.9,NYM0.2,TBR0.5,TEX0.2,SEA0.9,DET0.0,WSN-0.1
13,Toronto Blue Jays1.3,CHW0.5,MIL1.3,TOR-0.6,HOU0.3,CLE0.1,ARI-0.1,SDP-0.1,TBR0.2,BAL0.8,MIL0.1,SFG0.5,MIL0.1,SFG0.8,MIN0.0,CIN-0.2
14,St. Louis Cardinals1.2,STL-0.2,LAA1.0,CLE-0.7,MIN-0.1,MIN0.1,LAA-0.1,BAL-0.2,CHC0.1,PHI0.8,LAA-0.2,STL0.5,MIN0.1,STL0.5,MIL0.0,STL-0.2
15,Kansas City Royals0.9,TOR-0.5,SDP0.7,ATL-0.8,MIL-0.1,ARI-0.2,BAL-0.1,PIT-0.2,KCR0.0,CIN0.8,TOR-0.3,DET0.4,MIA-0.1,MIA0.3,STL-0.1,DET-0.2
16,Seattle Mariners0.8,MIL-0.5,STL0.7,STL-0.9,TEX-0.5,MIA-0.2,STL-0.3,SEA-0.2,BAL0.0,CHC0.6,CIN-0.5,KCR0.4,SFG-0.1,MIL0.2,CIN-0.2,MIL-0.3
17,Atlanta Braves0.6,TBR-0.6,ARI0.7,CIN-0.9,WSN-0.6,ATH-0.3,ATH-0.4,PHI-0.3,DET0.0,PIT0.6,MIA-0.5,PIT0.3,WSN-0.2,HOU0.0,PIT-0.4,BAL-0.3
18,San Diego Padres0.4,ARI-0.6,SFG0.6,SEA-1.1,SDP-1.1,PIT-0.3,KCR-0.7,MIN-0.4,NYY-0.1,STL0.5,COL-0.5,TEX0.1,ATL-0.4,ARI0.0,NYM-0.4,ATH-0.3
19,Texas Rangers0.0,ATL-0.7,ATL0.1,PHI-1.1,PHI-1.2,NYY-0.3,TEX-0.7,ATL-0.4,SEA-0.2,TOR0.1,BAL-0.5,NYM0.1,BAL-0.4,TOR-0.2,WSN-0.6,TEX-0.3
20,Cincinnati Reds-0.5,CLE-0.8,TOR0.1,CHC-1.3,SFG-1.4,LAA-0.3,SDP-0.7,MIA-0.4,STL-0.2,SDP0.0,TBR-0.5,MIL0.0,TOR-0.5,CIN-0.3,TBR-0.6,LAA-0.3
21,Milwaukee Brewers-0.6,SEA-1.5,TBR0.0,ARI-1.4,CLE-1.6,HOU-0.3,WSN-1.2,CHW-0.5,CHW-0.2,MIN0.0,PHI-0.6,WSN-0.2,CIN-0.5,ATH-1.1,SFG-0.7,SFG-0.4
22,Cleveland Guardians-2.4,CHC-2.3,CLE-0.1,PIT-1.4,BAL-1.8,TBR-0.5,SEA-1.2,TEX-0.5,PHI-0.5,ATL-0.2,ATH-0.6,LAA-0.3,LAA-0.6,LAA-1.1,SDP-0.7,SEA-0.4
23,Pittsburgh Pirates-3.0,BOS-2.5,SEA-0.3,CHW-1.5,ATH-2.6,PHI-0.5,PIT-1.3,WSN-0.6,NYM-0.6,MIA-0.2,ARI-0.8,BAL-0.3,CHW-0.7,BAL-1.2,LAA-0.7,PIT-0.4
24,Washington Nationals-3.5,MIA-2.9,CHC-1.0,LAD-1.6,CIN-2.8,WSN-0.6,HOU-1.3,HOU-0.6,PIT-0.6,BOS-0.5,PIT-0.9,ATL-0.5,STL-0.9,PIT-1.6,CHW-0.9,PHI-0.4
25,Chicago White Sox-6.3,WSN-2.9,LAD-1.6,MIL-1.8,LAA-3.2,TEX-0.6,BOS-1.5,ATH-0.8,MIA-0.7,DET-0.7,HOU-0.9,PHI-0.7,PIT-1.0,ATL-2.0,TOR-1.0,MIN-0.5
