Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Mets11.5,NYM6.3,PHI5.0,SFG3.1,CHC11.0,SEA2.1,ATL1.7,CHC1.6,BOS2.4,HOU3.0,CLE1.8,CHC3.1,NYY3.1,CHC5.3,LAD2.1,TBR0.4
2,New York Yankees9.9,KCR5.7,KCR4.8,NYM2.3,LAD9.0,CHC1.8,NYM1.6,MIL1.6,SFG1.8,KCR2.3,WSN1.4,SEA1.9,CHC1.7,NYY4.2,BOS1.4,LAD0.3
3,Chicago Cubs8.3,PHI4.1,TEX4.2,MIN1.6,NYY7.7,ATL1.4,LAD1.6,ARI1.2,CLE1.6,ATH1.8,TEX0.9,BOS1.3,ARI1.5,BOS2.7,PHI1.1,TOR0.3
4,Los Angeles Dodgers5.4,SFG3.8,NYM4.0,HOU1.2,NYM5.2,LAD1.3,TBR1.4,STL0.8,SDP1.4,NYM1.6,STL0.8,LAD1.1,SDP1.4,MIN1.8,NYY1.0,BOS0.2
5,Detroit Tigers5.0,HOU3.6,CIN3.8,SDP1.1,BOS4.5,CIN1.2,CHC0.8,NYY0.8,HOU1.2,LAD1.5,SEA0.7,MIN1.1,NYM1.3,NYM1.6,ATL0.8,NYM0.1
6,Houston Astros4.0,MIN3.6,DET3.2,KCR1.0,TBR3.8,TOR1.1,NYY0.8,TOR0.6,TOR0.8,LAA1.3,MIN0.6,MIA0.9,TBR1.2,SEA1.4,CHC0.6,CHC0.0
7,Minnesota Twins3.5,CIN3.4,CHW2.6,COL0.5,SEA3.1,BOS0.8,PHI0.6,LAD0.6,LAD0.7,SEA1.3,CHC0.5,CIN0.9,LAD1.2,TBR1.3,SEA0.3,ATL0.0
8,Tampa Bay Rays2.9,DET3.1,HOU2.4,NYY0.3,ARI2.2,DET0.8,TOR0.6,DET0.5,ARI0.5,ARI1.2,DET0.5,NYY0.9,BOS1.0,WSN1.2,BAL0.2,NYY0.0
9,Toronto Blue Jays2.3,SDP2.6,PIT2.1,DET-0.1,TOR2.2,MIL0.7,DET0.3,SFG0.3,TBR0.4,TBR1.1,BOS0.4,SFG0.8,ATH0.6,DET1.2,ATH0.2,ARI-0.1
10,San Francisco Giants2.0,NYY2.2,MIN2.0,BOS-0.3,ATL2.0,STL0.7,CLE0.2,NYM0.3,ATL0.4,NYY1.1,NYM0.3,HOU0.7,HOU0.3,TEX1.0,CLE0.1,HOU-0.1
