Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Mets9.4,KCR6.3,KCR5.1,NYM2.5,LAD8.7,CHC1.9,LAD1.8,CHC1.3,BOS2.2,HOU2.5,CLE1.5,CHC2.4,NYY2.9,CHC4.2,LAD2.3,TBR0.4
2,New York Yankees9.1,NYM5.5,PHI4.8,SFG2.5,CHC8.6,SEA1.9,ATL1.3,MIL1.2,SFG1.7,KCR1.9,WSN1.3,MIN1.4,LAD1.7,NYY4.0,PHI1.4,TOR0.2
3,Chicago Cubs6.6,MIN4.9,CIN4.2,MIN2.1,NYY7.2,ATL1.4,TBR1.3,STL0.7,CLE1.2,ARI1.5,TEX1.1,SEA1.3,TBR1.7,BOS2.7,BOS1.3,LAD0.2
4,Los Angeles Dodgers5.7,PHI4.0,TEX3.8,KCR1.2,TBR4.3,LAD1.3,NYM1.0,TOR0.6,HOU1.0,ATH1.3,STL0.9,MIA1.0,SDP1.5,MIN2.1,NYY1.2,BOS0.1
5,Detroit Tigers5.4,DET3.9,DET3.5,HOU0.6,NYM3.9,MIL1.1,NYY0.9,NYM0.5,SDP1.0,WSN1.2,MIN0.6,BOS1.0,CHC1.4,TBR1.8,ATL0.9,NYM0.1
6,Minnesota Twins4.2,CIN3.4,NYM3.0,COL0.3,BOS3.8,CIN0.9,PHI0.7,LAD0.5,TEX0.6,SEA1.2,DET0.4,LAD0.9,BOS1.3,LAD1.5,CHC0.5,HOU-0.1
7,Houston Astros3.3,SFG2.7,LAA2.8,NYY0.3,SEA2.9,DET0.8,MIL0.5,ARI0.5,TOR0.6,TBR1.2,CHC0.4,NYY0.9,ARI1.3,TEX1.2,BAL0.4,CIN-0.1
8,Philadelphia Phillies2.9,HOU2.4,MIN2.8,DET0.3,ARI2.1,TOR0.8,TOR0.5,NYY0.5,ATL0.4,LAA1.2,SEA0.4,HOU0.7,NYM0.7,NYM1.0,SEA0.4,ARI-0.1
9,Tampa Bay Rays2.6,NYY1.9,PIT2.1,SDP0.2,TOR2.1,STL0.7,DET0.5,SFG0.5,ARI0.3,NYM1.1,BOS0.4,TOR0.6,HOU0.6,WSN0.8,ATH0.2,MIA-0.1
10,St. Louis Cardinals2.2,PIT1.2,CHW2.0,STL-0.4,ATL1.8,NYM0.7,CLE0.4,CLE0.3,TBR0.3,TEX1.0,NYY0.2,STL0.6,ATH0.3,DET0.8,CLE0.1,NYY-0.1
11,Boston Red Sox2.2,SDP1.2,HOU1.8,BOS-0.6,STL1.6,BOS0.7,CHC0.2,DET0.3,COL0.3,NYY1.0,NYM0.2,SFG0.6,DET0.1,SEA0.7,ARI0.1,CHC-0.1
12,Seattle Mariners1.5,TEX0.6,NYY1.6,MIA-0.6,DET1.5,CHW0.4,ARI0.2,SEA0.2,CHW0.2,LAD0.9,SFG0.2,CIN0.6,MIN0.1,STL0.7,DET-0.1,WSN-0.1
13,Toronto Blue Jays1.5,STL0.6,WSN1.4,PHI-0.7,HOU0.9,CLE0.1,BAL0.1,TBR0.2,LAD0.2,BAL0.8,MIL-0.1,TBR0.5,TEX0.1,SFG0.6,MIN-0.1,ATL-0.1
14,Atlanta Braves1.4,CHW0.3,SDP1.1,SEA-0.8,TEX-0.5,MIN0.0,ATH-0.3,SDP0.1,BAL0.1,PIT0.7,LAA-0.1,KCR0.4,MIA-0.1,SDP0.6,MIL-0.1,ATH-0.2
