Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Mets9.9,KCR7.0,KCR5.6,SFG2.9,CHC9.4,CHC1.9,LAD1.8,CHC1.5,BOS2.1,HOU2.7,CLE1.6,CHC2.8,NYY2.9,CHC4.5,LAD2.2,TBR0.4
2,New York Yankees9.4,NYM5.9,PHI4.8,NYM2.6,LAD8.7,SEA1.9,ATL1.4,MIL1.2,SFG1.6,KCR1.9,WSN1.5,MIN1.4,TBR1.6,NYY4.1,PHI1.4,TOR0.3
3,Chicago Cubs7.2,MIN4.8,TEX3.9,MIN2.0,NYY7.2,LAD1.2,TBR1.3,TOR0.7,CLE1.4,ATH1.5,TEX0.9,SEA1.3,CHC1.5,BOS2.7,BOS1.4,LAD0.3
4,Detroit Tigers6.1,DET4.1,DET3.6,KCR1.4,NYM4.0,ATL1.2,NYM1.1,LAD0.7,HOU0.9,LAA1.3,STL0.8,BOS1.1,SDP1.5,MIN1.9,NYY1.2,BOS0.1
5,Los Angeles Dodgers5.7,PHI3.8,CIN3.5,SDP0.8,BOS3.7,CIN1.0,NYY0.8,STL0.6,SDP0.9,ARI1.3,SEA0.7,MIA1.1,LAD1.5,TBR1.6,ATL1.0,NYM0.0
6,Minnesota Twins4.0,SFG3.6,NYM3.3,HOU0.8,TBR3.5,MIL1.0,PHI0.7,NYY0.6,TOR0.8,NYM1.3,MIN0.5,LAD1.0,BOS1.3,LAD1.2,CHC0.5,ATL-0.1
7,Houston Astros3.7,HOU3.1,MIN2.8,DET0.5,SEA3.2,DET0.9,TOR0.7,ARI0.6,TEX0.7,SEA1.3,DET0.4,NYY1.0,ARI1.3,NYM1.2,SEA0.4,WSN-0.1
8,Tampa Bay Rays2.7,CIN2.6,HOU2.3,COL0.5,TOR2.4,TOR0.8,CLE0.5,SFG0.5,ATL0.4,WSN1.2,SFG0.4,HOU0.7,NYM0.9,TEX1.1,BAL0.3,CHC-0.1
9,Philadelphia Phillies2.6,NYY2.2,LAA1.9,NYY0.3,DET2.0,NYM0.7,DET0.4,DET0.4,ARI0.3,TBR1.2,BOS0.3,STL0.6,DET0.4,DET1.1,CLE0.2,NYY-0.1
10,San Francisco Giants2.3,SDP1.8,NYY1.9,BOS-0.5,ATL1.9,BOS0.6,CHC0.4,NYM0.3,LAD0.3,TEX1.0,NYY0.2,TOR0.6,HOU0.4,SEA1.0,ATH0.2,ARI-0.1
11,Boston Red Sox2.0,TEX0.9,PIT1.8,MIA-0.5,ARI1.8,STL0.4,MIL0.2,CLE0.2,BAL0.2,LAD1.0,NYM0.2,CIN0.6,ATH0.4,WSN0.9,ARI0.1,HOU-0.1
12,Toronto Blue Jays1.8,STL0.4,CHW1.6,TBR-0.7,STL0.7,CHW0.2,ARI0.1,PIT0.1,COL0.2,BAL0.9,CHC0.2,TBR0.5,TEX0.1,SFG0.7,DET0.0,MIA-0.1
13,Seattle Mariners1.4,PIT0.3,MIL1.4,ATL-0.7,HOU0.6,MIN0.1,BAL0.0,TBR0.1,WSN0.1,NYY0.9,MIL0.0,SFG0.5,MIN0.0,MIA0.5,MIL0.0,DET-0.2
14,Atlanta Braves1.4,CHW-0.1,STL1.2,STL-0.8,TEX-0.3,CLE0.1,MIN-0.2,SEA0.1,TBR0.1,CHC0.8,LAA-0.1,SDP0.5,MIA-0.1,SDP0.5,STL-0.1,CIN-0.2
15,Kansas City Royals1.2,MIL-0.2,WSN1.1,TOR-0.8,WSN-0.5,NYY-0.1,ATH-0.3,BAL0.0,KCR0.0,CIN0.7,TOR-0.2,DET0.3,MIL-0.2,STL0.4,CIN-0.1,PIT-0.3
16,St. Louis Cardinals1.1,ATL-0.5,SDP1.0,CIN-0.9,MIN-0.8,ARI-0.1,LAA-0.4,SDP-0.1,CHW0.0,PHI0.7,PHI-0.3,KCR0.3,SFG-0.2,HOU0.1,MIN-0.2,STL-0.3
17,Arizona Diamondbacks0.8,TOR-0.6,SFG0.7,PHI-1.0,MIL-0.9,HOU-0.2,STL-0.6,MIA-0.2,DET0.0,PIT0.6,ATH-0.4,PIT0.2,WSN-0.3,TOR-0.1,PIT-0.2,PHI-0.3
18,Texas Rangers0.6,TBR-0.8,ARI0.4,SEA-1.1,PHI-1.2,MIA-0.2,KCR-0.7,PHI-0.4,SEA-0.1,STL0.5,CIN-0.4,TEX0.1,ATL-0.4,CIN-0.3,NYM-0.4,BAL-0.3
19,San Diego Padres-0.1,ARI-1.0,ATL0.2,CLE-1.1,SFG-1.3,PIT-0.2,TEX-0.7,ATL-0.4,CHC-0.1,TOR0.2,TBR-0.5,NYM0.1,BAL-0.4,MIL-0.4,WSN-0.5,SEA-0.3
20,Cincinnati Reds-0.3,BOS-1.7,TOR0.2,ARI-1.4,BAL-1.4,ATH-0.3,SDP-0.8,TEX-0.4,STL-0.2,ATL0.0,MIA-0.5,MIL-0.2,TOR-0.5,ARI-0.4,SFG-0.6,ATH-0.3
21,Milwaukee Brewers-1.1,CLE-1.8,TBR-0.1,CHC-1.4,CLE-1.7,LAA-0.3,WSN-1.0,MIN-0.5,NYM-0.2,SDP0.0,COL-0.5,BAL-0.2,CIN-0.5,ATH-0.9,SDP-0.6,TEX-0.3
22,Pittsburgh Pirates-3.0,SEA-1.8,SEA-0.7,PIT-1.5,SDP-1.9,WSN-0.4,SEA-1.1,CHW-0.5,NYY-0.2,MIN0.0,BAL-0.6,ATL-0.2,LAA-0.7,LAA-1.1,LAA-0.7,LAA-0.3
23,Cleveland Guardians-3.5,CHC-2.2,CLE-0.7,MIL-1.6,ATH-2.0,TBR-0.4,HOU-1.2,ATH-0.6,PIT-0.6,MIA-0.2,PIT-0.7,WSN-0.3,PIT-0.8,BAL-1.2,TBR-0.8,SFG-0.4
24,Washington Nationals-3.7,LAA-2.4,CHC-0.9,CHW-1.7,CIN-2.9,TEX-0.5,SFG-1.4,HOU-0.6,MIL-0.8,DET-0.6,ARI-0.9,LAA-0.3,CHW-0.8,PIT-1.3,CHW-0.9,MIL-0.4
25,Los Angeles Angels-6.0,MIA-2.9,LAD-1.2,LAD-1.8,PIT-3.3,PHI-0.6,PIT-1.4,WSN-0.7,PHI-0.8,BOS-0.7,CHW-0.9,PHI-0.7,PHI-0.9,ATL-1.6,TOR-1.0,MIN-0.5
26,Miami Marlins-6.5,LAD-3.0,BOS-1.2,TEX-3.0,LAA-3.6,SDP-0.8,BOS-1.4,BOS-1.1,MIA-0.8,COL-0.7,ATL-1.0,ARI-0.8,STL-1.0,PHI-1.9,HOU-1.0,KCR-0.6
27,Chicago White Sox-7.0,WSN-3.2,ATH-2.0,BAL-3.3,MIA-3.6,SFG-0.8,CHW-1.5,LAA-1.1,CIN-0.9,CHW-0.9,HOU-1.0,CHW-0.9,SEA-1.0,CLE-2.1,MIA-1.0,CHW-0.7
