Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Mets10.2,KCR6.1,KCR4.7,SFG3.1,CHC10.4,CHC2.0,LAD1.7,CHC1.6,BOS2.1,HOU2.8,WSN1.5,CHC3.0,NYY3.1,CHC4.9,LAD2.2,TBR0.4
2,New York Yankees9.8,NYM5.5,PHI4.7,NYM2.0,LAD9.0,SEA2.0,NYM1.6,MIL1.6,SFG1.8,KCR2.0,CLE1.5,BOS1.5,SDP1.6,NYY4.2,BOS1.3,TOR0.3
3,Chicago Cubs8.7,SFG4.1,CIN3.5,MIN1.6,NYY7.6,ATL1.6,ATL1.5,ARI1.1,CLE1.5,ATH1.7,TEX1.1,SEA1.4,CHC1.5,BOS3.1,PHI1.2,LAD0.3
4,Los Angeles Dodgers6.0,PHI3.9,NYM3.5,KCR1.4,NYM4.7,LAD1.2,TBR1.4,NYY0.8,SDP1.3,LAA1.4,STL0.9,MIN1.4,TBR1.5,MIN2.2,NYY1.1,BOS0.1
5,Detroit Tigers5.2,HOU3.6,TEX3.4,HOU1.1,BOS4.2,CIN1.1,NYY0.8,STL0.7,HOU1.1,NYM1.4,MIN0.6,LAD1.1,ARI1.5,NYM1.6,ATL0.9,CHC0.0
6,Houston Astros4.0,DET3.4,DET3.3,COL1.0,TBR3.7,BOS0.8,CHC0.6,LAD0.6,TOR0.9,SEA1.4,DET0.6,NYY0.9,LAD1.4,TBR1.5,CHC0.5,NYM0.0
7,Minnesota Twins3.5,MIN3.3,PIT2.5,SDP0.9,SEA2.8,TOR0.8,PHI0.6,TOR0.6,LAD0.6,WSN1.3,SEA0.5,MIA0.8,BOS1.2,WSN1.3,SEA0.4,HOU-0.1
8,Tampa Bay Rays3.2,CIN2.7,HOU2.4,NYY0.2,ARI2.7,DET0.8,TOR0.5,DET0.4,ARI0.4,ARI1.2,BOS0.4,CIN0.7,NYM1.1,DET1.3,BAL0.4,ARI-0.1
9,San Francisco Giants2.5,NYY2.2,CHW2.1,DET0.1,TOR2.2,MIL0.6,CLE0.4,SFG0.3,TEX0.4,LAD1.2,CHC0.4,HOU0.7,ATH0.5,TEX1.3,ATH0.3,MIA-0.1
10,Toronto Blue Jays2.2,SDP1.5,NYY2.0,MIA-0.4,ATL1.9,NYM0.6,MIL0.2,NYM0.3,ATL0.4,TBR1.1,NYM0.4,SFG0.6,DET0.4,LAD1.2,CLE0.1,NYY-0.1
11,Philadelphia Phillies2.2,PIT1.1,MIN1.7,CLE-0.5,DET1.8,CHW0.5,DET0.2,TBR0.2,TBR0.3,NYY1.0,SFG0.3,TOR0.6,HOU0.3,SEA0.8,ARI0.0,ATL-0.1
12,Boston Red Sox1.5,CHW0.7,MIL1.6,TOR-0.5,STL0.9,STL0.5,ARI0.0,CLE0.1,COL0.2,PHI0.9,NYY0.2,KCR0.5,MIN0.2,SFG0.7,DET0.0,WSN-0.1
