Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Mets12.4,NYM5.9,PHI5.1,SFG3.2,CHC10.5,SEA2.2,NYM2.0,MIL1.5,BOS2.3,HOU2.9,CLE1.7,CHC3.1,NYY3.3,CHC5.2,LAD2.1,TBR0.4
2,New York Yankees9.3,KCR5.1,KCR4.4,NYM2.2,LAD9.0,CHC1.8,ATL1.8,CHC1.4,SFG2.0,KCR2.4,WSN1.4,SEA1.8,CHC1.7,NYY4.3,BOS1.5,LAD0.3
3,Chicago Cubs7.9,MIN4.2,TEX4.2,MIN2.0,NYY7.5,CIN1.5,LAD1.4,ARI1.2,CLE1.7,ATH1.9,SEA0.9,MIN1.3,NYM1.6,BOS2.9,PHI1.1,BOS0.2
4,Los Angeles Dodgers5.8,PHI4.1,CIN3.7,SDP1.4,NYM6.5,LAD1.3,TBR1.2,NYY0.8,SDP1.5,LAD1.7,TEX0.8,BOS1.3,ARI1.5,NYM1.9,NYY1.0,TOR0.2
5,Detroit Tigers5.7,SFG3.8,DET3.7,HOU1.0,BOS5.4,ATL1.3,CHC0.8,STL0.7,HOU1.1,NYM1.6,STL0.7,LAD1.2,SDP1.3,MIN1.7,ATL0.7,NYM0.1
6,Minnesota Twins4.0,DET3.8,NYM3.6,KCR0.7,TBR3.7,TOR1.0,NYY0.8,TOR0.6,TOR0.8,LAA1.3,BOS0.6,HOU0.9,LAD1.2,SEA1.4,CHC0.5,CHC0.0
7,Houston Astros3.9,HOU3.6,CHW2.8,DET0.2,SEA3.1,BOS1.0,PHI0.6,DET0.6,LAD0.7,TBR1.2,DET0.5,NYY0.9,TBR1.1,WSN1.3,SEA0.4,HOU-0.1
8,Tampa Bay Rays3.1,CIN3.4,HOU2.5,COL0.2,DET1.9,NYM0.9,TOR0.6,LAD0.5,ARI0.6,SEA1.1,MIN0.5,MIA0.8,BOS1.0,DET1.2,BAL0.2,ARI-0.1
9,San Francisco Giants2.1,SDP3.3,MIN2.3,NYY0.0,ATL1.9,MIL0.7,DET0.3,NYM0.4,TBR0.6,BAL1.0,CHC0.4,CIN0.8,ATH0.6,TEX1.1,ATH0.1,NYY-0.1
10,Boston Red Sox1.8,NYY1.8,PIT2.3,CIN-0.3,ARI1.9,DET0.7,CLE0.3,SFG0.3,ATL0.6,PHI1.0,NYM0.3,SFG0.8,HOU0.3,LAD1.0,CLE0.1,ATL-0.1
11,Philadelphia Phillies1.6,CHW1.6,MIL2.1,MIA-0.5,TOR1.7,STL0.6,MIL0.1,BAL0.1,COL0.4,NYY1.0,SFG0.2,STL0.5,DET0.3,TBR1.0,STL0.0,WSN-0.1
12,Cincinnati Reds1.6,TEX1.5,NYY1.8,CLE-0.5,STL1.4,CHW0.3,ARI-0.1,CLE0.0,KCR0.2,WSN0.9,NYY0.1,PIT0.4,WSN0.1,SFG0.9,MIN0.0,CIN-0.2
13,Toronto Blue Jays1.4,PIT1.1,SDP1.8,TOR-0.5,HOU0.3,MIN0.2,MIN-0.1,PIT0.0,BAL0.1,ARI0.9,MIL0.1,DET0.4,TEX0.1,STL0.3,ARI0.0,MIA-0.2
14,St. Louis Cardinals1.1,MIL0.2,WSN1.8,BOS-0.7,MIN-0.2,CLE0.1,STL-0.1,SEA-0.1,TEX0.0,TEX0.8,COL-0.1,TOR0.4,MIL0.0,MIA0.0,MIL0.0,DET-0.2
15,Kansas City Royals1.0,TOR-0.3,LAA1.1,TBR-0.7,MIL-0.6,ARI-0.2,ATH-0.2,TBR-0.1,DET0.0,CHC0.8,LAA-0.2,KCR0.4,MIN-0.1,HOU0.0,DET-0.1,MIL-0.3
16,San Diego Padres1.0,STL-0.3,STL0.9,PHI-0.9,TEX-0.8,NYY-0.2,BAL-0.2,TEX-0.1,SEA0.0,CIN0.7,TBR-0.4,TBR0.3,SFG-0.1,SDP0.0,NYM-0.1,STL-0.3
17,Texas Rangers0.7,CLE-0.5,SFG0.6,SEA-1.2,SFG-1.7,TBR-0.2,KCR-0.3,MIN-0.3,CHC0.0,PIT0.7,CIN-0.5,TEX0.2,MIA-0.2,MIL-0.2,CIN-0.1,BAL-0.3
18,Seattle Mariners0.3,TBR-0.6,ARI0.2,CHW-1.2,CIN-1.8,PIT-0.2,LAA-0.3,ATL-0.3,NYY-0.1,STL0.3,MIA-0.6,SDP0.2,ATL-0.4,CIN-0.3,TBR-0.4,TEX-0.3
19,Arizona Diamondbacks0.3,ARI-1.6,TOR0.2,PIT-1.2,WSN-2.0,MIA-0.3,TEX-0.4,MIA-0.3,CHW-0.1,TOR0.2,TOR-0.6,NYM0.0,TOR-0.5,ARI-0.4,PIT-0.5,LAA-0.3
20,Atlanta Braves-0.2,ATL-2.1,TBR0.1,STL-1.3,ATH-2.1,HOU-0.3,SDP-0.8,SDP-0.4,STL-0.1,MIA0.0,ATH-0.6,WSN-0.2,BAL-0.6,TOR-0.7,SFG-0.6,SFG-0.4
21,Milwaukee Brewers-0.4,WSN-2.4,CLE0.0,CHC-1.5,BAL-2.1,LAA-0.3,WSN-1.0,CHW-0.6,WSN-0.2,SDP-0.1,BAL-0.7,LAA-0.2,CIN-0.6,ATH-0.8,SDP-0.8,SEA-0.4
22,Cleveland Guardians-2.9,LAA-2.5,ATL-0.5,ATL-1.6,SDP-2.3,PHI-0.4,BOS-1.2,HOU-0.7,NYM-0.3,ATL-0.2,ARI-0.9,ATL-0.3,LAA-0.6,LAA-1.0,WSN-0.8,PIT-0.4
23,Pittsburgh Pirates-3.2,CHC-2.6,CHC-1.1,LAD-1.7,CLE-2.4,ATH-0.4,PIT-1.4,ATH-0.7,PIT-0.6,BOS-0.3,PHI-0.9,MIL-0.3,CHW-0.8,BAL-1.7,KCR-0.8,ATH-0.4
24,Washington Nationals-4.4,SEA-2.8,LAD-1.6,ARI-1.8,PHI-2.5,KCR-0.6,CIN-1.4,PHI-0.8,MIL-0.8,MIN-0.3,CHW-1.1,BAL-0.4,STL-0.9,PIT-1.9,LAA-0.8,MIN-0.5
25,Chicago White Sox-5.7,LAD-3.2,SEA-1.6,BAL-1.9,KCR-4.1,SDP-0.7,SEA-1.5,CIN-0.9,PHI-0.8,DET-0.6,ATL-1.2,PHI-0.7,PIT-1.1,ATL-1.9,TOR-1.0,PHI-0.5
26,Los Angeles Angels-6.6,MIA-3.5,ATH-2.8,MIL-1.9,LAA-4.1,TEX-0.7,CHW-1.5,WSN-1.0,MIA-0.8,CHW-0.8,PIT-1.2,ATH-0.8,PHI-1.1,CLE-2.5,CHW-1.0,KCR-0.7
27,Baltimore Orioles-7.0,BOS-3.6,BOS-2.9,TEX-2.7,PIT-4.3,SFG-0.9,SFG-1.6,BOS-1.0,MIN-0.9,COL-1.0,HOU-1.2,CHW-1.0,SEA-1.3,PHI-2.7,HOU-1.0,CHW-0.7
28,Miami Marlins-8.0,BAL-4.9,BAL-3.0,LAA-3.6,MIA-4.5,WSN-1.1,HOU-1.6,LAA-1.3,CIN-1.1,CLE-1.1,KCR-1.3,ARI-1.0,COL-1.6,CHW-2.9,MIA-1.1,SDP-1.0
29,Athletics-8.6,COL-6.0,MIA-3.1,ATH-3.7,CHW-7.3,COL-1.1,COL-1.8,KCR-1.4,LAA-1.4,SFG-1.4,LAD-1.4,COL-1.8,CLE-2.0,KCR-2.9,TEX-1.2,CLE-1.0
30,Colorado Rockies-17.5,ATH-6.5,COL-6.2,WSN-4.2,COL-11.5,BAL-1.3,MIA-1.8,COL-2.1,ATH-1.6,MIL-1.6,SDP-1.5,CLE-2.2,KCR-2.0,COL-3.5,COL-1.3,COL-1.1
AVG,0.0,0.0,0.7,-0.8,0.0,0.2,-0.2,-0.1,0.1,0.5,-0.2,0.2,0.0,0.0,-0.1,-0.3
