Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Mets13.1,PHI6.3,PHI6.6,SFG2.6,CHC10.7,CHC2.0,NYM2.0,CHC1.5,BOS2.5,HOU3.1,CLE1.8,CHC3.1,NYY3.5,CHC5.6,LAD2.1,TBR0.3
2,New York Yankees10.4,NYM5.8,DET4.5,NYM2.0,LAD9.0,SEA1.7,ATL1.9,MIL1.4,SFG2.1,KCR2.2,WSN1.7,SEA2.2,NYM2.1,NYY4.5,BOS1.4,LAD0.3
3,Chicago Cubs8.1,KCR4.7,NYM3.9,SDP1.8,NYY7.5,TOR1.6,LAD1.4,ARI1.2,CLE1.8,LAD1.7,SEA1.2,MIN1.4,ARI1.8,NYM3.0,PHI1.1,BOS0.2
4,Detroit Tigers5.9,HOU4.4,KCR3.9,HOU1.5,NYM7.3,LAD1.4,TBR1.4,NYY1.0,SDP1.6,ATH1.6,TEX0.9,BOS1.3,CHC1.7,BOS2.8,NYY0.9,TOR0.2
5,Los Angeles Dodgers4.8,SDP4.3,TEX3.4,MIN1.1,BOS5.3,ATL1.4,TOR0.7,TOR0.7,HOU1.2,NYM1.6,CHC0.8,CIN1.1,SDP1.7,TEX2.1,ATL0.6,NYM0.1
6,Houston Astros4.7,DET3.8,CIN3.3,KCR0.7,SEA3.8,CIN1.3,CHC0.6,STL0.6,LAD0.8,LAA1.4,BOS0.6,LAD1.1,LAD1.2,SEA2.1,CHC0.5,ATL-0.1
7,Philadelphia Phillies3.3,SFG2.9,PIT3.0,NYY0.3,TBR3.2,BOS1.0,NYY0.6,LAD0.5,TOR0.8,TBR1.3,NYM0.6,NYY1.1,BOS0.9,MIN1.9,ATH0.4,NYY-0.1
8,Boston Red Sox3.0,NYY2.9,HOU2.9,TBR0.0,ARI2.9,NYM0.8,PHI0.5,SFG0.5,ARI0.6,SEA1.3,MIN0.6,SFG0.9,TBR0.8,WSN1.2,SEA0.4,CHC-0.1
9,Tampa Bay Rays2.9,CIN2.6,NYY2.7,BOS-0.3,ATL2.6,MIL0.7,DET0.3,DET0.5,COL0.6,TEX1.2,DET0.6,HOU0.8,TEX0.5,SFG1.2,BAL0.2,DET-0.1
10,San Francisco Giants2.8,PIT2.4,SDP2.5,PHI-0.4,TOR2.3,DET0.6,ARI0.3,NYM0.4,ATL0.5,CIN1.2,SFG0.3,MIA0.8,HOU0.2,DET1.1,DET0.0,CIN-0.1
11,Arizona Diamondbacks2.6,MIN2.2,LAA2.4,PIT-0.5,DET2.1,CHW0.5,STL0.1,TBR0.1,KCR0.5,WSN1.1,STL0.2,TEX0.7,ATH0.2,LAD0.8,ARI0.0,MIA-0.1
12,Texas Rangers2.5,CHW1.2,CHW2.3,DET-0.7,TEX1.5,CLE0.4,CLE0.0,BAL0.1,BAL0.4,BAL1.1,MIL0.0,TOR0.6,DET0.2,TBR0.5,STL-0.1,ARI-0.2
13,Minnesota Twins1.7,TEX1.0,MIL1.8,STL-0.8,HOU0.3,STL0.2,MIN-0.1,SEA0.0,TEX0.3,PHI1.0,NYY-0.1,STL0.6,ATL0.2,CIN0.4,MIL-0.1,HOU-0.2
14,Toronto Blue Jays1.4,TBR-0.3,WSN1.7,CIN-0.8,STL-0.1,MIN0.1,MIL-0.2,TEX0.0,DET0.2,NYY0.9,MIA-0.4,PIT0.4,WSN0.0,ARI0.4,MIN-0.2,TEX-0.2
15,San Diego Padres1.2,STL-0.3,MIN1.1,CLE-1.0,SFG-0.1,NYY-0.1,TEX-0.2,CLE-0.1,TBR0.2,ARI0.9,COL-0.4,KCR0.3,SFG0.0,MIA0.2,NYM-0.2,WSN-0.2
16,Seattle Mariners1.0,MIL-0.3,ARI0.9,CHC-1.1,MIN-0.5,MIA-0.2,LAA-0.3,MIA-0.1,SEA0.0,CHC0.8,CIN-0.5,NYM0.3,MIL0.0,SDP0.2,CLE-0.2,STL-0.3
17,Atlanta Braves1.0,ARI-0.3,STL0.6,COL-1.1,MIL-1.1,PHI-0.2,BAL-0.3,ATL-0.2,CHW-0.1,PIT0.6,TBR-0.6,DET0.3,MIN-0.1,HOU0.1,TBR-0.2,SFG-0.3
