Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Mets12.9,NYM6.2,PHI5.9,SFG3.0,CHC10.7,CHC1.9,NYM2.0,CHC1.5,BOS2.6,HOU3.0,CLE1.5,CHC3.0,NYY3.5,CHC5.6,LAD2.2,BOS0.3
2,New York Yankees10.2,PHI5.3,KCR4.0,NYM2.5,LAD9.2,SEA1.7,ATL1.8,MIL1.5,SFG2.0,KCR2.5,WSN1.4,SEA2.1,NYM2.0,NYY4.6,BOS1.4,LAD0.3
3,Chicago Cubs8.0,KCR4.7,NYM3.8,MIN1.6,NYY7.9,TOR1.6,LAD1.6,ARI1.3,CLE1.7,LAD1.7,SEA1.1,MIN1.7,ARI1.7,BOS3.2,PHI1.0,TBR0.3
4,Los Angeles Dodgers5.4,HOU4.3,DET3.6,HOU1.5,NYM6.7,CIN1.4,TBR1.1,NYY1.0,SDP1.6,ATH1.6,CHC0.9,BOS1.5,CHC1.7,NYM2.5,NYY1.0,TOR0.2
5,Detroit Tigers4.6,MIN3.8,TEX3.5,SDP1.3,BOS6.2,LAD1.4,TOR0.7,STL0.8,HOU1.2,NYM1.6,BOS0.8,CIN1.1,SDP1.5,MIN2.1,ATL0.6,NYM0.0
6,Houston Astros4.4,SDP3.6,CIN3.4,KCR0.7,SEA3.3,ATL1.3,CHC0.6,TOR0.7,LAD0.8,LAA1.4,TEX0.8,LAD1.1,LAD1.0,SEA2.0,CHC0.4,ARI-0.1
7,Minnesota Twins3.7,SFG3.1,HOU2.8,TBR-0.1,ARI3.1,BOS0.8,NYY0.6,LAD0.5,TOR0.8,TBR1.3,DET0.6,SFG0.9,TBR1.0,TEX1.4,ATH0.3,DET-0.1
8,Tampa Bay Rays3.2,CIN3.0,PIT2.5,NYY-0.1,TBR2.9,NYM0.7,PHI0.5,SFG0.5,ARI0.5,SEA1.3,MIN0.5,NYY0.9,BOS0.9,DET1.1,BAL0.2,CHC-0.1
9,Philadelphia Phillies2.8,DET2.8,NYY2.4,CLE-0.1,TOR2.7,MIL0.7,DET0.4,DET0.4,COL0.5,PHI1.2,STL0.5,MIA0.7,HOU0.4,WSN1.0,SEA0.2,NYY-0.1
10,Boston Red Sox2.5,NYY2.3,CHW2.4,CIN-0.4,DET1.8,DET0.6,ARI0.3,NYM0.4,ATL0.5,WSN1.1,NYM0.5,HOU0.6,DET0.3,SFG1.0,ARI0.1,ATL-0.1
11,San Francisco Giants2.1,PIT1.7,LAA2.3,COL-0.5,ATL1.8,STL0.5,CLE0.2,BAL0.3,BAL0.4,BAL1.1,SFG0.3,TOR0.6,TEX0.2,TBR0.7,STL0.1,TEX-0.2
12,Toronto Blue Jays2.0,CHW1.1,SDP2.3,PHI-0.6,STL1.3,CLE0.4,MIL0.1,TEX0.0,KCR0.3,NYY0.9,NYY0.2,PIT0.5,ATH0.2,LAD0.7,DET0.0,CIN-0.2
13,Arizona Diamondbacks2.0,TEX0.9,MIN2.2,DET-0.8,HOU0.1,CHW0.4,STL0.0,SEA-0.1,TBR0.3,TEX0.9,MIL0.0,STL0.5,ATL0.1,CIN0.3,MIN-0.1,HOU-0.2
