Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Mets12.2,NYM6.0,PHI5.4,SFG3.0,CHC10.6,CHC1.9,NYM1.9,MIL1.6,BOS2.4,HOU2.9,CLE1.6,CHC2.9,NYY3.4,CHC5.6,LAD2.2,TBR0.4
2,New York Yankees9.7,KCR5.3,KCR4.6,NYM2.5,LAD9.0,SEA1.8,ATL1.8,CHC1.3,SFG2.0,KCR2.5,WSN1.3,SEA1.9,ARI1.8,NYY4.7,BOS1.4,TOR0.3
3,Chicago Cubs8.5,PHI4.7,DET4.0,SDP1.7,NYY8.2,TOR1.7,LAD1.5,ARI1.2,SDP1.7,ATH1.7,CHC1.0,MIN1.4,NYM1.8,BOS2.9,NYY1.1,LAD0.3
4,Detroit Tigers6.4,DET4.2,CIN3.8,MIN1.4,NYM6.2,CIN1.5,TBR1.2,NYY1.0,CLE1.7,LAD1.6,SEA1.0,BOS1.3,CHC1.7,NYM2.1,PHI0.9,BOS0.2
5,Los Angeles Dodgers5.1,HOU4.0,TEX3.8,HOU1.3,BOS5.4,ATL1.4,TOR0.7,TOR0.9,HOU1.0,NYM1.5,TEX0.9,LAD1.1,SDP1.5,SEA1.7,ATL0.6,CHC0.0
6,Houston Astros4.1,SDP3.9,NYM3.4,KCR0.7,TBR3.6,LAD1.3,CHC0.6,STL0.8,LAD0.7,TBR1.5,BOS0.7,NYY1.0,TBR1.2,MIN1.7,CHC0.5,NYM0.0
7,Tampa Bay Rays3.2,CIN3.5,CHW3.1,COL0.2,SEA3.4,BOS0.9,PHI0.6,DET0.6,TOR0.7,LAA1.4,DET0.6,CIN0.9,LAD1.1,TEX1.5,SEA0.3,HOU-0.1
8,Minnesota Twins2.9,SFG3.3,HOU2.6,DET0.2,TOR3.1,NYM0.8,NYY0.6,LAD0.5,ATL0.6,SEA1.3,STL0.5,HOU0.8,BOS0.9,DET1.3,BAL0.1,ARI-0.1
9,Philadelphia Phillies2.2,MIN3.2,WSN2.4,NYY-0.1,ARI3.0,MIL0.7,DET0.4,SFG0.4,COL0.5,WSN1.1,MIN0.4,SFG0.8,DET0.4,TBR1.1,STL0.1,DET-0.1
10,Toronto Blue Jays1.9,CHW2.0,SDP2.2,CLE-0.2,DET2.2,DET0.6,ARI0.2,NYM0.4,ARI0.3,BAL1.0,NYY0.3,MIA0.8,ATH0.3,WSN0.9,DET0.1,NYY-0.1
