Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Yankees10.0,KCR5.6,PHI5.5,SFG2.5,CHC9.0,CHC2.1,LAD1.7,CHC1.3,BOS2.2,HOU2.2,TEX1.3,CHC2.4,NYY2.7,CHC4.1,LAD2.2,TOR0.3
2,New York Mets8.9,NYM5.3,KCR4.6,NYM2.4,LAD7.5,SEA1.8,ATL1.4,MIL1.1,SFG1.6,KCR2.0,WSN1.3,MIN1.4,LAD1.7,NYY3.9,BOS1.5,TBR0.3
3,Chicago Cubs6.9,PHI4.8,CIN3.6,MIN1.7,NYY6.8,ATL1.4,TBR1.2,ARI0.7,SDP1.1,ARI1.6,CLE1.2,SEA1.3,SDP1.6,BOS3.1,PHI1.4,BOS0.1
4,Detroit Tigers5.1,MIN4.2,TEX3.6,HOU1.3,BOS4.7,LAD1.2,NYY1.0,STL0.7,CLE1.1,LAA1.3,STL1.1,BOS1.1,BOS1.5,MIN2.0,NYY1.0,NYM0.1
5,Los Angeles Dodgers4.5,NYY3.2,NYM3.0,NYY1.0,NYM3.6,CIN1.2,NYM1.0,SFG0.6,HOU1.0,ATH1.2,SEA0.7,MIA1.0,CHC1.4,TEX1.5,ATL0.9,LAD0.1
6,Philadelphia Phillies4.4,HOU3.1,LAA2.8,KCR1.0,SEA2.9,TOR1.0,PHI0.7,TOR0.5,TEX0.7,WSN1.1,BOS0.5,NYY1.0,ARI1.4,LAD1.4,CHC0.5,ATL0.0
7,Houston Astros4.2,CIN2.9,DET2.6,SDP0.3,TBR2.7,MIL0.9,DET0.6,TBR0.4,ATL0.4,TEX1.1,DET0.5,LAD0.8,TBR1.2,SEA1.2,BAL0.4,CHC0.0
8,Minnesota Twins3.3,DET2.7,MIN2.5,COL0.2,DET2.4,DET0.9,TOR0.5,NYY0.4,TOR0.3,TBR1.1,MIN0.5,TOR0.7,HOU0.6,DET1.1,SEA0.4,CIN0.0
9,Boston Red Sox3.3,SFG2.6,NYY2.2,DET0.1,ARI2.3,NYM0.8,CHC0.3,NYM0.4,COL0.3,NYM1.0,CHC0.3,HOU0.7,NYM0.6,TBR1.0,CLE0.1,HOU0.0
10,St. Louis Cardinals2.0,SDP1.5,CHW2.2,STL-0.5,ATL2.0,BOS0.7,CLE0.3,CLE0.3,ARI0.3,LAD0.9,NYY0.2,CIN0.6,DET0.2,STL0.9,ATH0.0,ARI-0.1
