Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Mets13.2,NYM6.2,PHI6.2,SFG2.4,CHC10.9,CHC2.0,NYM2.0,CHC1.5,BOS2.6,HOU2.9,CLE1.7,CHC3.1,NYY3.4,CHC5.6,LAD2.2,LAD0.3
2,New York Yankees10.6,PHI5.8,DET4.5,NYM2.2,LAD9.3,SEA1.7,ATL1.8,MIL1.5,SFG2.1,KCR2.2,WSN1.6,SEA2.2,NYM2.0,NYY4.5,BOS1.4,TBR0.3
3,Chicago Cubs7.9,KCR4.6,NYM4.0,HOU1.5,NYY8.0,TOR1.6,LAD1.5,ARI1.2,CLE1.8,LAD1.7,SEA1.1,BOS1.4,CHC1.7,NYM3.0,PHI1.0,BOS0.2
4,Los Angeles Dodgers5.2,HOU4.4,KCR4.0,SDP1.5,NYM7.0,LAD1.4,TBR1.2,NYY1.1,SDP1.6,ATH1.6,TEX1.0,MIN1.4,ARI1.7,BOS2.9,NYY1.0,TOR0.2
5,Detroit Tigers5.1,SDP3.9,CIN3.5,MIN1.1,BOS5.5,ATL1.4,NYY0.8,TOR0.7,HOU1.3,NYM1.6,CHC0.8,LAD1.2,SDP1.6,TEX2.3,CHC0.5,NYM0.0
6,Houston Astros4.3,DET3.9,TEX3.4,KCR0.6,TBR3.2,CIN1.3,TOR0.7,STL0.6,LAD0.9,LAA1.4,BOS0.6,CIN1.1,LAD1.0,SEA2.0,ATL0.5,NYY0.0
7,Tampa Bay Rays2.9,CIN3.2,HOU2.8,COL0.1,SEA3.2,BOS0.9,CHC0.6,SFG0.6,TOR0.8,TBR1.3,NYM0.6,NYY1.1,TBR1.0,MIN1.9,ATH0.4,MIA-0.1
8,Philadelphia Phillies2.8,MIN2.9,NYY2.5,NYY0.0,ARI2.8,NYM0.7,PHI0.5,LAD0.5,ARI0.6,SEA1.2,MIN0.5,SFG1.0,BOS0.9,SFG1.4,SEA0.3,TEX-0.1
9,Boston Red Sox2.6,NYY2.6,PIT2.5,CIN-0.3,TOR2.8,MIL0.7,ARI0.2,NYM0.4,ATL0.6,BAL1.1,DET0.5,TOR0.7,TEX0.6,WSN1.1,BAL0.1,ARI-0.1
10,Texas Rangers2.5,SFG2.3,SDP2.4,TBR-0.3,ATL2.3,DET0.5,DET0.2,BAL0.2,TBR0.4,TEX1.1,SFG0.4,MIA0.7,DET0.3,DET1.0,DET0.0,CHC-0.1
11,Minnesota Twins2.4,PIT1.7,LAA2.4,PHI-0.4,TEX1.7,CHW0.5,STL0.1,DET0.2,COL0.4,PHI1.0,STL0.3,TEX0.7,HOU0.2,LAD0.8,MIL0.0,ATL-0.1
12,Toronto Blue Jays2.3,CHW1.1,CHW2.3,BOS-0.5,DET1.2,CLE0.4,CLE0.1,SEA0.0,KCR0.4,WSN1.0,MIL0.1,HOU0.6,ATH0.2,TBR0.7,ARI0.0,BAL-0.2
13,San Francisco Giants2.1,TEX0.8,WSN2.0,CLE-0.5,STL0.4,STL0.3,MIL-0.1,TEX0.0,BAL0.3,NYY0.9,NYY0.0,STL0.5,ATL0.1,CIN0.4,STL0.0,CIN-0.2
14,Arizona Diamondbacks2.1,TBR-0.3,MIN1.8,DET-0.6,HOU-0.1,MIN0.2,MIN-0.2,TBR0.0,TEX0.3,CIN0.9,COL-0.4,KCR0.4,WSN0.0,ARI0.3,CLE-0.1,WSN-0.2
