Rk,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,New York Yankees9.8,KCR6.6,PHI5.3,SFG2.6,CHC9.6,CHC1.9,LAD2.0,CHC1.4,BOS2.1,HOU2.7,WSN1.5,CHC3.0,NYY2.9,CHC4.7,LAD2.1,TBR0.4
2,New York Mets9.7,NYM5.5,KCR5.0,NYM2.5,LAD8.8,SEA1.9,ATL1.4,MIL1.4,SFG1.7,KCR2.1,CLE1.5,MIN1.5,SDP1.6,NYY4.1,BOS1.4,LAD0.3
3,Chicago Cubs7.5,MIN4.6,CIN3.8,MIN1.9,NYY7.6,LAD1.2,TBR1.4,ARI0.9,CLE1.6,ATH1.5,STL0.9,BOS1.4,ARI1.6,BOS3.0,PHI1.3,TOR0.2
4,Los Angeles Dodgers5.7,PHI4.3,TEX3.6,KCR1.7,NYM4.2,ATL1.1,NYM1.1,NYY0.9,SDP1.2,LAA1.4,TEX0.8,SEA1.3,CHC1.5,MIN2.4,NYY1.1,BOS0.1
5,Detroit Tigers4.8,HOU3.4,DET3.0,SDP1.1,BOS3.9,CIN1.0,PHI0.9,STL0.7,HOU1.1,NYM1.3,MIN0.7,MIA1.0,TBR1.5,TBR1.5,ATL1.0,NYM0.0
6,Minnesota Twins4.8,SFG3.3,NYM3.0,HOU1.0,TBR3.5,TOR0.8,CHC0.7,TOR0.7,TOR0.8,SEA1.3,DET0.7,NYY1.0,LAD1.4,NYM1.3,CHC0.4,CHC0.0
7,Houston Astros3.9,CIN3.2,MIN2.6,COL0.7,SEA2.7,MIL0.8,NYY0.7,LAD0.6,LAD0.6,WSN1.2,SEA0.6,LAD0.9,BOS1.2,DET1.3,SEA0.3,ARI0.0
8,Philadelphia Phillies3.1,DET2.7,HOU2.5,NYY0.2,ARI2.5,NYM0.8,TOR0.6,SFG0.6,TEX0.5,ARI1.2,SFG0.5,CIN0.6,NYM1.0,TEX1.1,BAL0.3,HOU-0.1
9,Tampa Bay Rays3.0,SDP2.3,PIT2.3,BOS-0.3,TOR2.3,DET0.8,DET0.4,NYM0.4,ATL0.4,NYY1.1,BOS0.4,TOR0.6,ATH0.5,LAD1.0,CLE0.2,MIA-0.1
10,Boston Red Sox2.5,NYY2.2,LAA1.9,DET-0.4,DET2.1,BOS0.6,CLE0.4,DET0.4,ARI0.3,TBR1.1,NYY0.2,HOU0.6,DET0.3,WSN0.9,ATH0.2,NYY-0.1
11,San Francisco Giants2.3,PIT0.6,NYY1.9,MIA-0.5,ATL1.3,STL0.4,MIL0.2,CLE0.2,TBR0.2,LAD1.0,CHC0.2,TBR0.5,HOU0.3,SEA0.8,ARI0.1,STL-0.2
12,Toronto Blue Jays1.3,TEX0.4,CHW1.8,CIN-0.6,STL1.1,CHW0.3,ARI0.0,TBR0.1,BAL0.1,BAL0.9,NYM0.2,KCR0.4,MIN0.2,SFG0.7,DET0.1,CIN-0.2
13,Arizona Diamondbacks1.3,CHW0.0,MIL1.4,TBR-0.7,HOU0.5,CLE0.0,BAL0.0,SDP0.0,COL0.1,PHI0.9,MIL-0.1,SFG0.4,TEX0.2,SDP0.6,MIL0.0,DET-0.2
14,Kansas City Royals1.1,MIL-0.2,SDP1.2,ATL-0.7,MIN0.2,MIN0.0,MIN-0.1,SEA0.0,WSN0.0,TEX0.9,TOR-0.1,SDP0.4,MIL0.0,MIA0.4,STL0.0,ATL-0.2
15,Seattle Mariners1.1,STL-0.3,WSN0.9,CLE-0.8,TEX-0.6,ARI0.0,ATH-0.3,PIT-0.1,KCR0.0,CIN0.8,LAA-0.3,STL0.4,MIA-0.1,STL0.3,MIN-0.1,WSN-0.2
16,St. Louis Cardinals0.8,TBR-0.5,SFG0.7,TOR-0.8,MIL-0.6,NYY-0.1,LAA-0.3,BAL-0.2,DET0.0,PIT0.7,CIN-0.4,DET0.3,SFG-0.2,TOR0.1,CIN-0.2,SFG-0.3
17,Atlanta Braves0.6,ATL-0.7,STL0.6,STL-0.9,WSN-0.9,MIA-0.2,STL-0.5,MIN-0.3,CHC0.0,STL0.6,MIA-0.5,PIT0.2,WSN-0.3,HOU0.0,NYM-0.3,BAL-0.3
18,San Diego Padres0.6,TOR-1.0,ARI0.2,PHI-1.0,SFG-1.0,LAA-0.2,KCR-0.7,MIA-0.3,CHW-0.1,CHC0.5,COL-0.5,NYM0.1,ATL-0.4,ARI0.0,PIT-0.4,SEA-0.3
19,Cincinnati Reds0.4,CLE-1.2,TBR0.2,SEA-1.1,PHI-1.2,ATH-0.3,TEX-0.7,ATL-0.4,NYY-0.1,TOR0.1,BAL-0.5,TEX0.1,TOR-0.4,CIN-0.2,WSN-0.5,ATH-0.3
20,Texas Rangers-0.2,ARI-1.2,ATL0.0,CHC-1.2,SDP-1.7,PIT-0.3,SDP-0.8,PHI-0.4,SEA-0.2,SDP0.0,TBR-0.5,MIL-0.2,CIN-0.4,MIL-0.3,SFG-0.6,TEX-0.3
21,Milwaukee Brewers-0.8,BOS-1.4,TOR-0.2,ARI-1.4,BAL-1.7,HOU-0.4,WSN-1.1,TEX-0.4,STL-0.2,MIN0.0,ATH-0.5,WSN-0.3,BAL-0.4,ATH-0.7,TBR-0.7,LAA-0.3
22,Cleveland Guardians-3.3,SEA-1.6,CLE-0.4,LAD-1.5,CLE-2.1,WSN-0.5,SEA-1.1,CHW-0.5,NYM-0.4,ATL-0.2,PHI-0.6,ATL-0.3,CHW-0.7,BAL-1.2,SDP-0.8,PIT-0.4
23,Pittsburgh Pirates-3.6,CHC-2.1,SEA-0.6,MIL-1.6,ATH-2.2,PHI-0.5,HOU-1.2,HOU-0.6,PIT-0.6,MIA-0.3,PIT-0.8,LAA-0.3,LAA-0.8,LAA-1.4,LAA-0.8,MIL-0.4
24,Washington Nationals-4.2,LAA-2.2,CHC-0.9,PIT-1.7,CIN-2.8,TBR-0.5,SFG-1.4,WSN-0.7,PHI-0.6,BOS-0.7,ARI-0.8,BAL-0.3,STL-1.0,PIT-1.6,TOR-1.0,PHI-0.4
25,Los Angeles Angels-6.2,MIA-2.9,BOS-1.1,CHW-1.8,LAA-4.0,TEX-0.5,PIT-1.5,ATH-0.8,MIL-0.7,DET-0.7,CHW-0.9,ATH-0.7,PIT-1.0,ATL-1.8,CHW-1.0,MIN-0.5
26,Chicago White Sox-6.7,LAD-3.1,LAD-1.5,BAL-2.9,MIA-4.0,SFG-0.7,BOS-1.5,BOS-1.1,MIA-0.8,COL-0.8,HOU-0.9,ARI-0.8,PHI-1.0,PHI-2.4,HOU-1.0,KCR-0.6
27,Miami Marlins-6.9,WSN-3.3,ATH-2.1,TEX-3.1,PIT-4.2,SDP-0.9,CHW-1.5,CIN-1.2,CIN-1.0,CHW-0.8,ATL-1.1,PHI-0.8,SEA-1.1,CLE-2.4,MIA-1.1,CHW-0.6
28,Baltimore Orioles-7.3,COL-5.4,MIA-2.4,LAA-4.0,KCR-5.5,KCR-0.9,MIA-1.6,LAA-1.2,MIN-1.2,SFG-1.0,KCR-1.1,CHW-0.9,COL-1.8,CHW-2.5,COL-1.2,CLE-0.9
29,Athletics-8.6,BAL-5.6,BAL-2.7,WSN-4.2,CHW-6.7,COL-1.0,COL-1.7,KCR-1.5,LAA-1.2,CLE-1.2,LAD-1.3,COL-1.5,CLE-1.9,KCR-2.7,KCR-1.2,SDP-1.0
30,Colorado Rockies-17.0,ATH-6.4,COL-6.0,ATH-4.3,COL-11.6,BAL-1.3,CIN-1.8,COL-2.0,ATH-1.5,MIL-1.6,SDP-1.4,CLE-2.0,KCR-2.0,COL-3.8,TEX-1.2,COL-1.2
AVG,-0.0,0.0,0.8,-0.8,-0.0,0.1,-0.3,-0.1,0.1,0.5,-0.1,0.2,0.0,0.1,-0.1,-0.3
