gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
115,1012,979,509,201,15,158,981,358,9,1001,29,.254,3939,.319,.433,.752,17,63,.788,93,16309,4365,1706,494,788,11,23,.299,1.03,5,24.93,Athletics
115,986,963,406,158,16,81,994,362,14,882,38,.233,3792,.304,.347,.651,27,88,.765,87,16522,4229,1315,394,791,9,24,.292,1.02,4,46.82,Pittsburgh Pirates
114,1031,1088,473,175,16,96,801,365,14,957,35,.251,3812,.320,.381,.701,21,75,.781,72,16273,4279,1452,444,806,33,32,.292,0.95,2,39.71,San Diego Padres
114,931,1045,519,154,6,162,1013,384,17,951,61,.244,3896,.320,.411,.731,26,115,.816,73,17310,4385,1603,498,813,19,25,.287,0.89,0,24.05,Seattle Mariners
115,874,1109,477,174,21,108,968,399,9,884,48,.234,3781,.312,.377,.689,17,50,.746,77,16911,4283,1424,456,774,22,32,.284,0.79,1,35.01,San Francisco Giants
115,901,1163,504,198,4,111,887,356,12,962,55,.249,3870,.318,.388,.706,17,63,.788,82,16730,4327,1501,481,784,13,30,.293,0.77,3,34.86,St. Louis Cardinals
115,979,993,517,173,11,122,971,342,9,977,34,.252,3876,.316,.397,.713,37,148,.800,77,16614,4298,1538,487,742,12,32,.304,0.99,2,31.77,Tampa Bay Rays
115,883,1142,475,172,12,121,960,341,17,890,46,.232,3837,.300,.378,.678,25,101,.802,61,16502,4263,1449,453,746,8,30,.276,0.77,1,31.71,Texas Rangers
115,1050,1129,556,205,8,128,757,384,21,1051,46,.267,3930,.337,.421,.758,18,56,.757,88,16629,4424,1656,532,843,28,29,.300,0.93,7,30.70,Toronto Blue Jays
113,912,1047,471,177,13,131,935,335,5,908,68,.241,3774,.312,.399,.711,22,57,.722,79,16342,4206,1504,450,759,3,25,.284,0.87,1,28.81,Minnesota Twins
114,963,1027,534,183,15,137,912,379,14,980,39,.255,3844,.326,.417,.743,19,94,.832,69,16707,4302,1604,511,793,12,26,.299,0.94,2,28.06,Philadelphia Phillies
112,934,1016,464,167,14,121,975,405,11,920,33,.241,3810,.318,.388,.706,14,51,.785,70,16957,4284,1478,450,835,11,24,.292,0.92,1,31.49,Atlanta Braves
113,866,1106,431,177,9,107,941,356,7,852,29,.229,3719,.299,.368,.667,19,69,.784,74,16140,4155,1368,415,743,17,29,.276,0.78,5,34.76,Chicago White Sox
112,997,1017,480,189,19,109,889,338,11,958,27,.251,3814,.314,.396,.710,32,84,.724,67,15898,4226,1512,461,768,18,29,.298,0.98,0,34.99,Miami Marlins
114,874,1067,584,189,17,181,1002,426,36,970,43,.251,3872,.329,.448,.777,24,82,.774,70,17306,4388,1736,561,805,5,36,.290,0.82,6,21.39,New York Yankees
113,992,1016,565,171,12,112,891,385,12,978,50,.256,3820,.329,.395,.724,41,127,.756,60,16786,4315,1509,527,781,19,38,.303,0.98,3,34.11,Milwaukee Brewers
114,873,987,494,157,12,160,1101,339,17,888,65,.233,3814,.304,.406,.710,23,58,.716,69,16688,4256,1549,477,734,8,27,.282,0.88,3,23.84,Los Angeles Angels
114,974,1088,553,198,27,157,897,399,13,959,53,.249,3850,.325,.437,.762,28,76,.731,81,16811,4372,1682,540,784,22,46,.282,0.90,2,24.52,Arizona Diamondbacks
115,926,1017,492,187,12,139,986,309,9,924,56,.242,3817,.306,.407,.713,27,79,.745,79,16535,4218,1552,466,707,3,33,.288,0.91,0,27.46,Baltimore Orioles
115,956,998,574,237,20,141,1026,366,17,1003,54,.254,3947,.324,.431,.755,26,97,.789,64,17122,4404,1703,551,787,9,28,.307,0.96,0,27.99,Boston Red Sox
113,897,1161,582,193,21,161,885,382,10,981,32,.253,3881,.322,.438,.760,22,121,.846,48,16817,4340,1699,567,779,8,35,.286,0.77,2,24.11,Chicago Cubs
114,922,1018,520,178,14,117,977,381,12,943,42,.247,3823,.320,.392,.712,25,85,.773,76,16656,4283,1500,489,765,8,29,.299,0.91,0,32.68,Cincinnati Reds
113,860,1142,446,169,11,118,922,359,22,848,43,.229,3711,.301,.375,.676,27,86,.761,61,16361,4174,1393,429,732,20,41,.269,0.75,0,31.45,Cleveland Guardians
113,869,978,423,185,29,118,1080,293,5,901,35,.237,3795,.297,.395,.692,29,59,.670,86,15828,4156,1498,412,705,13,20,.299,0.89,0,32.16,Colorado Rockies
115,833,1097,552,178,24,147,1012,347,7,970,49,.250,3874,.317,.423,.740,11,49,.817,63,16772,4311,1637,532,744,5,33,.299,0.76,3,26.35,Detroit Tigers
114,950,1075,493,174,11,125,885,329,9,993,52,.257,3857,.322,.405,.727,23,57,.713,91,16066,4284,1564,471,789,13,33,.301,0.88,0,30.86,Houston Astros
114,950,1212,418,205,19,99,783,276,14,930,44,.243,3821,.300,.385,.685,34,85,.714,62,15838,4197,1470,411,750,24,30,.280,0.78,2,38.60,Kansas City Royals
114,885,1085,590,188,15,169,966,409,22,989,41,.255,3883,.329,.441,.770,18,68,.791,75,17086,4377,1714,570,776,5,37,.294,0.82,2,22.98,Los Angeles Dodgers
112,1083,927,484,182,17,106,878,329,10,918,47,.244,3762,.311,.386,.697,36,95,.725,66,15988,4183,1452,465,716,16,28,.289,1.17,1,35.49,Washington Nationals
