Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,45,28.0,5.09,69,2660,2336,351,595,127,14,100,344,53,15,254,526,.255,.332,.449,.782,117,1050,49,31,12,26,9,478
Athletics,46,26.5,4.30,71,2705,2438,305,621,121,8,86,296,39,8,230,585,.255,.321,.417,.738,106,1016,64,16,4,14,5,497
Atlanta Braves,45,28.5,4.19,68,2591,2314,285,570,96,6,75,274,37,12,233,590,.246,.319,.390,.710,98,903,42,22,7,15,7,501
Baltimore Orioles,46,27.3,3.85,68,2508,2262,262,539,99,9,76,244,50,13,194,597,.238,.304,.391,.695,100,884,55,29,2,21,4,444
Boston Red Sox,40,27.4,4.89,71,2777,2478,347,629,136,9,88,333,62,15,247,659,.254,.328,.423,.750,109,1047,35,33,5,14,15,529
Chicago Cubs,42,28.6,5.43,70,2729,2434,380,623,128,15,96,372,85,15,250,557,.256,.327,.439,.766,119,1069,31,17,6,22,8,496
Chicago White Sox,49,27.3,3.47,70,2556,2279,243,506,108,4,54,233,49,14,231,601,.222,.295,.344,.639,81,784,39,14,10,18,2,473
Cincinnati Reds,43,27.6,4.51,70,2637,2351,316,578,117,7,77,304,59,21,243,618,.246,.320,.400,.720,95,940,41,22,6,15,7,470
Cleveland Guardians,39,27.7,3.93,68,2491,2215,267,516,93,6,71,253,54,16,216,555,.233,.306,.377,.682,92,834,43,27,9,24,10,434
Colorado Rockies,45,27.7,3.30,69,2530,2296,228,517,110,22,60,225,32,16,190,656,.225,.289,.371,.660,78,851,50,23,7,14,5,444
Detroit Tigers,43,26.9,4.87,71,2688,2408,346,609,110,13,83,332,26,6,228,627,.253,.323,.413,.735,107,994,41,28,4,18,7,480
Houston Astros,38,28.6,4.16,69,2553,2301,287,590,103,7,68,274,41,14,196,526,.256,.320,.396,.716,100,911,58,29,8,19,6,472
Kansas City Royals,39,28.3,3.36,70,2584,2356,235,591,113,14,46,231,54,23,167,477,.251,.304,.369,.673,88,870,37,22,15,23,10,492
Los Angeles Angels,48,28.3,4.19,68,2482,2256,285,512,92,7,96,275,33,12,170,664,.227,.288,.402,.690,92,906,41,31,6,17,7,392
Los Angeles Dodgers,46,31.1,5.47,70,2718,2402,383,632,117,12,106,367,42,12,263,578,.263,.339,.454,.793,125,1091,53,24,3,25,15,484
Miami Marlins,42,26.0,4.10,67,2538,2290,275,573,113,8,59,265,53,24,202,544,.250,.313,.384,.697,92,879,40,16,14,16,5,469
Milwaukee Brewers,42,27.0,4.34,71,2658,2353,308,554,94,7,63,285,87,21,242,579,.235,.312,.362,.674,91,851,35,28,15,17,8,482
Minnesota Twins,40,28.6,4.23,69,2584,2320,292,566,111,8,72,280,34,13,205,562,.244,.315,.392,.707,96,909,47,42,1,15,4,472
New York Mets,44,28.8,4.63,70,2674,2338,324,579,118,13,89,315,58,9,260,541,.248,.332,.423,.755,117,990,61,47,3,24,14,512
New York Yankees,34,28.3,5.40,68,2646,2309,367,595,120,11,109,353,52,16,275,595,.258,.341,.461,.802,123,1064,44,31,2,25,18,501
Philadelphia Phillies,37,30.3,4.64,69,2638,2348,320,598,108,10,72,304,62,13,243,545,.255,.329,.401,.730,102,942,42,24,7,16,8,495
Pittsburgh Pirates,43,29.5,3.23,71,2629,2339,229,532,90,13,49,219,68,20,239,620,.227,.305,.340,.645,81,795,64,28,6,14,10,505
San Diego Padres,38,30.2,4.12,68,2530,2261,280,557,96,10,57,257,52,13,214,479,.246,.314,.373,.687,91,844,43,17,17,20,6,458
Seattle Mariners,45,28.8,4.38,68,2631,2332,298,569,91,4,89,289,66,19,243,604,.244,.322,.401,.723,111,935,41,33,10,13,5,506
San Francisco Giants,36,28.8,4.29,70,2609,2302,300,537,105,11,68,286,42,15,249,593,.233,.312,.377,.689,99,868,45,23,12,22,5,463
St. Louis Cardinals,36,27.1,4.54,70,2659,2373,318,605,124,4,63,303,39,13,223,546,.255,.326,.390,.716,101,926,52,35,8,20,10,495
Tampa Bay Rays,37,27.5,4.46,69,2564,2309,308,570,107,3,73,293,97,20,208,579,.247,.312,.391,.703,100,902,44,21,4,20,3,440
Texas Rangers,40,29.3,3.69,70,2515,2282,258,520,87,6,76,251,62,17,187,562,.228,.291,.371,.662,91,847,34,24,3,18,4,428
Toronto Blue Jays,42,28.1,4.29,69,2621,2329,296,595,119,3,70,285,38,11,228,469,.255,.325,.399,.724,102,930,53,22,16,22,12,500
Washington Nationals,35,26.1,4.22,69,2539,2291,291,551,112,10,66,277,57,23,188,530,.241,.306,.385,.691,97,881,42,35,10,14,2,418
League Average,40,28.1,4.32,69,2608,2330,299,571,109,9,75,287,53,15,224,572,.245,.316,.396,.712,100,924,46,26,8,19,8,474
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
,1209,28.1,4.32,2080,78244,69902,8984,17129,3265,274,2257,8619,1583,459,6718,17164,.245,.316,.396,.712,100,27713,1366,794,232,561,231,14230
