gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
150,1301,1292,694,275,16,211,1288,472,14,1313,41,.255,5144,.321,.438,.759,26,76,.745,.255,113,21412,5712,2253,673,1025,17,33,.300,1.01,5,24.38,Athletics
151,1308,1263,540,224,20,107,1319,501,19,1152,49,.230,4998,.305,.348,.653,34,111,.766,.234,116,21877,5596,1737,519,1053,13,31,.290,1.04,4,46.71,Pittsburgh Pirates
150,1343,1432,641,242,18,135,1065,478,16,1262,55,.252,5015,.321,.388,.709,27,99,.786,.214,99,21780,5637,1945,604,1052,45,42,.292,0.94,2,37.15,San Diego Padres
150,1198,1388,705,215,8,216,1329,509,26,1242,80,.244,5099,.320,.416,.736,36,149,.805,.195,94,22594,5748,2121,676,1044,23,35,.286,0.86,2,23.61,Seattle Mariners
150,1154,1445,652,222,26,161,1275,508,12,1179,62,.237,4984,.312,.388,.700,21,65,.756,.244,98,22105,5624,1936,622,997,22,47,.283,0.80,1,30.96,San Francisco Giants
151,1187,1481,648,241,8,140,1220,446,15,1243,84,.245,5073,.314,.378,.692,23,84,.785,.215,106,21943,5665,1920,616,1019,20,38,.294,0.80,4,36.24,St. Louis Cardinals
150,1300,1260,668,224,16,171,1291,428,9,1271,44,.251,5065,.312,.403,.715,46,183,.799,.201,100,21694,5596,2040,636,954,16,41,.302,1.03,2,29.62,Tampa Bay Rays
151,1205,1485,646,232,15,165,1226,462,18,1205,59,.238,5072,.306,.387,.693,29,126,.813,.187,87,21960,5645,1962,622,1005,10,39,.280,0.81,3,30.74,Texas Rangers
150,1332,1473,751,277,10,178,1018,485,25,1379,63,.269,5126,.337,.431,.768,23,74,.763,.237,123,21705,5758,2210,725,1058,32,44,.302,0.90,8,28.80,Toronto Blue Jays
150,1217,1410,639,231,19,179,1244,466,9,1208,86,.240,5038,.313,.400,.713,29,99,.773,.227,96,21965,5632,2014,607,1024,8,33,.282,0.86,1,28.14,Minnesota Twins
