Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,39,27.9,4.98,56,2165,1904,279,484,110,11,77,272,49,11,202,423,.254,.331,.445,.776,114,847,37,27,8,23,7,398
Athletics,43,26.6,4.20,56,2128,1925,235,490,91,7,69,226,27,7,176,440,.255,.319,.417,.735,105,802,54,10,3,11,5,388
Atlanta Braves,41,28.5,4.08,53,2008,1797,216,442,74,6,56,207,33,9,178,450,.246,.318,.387,.705,97,696,34,16,6,11,4,388
Baltimore Orioles,44,27.5,3.87,55,2043,1844,213,437,80,7,60,200,38,13,157,493,.237,.303,.386,.689,101,711,42,25,2,15,3,364
Boston Red Sox,39,27.5,4.74,58,2253,2016,275,509,106,8,71,263,54,13,197,522,.252,.325,.419,.743,108,844,27,24,5,11,12,427
Chicago Cubs,41,28.6,5.89,56,2207,1956,330,512,105,13,79,322,72,12,212,441,.262,.335,.450,.785,123,880,25,14,6,19,7,399
Chicago White Sox,44,27.1,3.50,56,2042,1826,196,404,83,2,46,190,45,9,181,470,.221,.294,.344,.638,83,629,30,12,6,14,1,375
Cincinnati Reds,41,27.6,4.63,57,2158,1924,264,478,100,7,58,252,54,19,199,508,.248,.323,.398,.722,95,766,32,20,3,12,5,385
Cleveland Guardians,37,27.7,4.05,55,2019,1795,223,419,79,5,57,211,39,14,173,443,.233,.305,.378,.683,94,679,30,21,8,22,7,347
Colorado Rockies,41,27.8,3.16,56,2041,1851,177,404,84,15,46,175,27,13,155,549,.218,.283,.354,.638,71,656,37,17,7,11,5,356
Detroit Tigers,38,26.9,5.05,57,2163,1925,288,485,90,8,65,275,20,5,190,510,.252,.325,.408,.733,109,786,34,26,4,16,5,384
Houston Astros,36,28.7,4.18,55,2046,1829,230,467,77,6,54,219,25,13,167,417,.255,.324,.393,.717,104,718,44,27,8,15,6,389
Kansas City Royals,36,28.5,3.30,57,2096,1905,188,469,97,11,33,185,47,20,136,398,.246,.301,.361,.661,87,687,25,21,13,20,8,401
Los Angeles Angels,44,28.2,4.07,55,2000,1820,224,408,78,6,79,217,24,8,136,542,.224,.284,.404,.688,94,735,31,23,5,14,6,313
Los Angeles Dodgers,43,31.2,5.61,56,2168,1909,314,503,93,9,87,301,38,11,216,464,.263,.341,.458,.800,126,875,43,20,3,19,11,376
Miami Marlins,39,26.1,4.24,54,2056,1853,229,466,89,8,51,219,46,18,165,446,.251,.315,.391,.706,92,724,32,14,11,13,5,383
Milwaukee Brewers,41,27.0,4.32,57,2141,1890,246,438,76,5,48,225,74,17,199,464,.232,.311,.353,.664,86,668,27,24,14,13,8,393
Minnesota Twins,39,28.6,3.93,55,2021,1823,216,431,86,7,51,206,29,11,150,449,.236,.305,.375,.680,91,684,36,34,1,12,4,363
New York Mets,41,28.8,4.34,56,2124,1854,243,455,96,12,58,234,42,8,207,432,.245,.329,.404,.733,110,749,47,36,3,22,12,409
New York Yankees,34,28.1,5.55,55,2147,1868,305,484,103,10,88,293,39,12,225,486,.259,.343,.466,.809,129,871,34,26,1,24,16,408
Philadelphia Phillies,32,30.4,4.85,54,2091,1850,262,480,85,8,58,248,52,10,204,427,.259,.336,.408,.744,107,755,35,18,4,15,6,403
Pittsburgh Pirates,42,29.5,3.21,57,2130,1893,183,428,69,10,40,177,56,13,200,490,.226,.306,.337,.642,80,637,53,21,5,9,10,416
San Diego Padres,37,30.4,4.31,54,2015,1804,233,457,79,7,52,213,41,11,169,379,.253,.319,.391,.711,99,706,34,13,12,16,6,365
Seattle Mariners,44,28.9,4.57,54,2087,1829,247,435,68,3,73,238,49,16,210,481,.238,.324,.398,.722,114,728,31,29,8,11,3,396
San Francisco Giants,30,28.8,4.32,56,2078,1845,242,427,84,8,55,231,26,12,195,473,.231,.309,.375,.684,96,692,36,16,9,12,4,363
St. Louis Cardinals,34,27.1,4.80,56,2138,1906,269,500,106,4,52,255,35,11,183,436,.262,.333,.404,.737,106,770,43,26,6,17,9,397
Tampa Bay Rays,35,27.5,4.11,55,2028,1832,226,448,80,3,53,217,76,15,164,452,.245,.309,.378,.687,98,693,38,13,1,16,0,357
Texas Rangers,39,29.5,3.25,57,2016,1835,185,402,67,5,57,180,50,13,145,459,.219,.281,.354,.635,84,650,27,19,2,14,3,344
Toronto Blue Jays,40,28.2,3.80,55,2076,1838,209,448,90,2,47,200,33,9,186,398,.244,.317,.372,.689,96,683,41,20,13,17,10,406
Washington Nationals,34,26.2,4.27,55,2027,1821,235,438,89,8,57,222,53,17,158,429,.241,.308,.392,.700,99,714,33,26,10,12,1,338
League Average,38,28.2,4.31,56,2090,1866,239,455,87,7,59,229,43,12,181,459,.244,.316,.394,.709,100,734,36,21,6,15,6,381
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
,1144,28.2,4.31,1668,62712,55967,7182,13648,2614,221,1777,6873,1293,370,5435,13771,.244,.316,.394,.709,100,22035,1072,638,187,456,189,11431
