gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
110,959,942,477,186,15,147,947,343,9,939,28,.250,3757,.316,.425,.741,17,59,.776,88,15595,4163,1596,462,747,9,21,.295,1.02,5,25.56,Athletics
108,921,924,367,149,16,72,937,332,14,826,33,.231,3576,.300,.342,.642,26,85,.766,81,15476,3977,1223,355,744,9,23,.291,1.00,4,49.67,Pittsburgh Pirates
108,968,1036,440,168,13,91,759,339,14,902,31,.250,3604,.318,.380,.698,19,72,.791,70,15367,4036,1369,412,753,32,29,.291,0.93,1,39.60,San Diego Padres
108,884,991,488,148,5,149,959,364,17,908,60,.245,3699,.321,.409,.730,26,104,.800,71,16421,4166,1513,470,779,18,25,.290,0.89,0,24.83,Seattle Mariners
108,826,1045,442,166,19,101,911,377,9,826,46,.232,3557,.311,.375,.686,17,48,.738,74,15942,4032,1333,422,727,19,32,.281,0.79,1,35.22,San Francisco Giants
109,856,1106,483,195,4,105,831,342,12,919,53,.250,3672,.321,.391,.712,16,61,.792,78,15886,4109,1437,461,749,13,27,.295,0.77,2,34.97,St. Louis Cardinals
108,911,939,497,162,11,117,900,331,9,927,33,.255,3638,.320,.402,.722,35,140,.800,76,15607,4043,1462,467,697,10,29,.306,0.97,2,31.09,Tampa Bay Rays
108,821,1079,446,156,11,115,897,323,15,834,44,.232,3594,.301,.378,.679,23,99,.811,57,15444,3999,1357,426,702,7,30,.275,0.76,1,31.25,Texas Rangers
110,996,1063,511,194,7,116,725,367,21,979,43,.264,3708,.335,.414,.749,17,54,.761,83,15722,4180,1535,487,802,26,29,.298,0.94,7,31.97,Toronto Blue Jays
107,855,1002,450,168,12,124,880,318,5,865,64,.242,3575,.313,.400,.713,20,55,.733,74,15528,3985,1429,431,723,2,25,.285,0.85,1,28.83,Minnesota Twins
107,924,973,501,173,14,125,854,369,13,927,38,.255,3641,.328,.413,.741,19,91,.827,65,15879,4087,1503,478,764,12,25,.298,0.95,2,29.13,Philadelphia Phillies
106,885,954,443,159,13,117,918,383,11,874,32,.243,3599,.319,.392,.711,14,49,.778,67,16025,4047,1410,430,785,10,22,.293,0.93,1,30.76,Atlanta Braves
108,823,1055,407,171,9,95,911,345,7,803,28,.226,3547,.298,.360,.658,18,66,.786,67,15457,3970,1277,391,714,17,28,.276,0.78,5,37.34,Chicago White Sox
106,951,966,451,181,18,98,834,315,11,915,26,.253,3620,.315,.394,.709,31,81,.723,66,15000,4007,1426,433,732,18,28,.301,0.98,0,36.94,Miami Marlins
107,820,998,552,181,15,170,939,405,34,917,43,.252,3634,.331,.451,.782,24,71,.747,66,16255,4127,1638,529,765,4,36,.292,0.82,5,21.38,New York Yankees
107,940,952,514,159,11,102,850,363,12,903,46,.251,3592,.325,.387,.712,39,121,.756,56,15774,4057,1390,480,736,19,34,.300,0.99,3,35.22,Milwaukee Brewers
108,830,935,472,150,12,154,1046,323,15,847,62,.234,3624,.305,.409,.714,23,53,.697,65,15886,4046,1483,456,703,8,26,.283,0.89,3,23.53,Los Angeles Angels
108,922,1028,526,189,26,148,855,376,12,908,51,.249,3649,.324,.437,.761,23,71,.755,74,15891,4142,1593,514,744,22,42,.283,0.90,2,24.66,Arizona Diamondbacks
109,876,969,474,180,12,134,924,297,9,887,54,.245,3621,.309,.412,.721,25,77,.755,78,15706,4007,1493,448,677,3,32,.290,0.90,0,27.02,Baltimore Orioles
109,904,945,532,222,20,133,984,350,17,943,50,.252,3745,.322,.428,.750,25,93,.788,59,16231,4177,1604,510,751,7,25,.305,0.96,0,28.16,Boston Red Sox
107,844,1112,560,182,20,156,831,367,10,940,30,.255,3688,.325,.442,.767,22,121,.846,47,16000,4126,1630,545,743,7,32,.287,0.76,2,23.64,Chicago Cubs
108,884,952,491,170,13,111,923,364,11,888,42,.246,3613,.320,.392,.712,25,80,.762,75,15788,4053,1417,460,722,8,26,.298,0.93,0,32.55,Cincinnati Reds
107,807,1080,419,160,11,113,877,348,20,797,37,.228,3502,.301,.376,.677,26,83,.761,61,15508,3946,1318,403,689,20,39,.268,0.75,0,30.99,Cleveland Guardians
107,830,917,388,170,28,108,1030,277,5,838,33,.234,3582,.293,.387,.680,28,55,.663,82,14917,3925,1388,377,666,13,20,.296,0.91,0,33.17,Colorado Rockies
109,781,1052,525,172,21,136,959,341,7,916,49,.250,3670,.319,.419,.738,10,47,.825,59,16014,4101,1538,505,717,5,33,.299,0.74,3,26.98,Detroit Tigers
108,899,1005,464,164,10,117,851,314,9,936,50,.257,3646,.322,.403,.725,22,56,.718,87,15256,4055,1471,442,750,13,32,.302,0.89,0,31.16,Houston Astros
108,899,1146,392,192,18,92,737,262,14,887,41,.245,3620,.301,.384,.685,33,81,.711,59,14956,3974,1391,386,716,22,27,.282,0.78,2,39.35,Kansas City Royals
108,837,1034,566,176,15,162,912,393,21,939,39,.255,3684,.330,.443,.773,18,63,.778,70,16218,4156,1631,546,738,5,33,.294,0.81,2,22.74,Los Angeles Dodgers
107,1045,875,462,175,16,104,838,310,10,879,44,.245,3595,.310,.389,.699,36,95,.725,62,15199,3992,1398,443,682,16,26,.289,1.19,1,34.57,Washington Nationals
108,926,979,473,172,16,135,865,376,24,869,60,.242,3595,.321,.411,.732,10,87,.897,85,16063,4077,1478,460,766,9,35,.279,0.95,2,26.63,New York Mets
