gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
120,1049,1028,532,211,16,163,1027,377,9,1043,30,.254,4109,.319,.432,.751,20,64,.762,95,17079,4559,1775,517,824,11,27,.299,1.02,5,25.21,Athletics
119,1028,1005,426,165,17,83,1034,381,15,923,38,.233,3955,.305,.347,.652,27,90,.769,90,17265,4413,1371,412,830,9,26,.293,1.02,4,47.65,Pittsburgh Pirates
118,1066,1130,489,180,16,99,827,387,15,988,38,.251,3943,.321,.380,.701,22,80,.784,73,16935,4438,1497,460,845,35,33,.291,0.94,2,39.83,San Diego Padres
119,967,1085,547,156,6,171,1062,408,19,987,64,.243,4054,.321,.411,.732,28,125,.817,74,18080,4574,1668,524,849,21,26,.287,0.89,1,23.71,Seattle Mariners
118,906,1147,488,178,22,112,999,407,9,911,49,.233,3907,.311,.376,.687,17,51,.750,79,17452,4420,1469,467,798,22,34,.282,0.79,1,34.88,San Francisco Giants
119,928,1195,518,204,4,113,927,364,13,998,56,.249,4001,.319,.387,.706,17,66,.795,84,17312,4471,1549,494,812,16,31,.296,0.78,3,35.41,St. Louis Cardinals
119,1010,1028,531,177,13,131,1011,350,9,1003,34,.250,4008,.314,.399,.713,38,149,.797,78,17187,4438,1599,501,760,12,32,.301,0.98,2,30.60,Tampa Bay Rays
119,916,1178,482,176,12,123,995,354,17,922,46,.232,3972,.300,.375,.675,27,101,.789,64,17073,4413,1491,460,781,8,31,.277,0.78,2,32.29,Texas Rangers
119,1079,1162,583,218,9,137,798,398,21,1099,48,.269,4079,.339,.428,.767,18,56,.757,92,17239,4591,1746,559,875,28,31,.303,0.93,7,29.77,Toronto Blue Jays
117,950,1088,494,183,14,138,963,346,6,948,70,.242,3921,.313,.401,.714,22,57,.722,82,16949,4366,1573,472,788,3,25,.285,0.87,1,28.41,Minnesota Twins
117,993,1063,551,192,16,141,946,395,14,1013,42,.255,3975,.327,.418,.745,21,98,.824,72,17294,4454,1660,528,823,13,27,.299,0.93,2,28.19,Philadelphia Phillies
118,976,1071,499,173,14,133,1025,423,12,969,36,.242,4004,.318,.392,.710,14,57,.803,73,17794,4501,1569,482,867,12,25,.291,0.91,1,30.10,Atlanta Braves
118,903,1159,452,183,9,116,989,376,8,892,32,.229,3896,.300,.370,.670,19,74,.796,76,16926,4356,1441,435,787,17,30,.275,0.78,5,33.59,Chicago White Sox
118,1054,1075,505,196,20,113,930,356,11,1011,28,.251,4021,.315,.394,.709,32,97,.752,70,16794,4454,1586,486,812,19,30,.299,0.98,0,35.58,Miami Marlins
