gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
131,1142,1133,588,234,16,179,1119,417,13,1133,34,.253,4483,.319,.432,.751,22,67,.753,.247,103,18715,4983,1936,571,898,13,31,.297,1.01,5,25.04,Athletics
131,1123,1098,463,190,18,93,1127,416,17,1009,41,.234,4318,.305,.351,.656,29,98,.772,.228,99,18873,4818,1514,447,907,11,28,.293,1.02,4,46.43,Pittsburgh Pirates
130,1183,1233,546,210,16,110,903,422,16,1089,46,.252,4330,.322,.384,.706,26,87,.770,.230,82,18737,4878,1661,511,919,40,38,.292,0.96,2,39.36,San Diego Padres
130,1048,1186,586,177,7,184,1170,434,19,1066,68,.241,4422,.317,.409,.726,30,131,.814,.186,78,19663,4973,1809,562,913,21,27,.285,0.88,1,24.03,Seattle Mariners
130,988,1262,526,195,24,127,1118,441,9,996,53,.231,4307,.308,.376,.684,18,59,.766,.234,84,19192,4859,1620,500,878,22,35,.281,0.78,1,33.91,San Francisco Giants
130,1025,1295,571,218,5,124,1018,394,14,1093,62,.250,4380,.318,.387,.705,18,77,.811,.189,94,18904,4890,1693,543,884,18,33,.296,0.79,3,35.32,St. Louis Cardinals
129,1105,1103,577,193,13,143,1106,376,9,1095,42,.251,4362,.314,.400,.714,42,167,.799,.201,81,18718,4829,1743,546,836,12,35,.302,1.00,2,30.50,Tampa Bay Rays
131,1023,1307,541,199,12,140,1069,391,18,1025,53,.234,4384,.302,.380,.682,28,109,.796,.204,71,18908,4870,1668,519,861,8,32,.276,0.78,2,31.31,Texas Rangers
130,1183,1265,637,234,9,153,871,426,22,1187,56,.267,4444,.337,.427,.764,18,62,.775,.225,106,18789,4995,1898,613,934,30,32,.300,0.94,7,29.05,Toronto Blue Jays
129,1046,1206,537,199,16,150,1070,388,8,1027,75,.238,4318,.310,.396,.706,25,66,.725,.275,87,18737,4813,1708,512,865,5,26,.281,0.87,1,28.79,Minnesota Twins
129,1096,1176,614,215,17,160,1032,422,14,1131,49,.258,4391,.327,.424,.751,23,108,.824,.176,77,19002,4909,1860,589,903,14,30,.301,0.93,3,27.44,Philadelphia Phillies
129,1083,1161,566,196,14,144,1114,461,13,1072,40,.244,4389,.320,.394,.714,18,64,.780,.220,76,19493,4932,1728,546,940,13,28,.294,0.93,1,30.48,Atlanta Braves
129,991,1261,504,195,9,128,1075,413,8,991,33,.232,4268,.303,.372,.675,20,77,.794,.206,86,18516,4769,1588,487,857,19,31,.279,0.79,5,33.34,Chicago White Sox
129,1162,1176,557,213,23,126,1019,390,12,1100,37,.250,4407,.314,.394,.708,34,106,.757,.243,76,18351,4884,1737,533,890,19,31,.296,0.99,0,34.98,Miami Marlins
129,988,1209,659,205,19,211,1132,496,38,1093,43,.250,4375,.329,.450,.779,28,102,.785,.215,83,19606,4967,1969,634,909,7,40,.287,0.82,6,20.74,New York Yankees
130,1153,1160,663,206,14,137,1023,453,14,1133,60,.257,4407,.332,.403,.735,46,138,.750,.250,72,19480,4986,1778,615,908,23,39,.303,0.99,4,32.17,Milwaukee Brewers
129,976,1111,561,177,14,182,1264,393,19,996,74,.231,4307,.305,.406,.711,25,61,.709,.291,75,18970,4818,1747,543,832,10,30,.282,0.88,4,23.66,Los Angeles Angels
130,1098,1238,644,225,32,182,1036,442,15,1108,65,.252,4403,.326,.441,.767,30,94,.758,.242,88,19163,4990,1943,629,890,27,50,.286,0.89,3,24.19,Arizona Diamondbacks
129,1066,1144,564,208,16,156,1118,364,10,1046,63,.241,4335,.307,.405,.712,30,89,.748,.252,87,18736,4801,1754,533,814,3,36,.287,0.93,0,27.79,Baltimore Orioles
