gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
157,1353,1359,714,285,16,214,1357,486,14,1362,43,.253,5378,.318,.432,.750,28,79,.738,.262,114,22394,5965,2321,690,1070,18,35,.299,1.00,5,25.13,Athletics
157,1351,1321,565,236,21,113,1371,515,19,1203,52,.231,5201,.305,.350,.655,34,112,.767,.233,119,22772,5817,1820,544,1093,13,32,.291,1.02,4,46.03,Pittsburgh Pirates
158,1413,1512,677,248,18,146,1124,496,17,1333,57,.252,5291,.320,.388,.708,29,105,.784,.216,103,22869,5937,2055,638,1101,47,44,.292,0.93,2,36.24,San Diego Padres
157,1256,1445,745,226,9,231,1391,529,26,1300,85,.244,5331,.320,.420,.740,37,153,.805,.195,102,23616,6008,2237,714,1078,23,37,.285,0.87,2,23.08,Seattle Mariners
158,1223,1515,687,233,26,167,1354,540,13,1232,64,.235,5252,.311,.384,.695,22,68,.756,.244,103,23332,5929,2018,655,1047,22,50,.282,0.81,1,31.45,San Francisco Giants
158,1249,1539,682,259,8,146,1274,469,17,1306,88,.246,5304,.316,.381,.697,26,87,.770,.230,113,22952,5930,2019,646,1068,25,39,.296,0.81,5,36.33,St. Louis Cardinals
157,1362,1318,696,235,16,177,1346,452,10,1326,46,.250,5294,.313,.401,.714,48,188,.797,.203,104,22722,5852,2124,663,1002,16,42,.301,1.03,2,29.91,Tampa Bay Rays
157,1252,1555,663,237,15,171,1277,478,18,1242,60,.235,5276,.304,.383,.687,31,132,.810,.190,91,22849,5867,2022,639,1042,10,40,.277,0.81,3,30.85,Texas Rangers
157,1395,1552,769,285,11,182,1060,505,25,1421,63,.266,5349,.334,.425,.759,24,74,.755,.245,129,22663,6004,2274,743,1097,34,45,.298,0.90,8,29.39,Toronto Blue Jays
157,1272,1464,665,243,19,184,1314,487,10,1259,88,.239,5267,.312,.397,.709,31,111,.782,.218,102,22959,5885,2092,630,1065,8,34,.283,0.87,1,28.62,Minnesota Twins
157,1320,1420,761,265,24,202,1280,519,19,1390,60,.260,5355,.330,.431,.761,30,122,.803,.197,93,23276,5992,2309,736,1103,15,40,.304,0.93,3,26.51,Philadelphia Phillies
159,1333,1447,713,238,18,184,1334,560,14,1325,51,.246,5388,.321,.399,.720,24,80,.769,.231,96,23995,6051,2151,691,1135,15,36,.292,0.92,1,29.28,Atlanta Braves
157,1195,1538,620,235,10,157,1318,488,8,1208,47,.232,5205,.302,.372,.674,21,82,.796,.204,107,22562,5799,1934,599,1029,21,33,.279,0.78,5,33.15,Chicago White Sox
157,1433,1448,698,268,27,153,1214,470,13,1358,49,.252,5390,.315,.397,.712,41,132,.763,.237,92,22369,5972,2139,666,1087,19,44,.296,0.99,0,35.23,Miami Marlins
157,1171,1453,819,250,19,263,1420,616,45,1331,53,.250,5315,.331,.453,.784,36,133,.787,.213,103,24021,6053,2408,790,1095,7,53,.290,0.81,9,20.21,New York Yankees
158,1403,1428,794,256,18,163,1229,549,15,1396,69,.259,5381,.333,.405,.738,52,160,.755,.245,93,23892,6078,2177,738,1126,25,50,.305,0.98,4,33.01,Milwaukee Brewers
157,1155,1347,659,207,17,219,1584,471,22,1179,87,.226,5217,.299,.398,.697,26,86,.768,.232,95,23081,5830,2077,636,993,13,35,.278,0.86,7,23.82,Los Angeles Angels
157,1331,1477,778,269,37,210,1262,523,19,1339,80,.252,5311,.325,.435,.760,38,117,.755,.245,105,23233,6015,2312,757,1069,36,62,.289,0.90,3,25.29,Arizona Diamondbacks
157,1280,1372,662,248,18,183,1406,464,14,1246,72,.237,5259,.305,.395,.700,35,118,.771,.229,99,22941,5840,2079,629,1011,4,41,.286,0.93,0,28.74,Baltimore Orioles
157,1323,1380,769,314,23,182,1373,507,24,1374,71,.255,5398,.324,.422,.746,38,137,.783,.217,94,23432,6029,2280,731,1095,13,40,.307,0.96,0,29.66,Boston Red Sox
