gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
100,886,846,431,166,14,132,852,317,9,852,23,.250,3411,.316,.423,.739,15,56,.789,86,14191,3781,1442,417,678,7,18,.294,1.05,5,25.84,Athletics
99,844,848,331,131,15,66,858,308,13,754,30,.230,3275,.300,.340,.640,25,81,.764,77,14204,3646,1113,320,681,8,21,.290,1.00,4,49.62,Pittsburgh Pirates
98,871,943,392,140,12,84,689,317,14,798,26,.246,3245,.315,.374,.689,18,67,.788,63,13897,3645,1214,367,676,27,29,.285,0.92,1,38.63,San Diego Padres
98,806,903,464,140,5,138,865,340,17,840,55,.249,3372,.326,.416,.742,25,87,.777,62,14994,3809,1404,446,715,18,24,.293,0.89,0,24.44,Seattle Mariners
100,755,959,403,148,17,91,845,342,9,749,40,.230,3260,.308,.369,.677,17,45,.726,68,14544,3691,1204,383,659,19,29,.280,0.79,1,35.82,San Francisco Giants
99,767,1011,448,170,4,99,768,307,12,843,47,.252,3351,.321,.393,.714,15,55,.786,68,14510,3744,1318,427,680,12,26,.296,0.76,1,33.85,St. Louis Cardinals
100,840,869,464,153,9,109,815,294,8,864,29,.258,3350,.321,.407,.728,33,127,.794,66,14298,3713,1362,437,634,10,28,.308,0.97,2,30.73,Tampa Bay Rays
99,764,996,399,143,9,104,817,295,11,763,40,.231,3306,.299,.374,.673,21,93,.816,53,14178,3676,1236,383,653,6,28,.273,0.77,1,31.79,Texas Rangers
99,894,955,451,168,4,103,656,328,20,863,39,.260,3317,.331,.406,.737,16,52,.765,76,14105,3742,1348,432,708,23,28,.294,0.94,7,32.20,Toronto Blue Jays
98,789,916,412,155,10,114,806,280,5,789,57,.241,3278,.310,.398,.708,18,48,.727,62,14156,3638,1306,397,652,2,20,.284,0.86,1,28.75,Minnesota Twins
98,836,895,452,157,13,107,780,341,10,849,37,.255,3327,.329,.407,.736,18,85,.825,58,14567,3738,1353,430,707,10,23,.301,0.93,0,31.09,Philadelphia Phillies
97,828,860,404,141,10,108,835,332,10,803,29,.244,3295,.317,.391,.708,13,45,.776,60,14557,3688,1288,391,707,10,21,.293,0.96,1,30.51,Atlanta Braves
99,751,958,352,156,9,78,845,329,7,718,26,.222,3229,.297,.349,.646,18,63,.778,62,14187,3632,1126,337,668,17,26,.274,0.78,5,41.40,Chicago White Sox
97,875,876,419,164,16,90,771,288,10,842,23,.254,3320,.315,.394,.709,28,75,.728,59,13775,3675,1308,403,669,17,27,.302,1.00,0,36.89,Miami Marlins
98,753,907,516,175,14,155,860,382,32,855,37,.256,3337,.336,.456,.792,24,63,.724,65,15024,3799,1523,495,710,4,34,.297,0.83,5,21.53,New York Yankees
98,862,873,467,140,10,96,776,335,11,818,43,.249,3282,.324,.386,.710,36,114,.760,51,14434,3710,1266,436,671,18,29,.296,0.99,3,34.19,Milwaukee Brewers
98,757,846,429,135,11,145,951,284,15,770,51,.234,3293,.303,.414,.717,20,44,.688,60,14335,3662,1362,415,624,8,23,.282,0.89,3,22.71,Los Angeles Angels
99,849,938,510,178,23,143,780,353,12,848,48,.253,3356,.329,.447,.776,21,68,.764,67,14666,3818,1501,498,680,20,39,.285,0.91,2,23.47,Arizona Diamondbacks
98,787,868,399,155,11,113,848,267,9,780,45,.240,3254,.304,.398,.702,22,71,.763,68,14128,3595,1296,377,617,3,26,.288,0.91,0,28.80,Baltimore Orioles
100,824,873,492,202,16,122,895,324,17,876,44,.255,3440,.325,.429,.754,22,85,.794,55,14864,3837,1476,471,694,7,22,.308,0.94,0,28.20,Boston Red Sox
98,774,1027,522,168,20,148,755,336,10,866,25,.256,3385,.325,.448,.773,19,110,.853,39,14685,3785,1518,511,680,7,30,.286,0.75,2,22.87,Chicago Cubs
99,812,862,454,160,13,107,859,326,10,816,36,.246,3317,.318,.399,.717,23,72,.758,65,14498,3711,1323,429,651,7,25,.298,0.94,0,31.00,Cincinnati Reds
97,737,975,363,139,10,101,800,305,17,702,31,.222,3163,.294,.368,.662,25,78,.757,55,13957,3550,1164,348,606,17,34,.262,0.76,0,31.32,Cleveland Guardians
98,754,844,352,158,28,95,951,255,5,766,32,.233,3286,.293,.385,.678,24,55,.696,75,13701,3602,1265,343,616,11,18,.297,0.89,0,34.59,Colorado Rockies
99,722,952,483,153,20,125,863,325,7,832,47,.250,3331,.322,.420,.742,9,42,.824,54,14644,3744,1400,464,663,5,33,.298,0.76,3,26.65,Detroit Tigers
98,806,916,425,145,10,110,774,289,9,852,44,.258,3308,.323,.407,.730,20,51,.718,79,13840,3681,1347,406,682,11,29,.302,0.88,0,30.07,Houston Astros
99,809,1058,336,172,16,76,682,233,13,808,38,.244,3313,.299,.374,.673,33,73,.689,53,13704,3630,1240,332,665,20,24,.284,0.76,2,43.59,Kansas City Royals
