gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
142,1239,1216,648,261,16,193,1224,451,14,1234,36,.254,4866,.320,.433,.753,25,69,.734,.266,111,20248,5405,2106,628,969,15,32,.299,1.02,5,25.21,Athletics
142,1223,1187,519,214,18,102,1235,464,19,1101,47,.234,4702,.307,.352,.659,32,105,.766,.234,110,20552,5261,1657,499,988,13,31,.294,1.03,4,46.10,Pittsburgh Pirates
141,1279,1332,592,228,16,122,997,452,16,1180,51,.251,4705,.321,.384,.705,27,91,.771,.229,94,20390,5293,1806,556,991,44,39,.292,0.96,2,38.57,San Diego Padres
141,1120,1301,639,189,7,200,1256,468,20,1151,74,.241,4777,.317,.409,.726,34,136,.800,.200,87,21160,5371,1954,614,970,22,29,.284,0.86,1,23.88,Seattle Mariners
141,1078,1362,613,209,26,152,1202,476,9,1126,59,.239,4703,.315,.392,.707,20,63,.759,.241,92,20858,5304,1843,584,953,22,43,.287,0.79,1,30.94,San Francisco Giants
142,1103,1415,615,229,7,136,1128,422,15,1171,71,.246,4762,.314,.383,.697,21,77,.786,.214,98,20549,5314,1822,586,948,19,36,.293,0.78,4,35.02,St. Louis Cardinals
141,1220,1194,641,214,15,158,1201,405,9,1202,44,.252,4763,.314,.403,.717,44,176,.800,.200,91,20374,5268,1920,609,900,13,41,.303,1.02,2,30.15,Tampa Bay Rays
142,1123,1408,610,219,14,158,1159,432,18,1137,56,.238,4781,.306,.389,.695,29,120,.805,.195,79,20723,5317,1858,588,946,8,38,.280,0.80,2,30.26,Texas Rangers
141,1261,1374,711,257,9,174,956,461,24,1302,62,.270,4823,.339,.435,.774,20,71,.780,.220,117,20467,5423,2099,685,1000,31,39,.302,0.92,7,27.72,Toronto Blue Jays
141,1143,1326,593,216,18,165,1165,435,8,1129,79,.239,4727,.312,.397,.709,28,85,.752,.248,89,20597,5278,1876,564,956,6,30,.281,0.86,1,28.65,Minnesota Twins
141,1188,1283,674,231,22,176,1141,463,15,1242,53,.258,4807,.328,.425,.753,24,114,.826,.174,84,20849,5373,2045,649,991,14,33,.303,0.93,3,27.31,Philadelphia Phillies
141,1178,1270,622,214,16,158,1223,502,14,1172,46,.244,4799,.320,.394,.714,21,72,.774,.226,83,21303,5392,1892,601,1022,15,29,.294,0.93,1,30.37,Atlanta Braves
142,1082,1408,576,220,9,147,1180,443,8,1117,40,.236,4734,.305,.379,.684,21,80,.792,.208,93,20483,5275,1796,556,945,20,33,.282,0.77,5,32.20,Chicago White Sox
141,1283,1276,609,235,26,133,1110,421,12,1202,43,.250,4816,.313,.392,.705,36,112,.757,.243,86,20074,5335,1888,578,971,19,36,.296,1.01,0,36.21,Miami Marlins
141,1059,1338,742,225,19,242,1246,552,39,1197,46,.250,4787,.331,.457,.788,29,112,.794,.206,89,21537,5446,2186,715,989,7,46,.286,0.79,8,19.78,New York Yankees
142,1255,1281,722,230,16,152,1110,491,14,1250,62,.259,4830,.332,.407,.739,48,147,.754,.246,80,21376,5453,1968,670,999,24,42,.304,0.98,4,31.78,Milwaukee Brewers
141,1050,1224,600,193,14,195,1392,436,19,1067,78,.227,4691,.302,.399,.701,25,73,.745,.255,84,20740,5251,1873,579,902,10,32,.278,0.86,4,24.06,Los Angeles Angels
142,1186,1346,702,241,34,197,1149,475,16,1200,69,.250,4799,.323,.438,.761,31,103,.769,.231,96,20910,5428,2100,685,953,27,55,.286,0.88,3,24.36,Arizona Diamondbacks
141,1160,1240,614,229,17,171,1240,405,11,1146,68,.241,4746,.308,.405,.713,33,100,.752,.248,92,20591,5259,1922,581,902,3,37,.289,0.94,0,27.75,Baltimore Orioles
142,1183,1244,701,286,22,169,1253,459,21,1239,67,.254,4873,.325,.426,.751,35,119,.773,.227,81,21137,5446,2076,669,982,11,36,.307,0.95,0,28.83,Boston Red Sox
141,1118,1449,699,234,25,193,1089,479,13,1196,41,.249,4795,.320,.429,.749,30,141,.825,.175,61,20740,5374,2059,683,963,9,48,.282,0.77,2,24.84,Chicago Cubs
141,1152,1253,638,231,21,138,1227,460,14,1182,47,.248,4762,.318,.392,.710,28,92,.767,.233,91,20656,5321,1869,602,957,12,40,.304,0.92,0,34.51,Cincinnati Reds
140,1057,1418,547,199,14,146,1158,423,26,1028,55,.224,4590,.294,.369,.663,30,108,.783,.217,69,20124,5139,1693,527,878,23,47,.265,0.75,0,31.44,Cleveland Guardians
141,1100,1222,533,229,35,140,1311,351,5,1140,43,.241,4729,.298,.393,.691,35,74,.679,.321,107,19566,5168,1859,519,871,16,28,.302,0.90,1,33.78,Colorado Rockies
142,1032,1345,685,219,33,178,1253,444,9,1198,60,.251,4781,.320,.422,.742,15,58,.795,.205,81,20971,5337,2017,656,922,5,42,.301,0.77,5,26.86,Detroit Tigers
142,1196,1321,596,217,11,157,1127,421,15,1214,59,.253,4807,.318,.400,.718,25,71,.740,.260,113,20030,5339,1924,568,991,15,36,.297,0.91,1,30.62,Houston Astros
141,1165,1494,539,245,20,137,954,369,18,1148,59,.244,4696,.305,.393,.698,41,99,.707,.293,87,19735,5192,1844,529,924,28,37,.278,0.78,3,34.28,Kansas City Royals
141,1086,1339,711,222,17,206,1193,519,26,1196,48,.251,4761,.328,.435,.763,23,78,.772,.228,98,21218,5383,2070,683,957,8,45,.291,0.81,2,23.11,Los Angeles Dodgers
140,1297,1163,593,230,24,131,1132,400,10,1137,52,.243,4678,.308,.386,.694,41,119,.744,.256,89,19877,5183,1808,570,874,18,33,.292,1.12,2,35.71,Washington Nationals
141,1236,1259,679,233,19,194,1122,501,25,1195,80,.252,4750,.330,.431,.761,15,127,.894,.106,110,21118,5395,2048,663,1007,13,49,.287,0.98,2,24.48,New York Mets
