gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
109,950,935,471,183,15,145,939,340,9,931,27,.250,3726,.316,.424,.740,17,59,.776,88,15471,4127,1579,456,741,8,21,.295,1.02,5,25.70,Athletics
107,916,913,364,148,16,71,926,331,14,814,33,.230,3537,.300,.341,.641,26,85,.766,81,15329,3937,1207,352,734,9,23,.290,1.00,4,49.82,Pittsburgh Pirates
107,959,1027,433,166,12,90,754,336,14,893,31,.250,3573,.317,.379,.696,18,72,.800,70,15220,4001,1353,405,749,31,29,.291,0.93,1,39.70,San Diego Padres
107,877,982,487,147,5,149,948,360,17,902,60,.246,3666,.322,.411,.733,26,103,.798,71,16266,4129,1506,469,770,18,25,.290,0.89,0,24.60,Seattle Mariners
107,818,1032,441,165,19,100,907,373,9,824,46,.233,3530,.312,.376,.688,17,47,.734,73,15822,4001,1327,421,724,19,32,.283,0.79,1,35.30,San Francisco Giants
108,851,1098,483,195,4,105,821,337,12,915,51,.251,3645,.321,.393,.714,16,59,.787,76,15733,4075,1433,461,742,13,27,.295,0.78,2,34.71,St. Louis Cardinals
107,900,932,492,161,9,116,890,328,9,920,33,.255,3603,.321,.402,.723,35,139,.799,75,15460,4005,1447,462,691,10,29,.306,0.97,2,31.06,Tampa Bay Rays
107,817,1066,441,156,11,113,889,323,15,820,43,.231,3555,.300,.376,.676,23,99,.811,56,15288,3959,1337,422,694,7,30,.274,0.77,1,31.46,Texas Rangers
108,974,1048,505,192,7,114,713,360,21,959,42,.263,3641,.334,.414,.748,16,53,.768,80,15446,4103,1507,481,785,24,29,.297,0.93,7,31.94,Toronto Blue Jays
106,850,989,445,168,12,122,870,316,5,855,63,.242,3537,.313,.399,.712,20,55,.733,74,15375,3944,1413,426,714,2,25,.285,0.86,1,28.99,Minnesota Twins
106,915,961,495,169,14,123,849,366,13,918,38,.254,3608,.328,.411,.739,19,91,.827,64,15751,4049,1484,472,759,12,23,.299,0.95,2,29.33,Philadelphia Phillies
105,877,943,437,156,12,115,911,378,11,860,32,.242,3559,.318,.389,.707,14,49,.778,66,15860,4002,1385,424,773,10,22,.292,0.93,1,30.95,Atlanta Braves
