gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
79,710,676,335,131,9,98,655,253,5,681,18,.252,2703,.319,.416,.735,10,43,.811,72,11211,2996,1124,324,548,4,15,.297,1.05,3,27.58,Athletics
78,670,669,249,93,13,53,678,257,11,578,29,.225,2571,.301,.333,.634,22,71,.763,68,11287,2884,856,239,547,8,16,.283,1.00,3,48.51,Pittsburgh Pirates
76,685,722,322,114,11,65,536,239,8,634,21,.250,2534,.317,.381,.698,15,55,.786,53,10829,2838,965,298,511,18,25,.291,0.95,1,38.98,San Diego Padres
75,608,686,333,105,4,96,668,270,7,627,39,.245,2562,.324,.401,.725,20,76,.792,45,11508,2898,1028,321,556,11,16,.293,0.89,0,26.69,Seattle Mariners
77,590,738,323,111,12,73,648,278,6,583,28,.231,2523,.312,.371,.683,16,42,.724,51,11337,2866,937,305,514,14,22,.280,0.80,1,34.56,San Francisco Giants
77,612,762,365,133,4,74,609,251,12,673,43,.256,2625,.329,.395,.724,14,42,.750,56,11435,2951,1036,345,549,9,22,.305,0.80,1,35.47,St. Louis Cardinals
78,643,668,368,123,6,83,650,241,3,664,27,.256,2598,.323,.403,.726,23,102,.816,51,11270,2895,1048,349,500,7,20,.308,0.96,2,31.30,Tampa Bay Rays
77,572,774,279,107,8,78,624,213,6,577,29,.229,2524,.294,.370,.664,18,63,.778,39,10735,2790,934,267,493,3,20,.271,0.74,1,32.36,Texas Rangers
76,685,746,328,131,3,79,514,242,13,656,29,.256,2561,.325,.402,.727,12,38,.760,59,10795,2877,1030,315,543,16,24,.290,0.92,5,32.42,Toronto Blue Jays
76,622,700,320,121,8,82,629,227,4,614,47,.241,2548,.313,.391,.704,14,36,.720,50,11156,2840,997,308,518,1,16,.287,0.89,1,31.07,Minnesota Twins
77,655,717,362,122,11,81,599,271,9,674,30,.257,2622,.332,.405,.737,15,65,.813,47,11468,2946,1061,345,554,7,16,.303,0.91,0,32.37,Philadelphia Phillies
75,643,667,316,105,7,80,634,261,9,623,22,.245,2543,.319,.386,.705,12,39,.765,47,11256,2850,982,303,548,7,17,.294,0.96,0,31.79,Atlanta Braves
77,589,735,268,117,7,60,671,251,4,557,16,.221,2521,.293,.344,.637,15,55,.786,44,11055,2823,868,256,520,11,20,.275,0.80,4,42.02,Chicago White Sox
75,677,673,301,121,10,65,602,225,5,640,18,.250,2558,.313,.382,.695,25,58,.699,46,10622,2835,976,289,530,14,20,.301,1.01,0,39.35,Miami Marlins
77,607,674,392,131,12,118,675,302,21,661,32,.256,2586,.338,.452,.790,20,54,.730,52,11669,2955,1170,378,561,3,28,.298,0.90,4,21.92,New York Yankees
77,670,681,353,112,8,69,633,266,10,623,31,.243,2567,.319,.373,.692,25,94,.790,38,11342,2907,958,328,527,17,23,.293,0.98,3,37.20,Milwaukee Brewers
76,583,664,314,99,8,110,740,192,9,570,40,.225,2533,.288,.401,.689,14,35,.714,43,10909,2792,1015,303,454,7,17,.271,0.88,3,23.03,Los Angeles Angels
76,654,719,394,138,17,110,589,277,9,661,35,.256,2580,.333,.451,.784,17,57,.770,52,11338,2936,1163,386,524,13,30,.288,0.91,1,23.46,Arizona Diamondbacks
77,608,677,304,109,9,88,674,214,6,609,36,.239,2545,.305,.393,.698,16,55,.775,60,11168,2818,1000,285,490,2,21,.289,0.90,0,28.92,Baltimore Orioles
78,641,681,367,145,11,94,722,264,15,668,36,.248,2692,.322,.415,.737,15,65,.813,43,11745,3013,1117,350,562,6,15,.304,0.94,0,28.64,Boston Red Sox
76,598,788,411,137,15,109,602,268,9,667,21,.254,2626,.325,.442,.767,15,90,.857,34,11534,2944,1161,403,527,6,23,.288,0.76,0,24.09,Chicago Cubs
77,631,669,356,128,9,85,672,268,7,637,24,.247,2584,.321,.402,.723,23,62,.729,46,11308,2901,1038,341,514,6,19,.299,0.94,0,30.40,Cincinnati Reds
75,574,728,283,107,7,75,616,230,11,562,27,.230,2446,.300,.371,.671,17,60,.779,46,10755,2737,908,268,475,9,25,.274,0.79,0,32.61,Cleveland Guardians
77,582,675,272,123,25,76,755,207,5,587,29,.228,2575,.291,.384,.675,19,38,.667,57,10791,2835,988,267,485,8,16,.290,0.86,0,33.88,Colorado Rockies
79,583,742,383,127,14,94,687,254,7,665,33,.251,2649,.322,.416,.738,6,27,.818,44,11490,2967,1102,369,528,4,24,.302,0.79,3,28.18,Detroit Tigers
77,639,711,325,111,7,81,599,225,7,661,35,.256,2581,.322,.399,.721,18,43,.705,66,10758,2870,1029,310,531,9,20,.302,0.90,0,31.86,Houston Astros
77,621,844,260,126,15,55,524,184,12,639,25,.247,2587,.301,.371,.672,26,61,.701,38,10691,2838,960,256,532,18,23,.288,0.74,1,47.04,Kansas City Royals
78,609,750,429,132,13,120,634,295,17,701,29,.263,2662,.340,.458,.798,13,44,.772,58,11853,3019,1219,411,540,3,29,.300,0.81,1,22.18,Los Angeles Dodgers
77,780,623,322,126,10,80,573,216,4,614,38,.240,2560,.307,.391,.698,26,64,.711,49,10798,2845,1000,306,474,14,16,.278,1.25,1,32.00,Washington Nationals
