gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
148,1283,1279,676,271,16,204,1273,464,14,1291,39,.254,5078,.320,.434,.754,25,72,.742,.258,113,21086,5634,2206,656,1013,15,33,.299,1.00,5,24.89,Athletics
148,1272,1240,532,222,19,106,1297,482,19,1137,47,.232,4902,.305,.350,.655,33,109,.768,.232,114,21428,5479,1715,512,1025,13,31,.292,1.03,4,46.24,Pittsburgh Pirates
148,1335,1399,621,239,18,130,1058,472,16,1237,54,.250,4943,.320,.385,.705,27,98,.784,.216,98,21468,5557,1902,584,1040,45,41,.292,0.95,2,38.02,San Diego Padres
148,1186,1373,689,205,8,214,1310,501,26,1220,79,.242,5032,.319,.414,.733,36,147,.803,.197,92,22302,5671,2083,660,1031,23,34,.284,0.86,2,23.51,Seattle Mariners
147,1137,1408,642,218,26,160,1249,494,12,1164,61,.238,4890,.313,.391,.704,21,64,.753,.247,97,21649,5514,1914,612,978,22,46,.285,0.81,1,30.56,San Francisco Giants
148,1157,1457,631,234,8,138,1194,436,15,1215,78,.245,4967,.313,.378,.691,22,80,.784,.216,103,21461,5541,1879,601,995,20,36,.293,0.79,4,35.99,St. Louis Cardinals
147,1269,1246,659,219,15,167,1252,420,9,1244,44,.251,4955,.313,.402,.715,46,181,.797,.203,99,21235,5477,1994,627,929,15,41,.301,1.02,2,29.67,Tampa Bay Rays
148,1174,1460,638,227,15,164,1204,455,18,1176,57,.237,4968,.306,.387,.693,29,123,.809,.191,82,21558,5528,1925,614,979,8,38,.278,0.80,2,30.29,Texas Rangers
147,1305,1443,733,269,10,176,995,481,25,1348,63,.269,5018,.338,.431,.769,23,73,.760,.240,119,21285,5642,2165,707,1041,31,42,.301,0.90,7,28.51,Toronto Blue Jays
147,1191,1378,626,226,19,176,1222,457,9,1182,84,.240,4933,.313,.400,.713,28,92,.767,.233,93,21479,5515,1974,595,1000,7,33,.282,0.86,1,28.03,Minnesota Twins
148,1244,1333,717,250,24,186,1200,485,15,1317,60,.261,5044,.331,.431,.762,26,117,.818,.182,89,21899,5642,2173,692,1043,14,36,.306,0.93,3,27.12,Philadelphia Phillies
147,1228,1342,636,220,16,164,1259,510,14,1207,47,.242,4989,.316,.391,.707,23,73,.760,.240,85,22096,5594,1951,615,1051,15,32,.290,0.92,1,30.42,Atlanta Braves
148,1132,1454,597,228,10,150,1236,461,8,1155,44,.235,4924,.304,.376,.680,21,82,.796,.204,98,21323,5487,1853,577,980,20,33,.281,0.78,5,32.83,Chicago White Sox
148,1349,1342,649,248,26,142,1151,445,12,1264,46,.250,5049,.315,.394,.709,38,118,.756,.244,89,21022,5597,1990,618,1016,19,38,.296,1.01,0,35.56,Miami Marlins
147,1101,1379,765,231,19,250,1310,573,40,1240,47,.249,4975,.330,.454,.784,31,122,.797,.203,94,22428,5659,2259,738,1026,7,48,.286,0.80,9,19.90,New York Yankees
148,1315,1329,751,240,16,158,1149,509,14,1311,64,.260,5037,.333,.408,.741,50,153,.754,.246,89,22289,5681,2057,696,1039,24,43,.306,0.99,4,31.88,Milwaukee Brewers
