gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
94,839,792,396,154,11,118,797,302,5,795,23,.249,3198,.316,.414,.730,12,49,.803,85,13324,3551,1325,383,641,7,18,.294,1.06,3,27.10,Athletics
94,804,793,319,123,14,64,821,296,12,712,30,.230,3101,.301,.340,.641,24,77,.762,77,13533,3460,1055,309,642,8,21,.290,1.01,4,48.45,Pittsburgh Pirates
92,824,883,369,131,12,78,649,296,12,745,24,.244,3054,.313,.371,.684,16,61,.792,59,13084,3422,1134,344,629,20,27,.283,0.93,1,39.15,San Diego Padres
92,752,850,411,129,4,124,812,310,15,778,50,.247,3155,.322,.408,.730,23,81,.779,59,13923,3552,1287,398,674,15,22,.292,0.88,0,25.44,Seattle Mariners
94,719,903,388,143,15,86,796,328,8,713,40,.231,3086,.311,.371,.682,17,45,.726,63,13839,3500,1144,368,628,18,27,.281,0.80,1,35.88,San Francisco Giants
93,726,943,420,159,4,93,723,290,12,791,46,.251,3149,.321,.393,.714,15,47,.758,66,13620,3520,1237,400,640,9,25,.296,0.77,1,33.86,St. Louis Cardinals
93,772,825,441,146,9,103,767,275,8,819,28,.260,3146,.323,.411,.734,31,120,.795,65,13462,3488,1292,419,594,10,27,.311,0.94,2,30.54,Tampa Bay Rays
93,718,950,366,133,8,96,750,276,11,713,38,.230,3099,.299,.371,.670,20,86,.811,51,13252,3446,1150,352,616,5,27,.271,0.76,1,32.28,Texas Rangers
93,851,910,427,156,4,98,616,313,20,816,34,.259,3146,.330,.405,.735,15,47,.758,69,13360,3547,1274,409,673,21,26,.292,0.94,7,32.10,Toronto Blue Jays
92,747,852,386,145,8,106,761,265,5,739,55,.240,3078,.310,.396,.706,18,48,.727,58,13340,3420,1218,371,616,2,19,.284,0.88,1,29.04,Minnesota Twins
93,796,848,430,147,13,100,737,321,10,813,35,.257,3162,.330,.407,.737,18,82,.820,55,13818,3550,1286,410,673,10,22,.304,0.94,0,31.62,Philadelphia Phillies
91,777,804,367,127,9,98,779,313,10,748,27,.243,3081,.316,.385,.701,13,43,.768,58,13600,3449,1187,354,668,7,20,.292,0.97,1,31.44,Atlanta Braves
93,706,892,318,142,9,71,794,301,4,672,25,.222,3027,.296,.345,.641,18,59,.766,55,13250,3395,1045,303,631,14,23,.275,0.79,5,42.63,Chicago White Sox
91,817,821,389,153,15,81,730,272,7,789,21,.253,3115,.315,.390,.705,27,72,.727,54,12946,3450,1215,373,633,16,26,.304,1.00,0,38.46,Miami Marlins
92,711,839,481,163,14,145,814,363,29,808,36,.257,3138,.338,.457,.795,23,63,.733,60,14148,3576,1434,461,682,4,30,.300,0.85,5,21.64,New York Yankees
93,816,829,435,131,9,89,745,319,10,768,39,.247,3112,.322,.380,.702,32,108,.771,48,13701,3519,1184,404,639,18,28,.294,0.98,3,34.97,Milwaukee Brewers
92,712,798,397,123,10,134,895,260,14,708,50,.230,3084,.298,.406,.704,19,41,.683,55,13371,3426,1253,383,577,8,21,.276,0.89,3,23.02,Los Angeles Angels
93,796,879,475,162,20,137,740,333,10,789,46,.251,3149,.328,.445,.773,20,65,.765,60,13815,3584,1402,465,637,18,37,.282,0.91,1,22.98,Arizona Diamondbacks
91,729,804,377,140,10,108,798,254,9,723,43,.239,3027,.305,.399,.704,20,62,.756,65,13210,3351,1207,356,574,3,24,.287,0.91,0,28.03,Baltimore Orioles
94,770,822,477,191,16,120,856,306,17,839,43,.257,3259,.327,.436,.763,21,78,.788,52,14092,3637,1422,457,660,7,22,.312,0.94,0,27.16,Boston Red Sox
92,727,959,495,158,19,137,715,322,10,812,24,.256,3178,.326,.447,.773,18,106,.855,38,13868,3560,1419,484,638,7,28,.287,0.76,1,23.20,Chicago Cubs
93,769,805,425,150,11,99,811,305,7,761,29,.244,3115,.315,.395,.710,23,67,.744,60,13602,3480,1230,403,602,7,24,.297,0.96,0,31.46,Cincinnati Reds
91,693,909,333,128,8,92,744,281,16,665,29,.224,2967,.295,.366,.661,22,71,.763,53,12991,3321,1085,318,572,15,29,.265,0.76,0,32.25,Cleveland Guardians
93,721,803,328,150,26,88,899,242,5,717,32,.230,3113,.291,.380,.671,24,52,.684,72,12999,3414,1183,320,581,9,18,.293,0.90,0,35.38,Colorado Rockies
94,685,908,468,150,19,121,815,306,7,801,44,.252,3174,.324,.426,.750,8,35,.814,50,13900,3562,1352,449,631,5,30,.300,0.75,3,26.23,Detroit Tigers
93,767,868,409,140,10,105,722,271,8,815,42,.260,3136,.325,.411,.736,20,47,.701,74,13080,3485,1290,390,643,9,27,.304,0.88,0,29.87,Houston Astros
