Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,46,28.0,5.08,71,2731,2401,361,607,127,15,102,354,54,15,260,552,.253,.330,.446,.776,115,1070,49,31,12,26,9,487
Athletics,46,26.5,4.27,73,2778,2505,312,636,125,8,90,303,41,9,236,599,.254,.320,.418,.738,106,1047,65,16,4,14,5,509
Atlanta Braves,45,28.5,4.14,70,2657,2375,290,583,96,6,76,279,37,12,238,604,.245,.318,.387,.705,97,919,45,22,7,15,7,511
Baltimore Orioles,47,27.3,3.99,70,2583,2331,279,562,104,9,81,260,51,14,199,617,.241,.306,.398,.704,102,927,57,30,2,21,5,454
Boston Red Sox,40,27.4,4.84,73,2841,2533,353,642,141,10,89,338,62,15,253,675,.253,.328,.422,.750,109,1070,40,34,6,15,15,539
Chicago Cubs,42,28.6,5.35,72,2796,2497,385,635,130,15,97,377,90,15,253,571,.254,.324,.435,.759,118,1086,31,17,6,23,9,507
Chicago White Sox,51,27.3,3.44,72,2635,2353,248,523,111,4,55,238,51,15,235,628,.222,.295,.343,.638,81,807,40,14,10,19,3,489
Cincinnati Reds,43,27.6,4.65,72,2721,2424,335,601,120,7,82,322,59,22,251,630,.248,.322,.405,.727,96,981,44,22,6,18,7,481
Cleveland Guardians,39,27.7,3.86,70,2558,2278,270,528,95,6,72,255,56,16,220,570,.232,.304,.374,.678,91,851,46,27,9,24,10,444
Colorado Rockies,46,27.7,3.37,71,2605,2362,239,530,112,23,61,235,32,16,196,691,.224,.289,.369,.658,77,871,51,25,7,15,5,454
Detroit Tigers,43,26.8,4.81,73,2762,2474,351,622,116,13,85,337,27,6,234,640,.251,.321,.412,.733,107,1019,41,29,4,18,7,495
Houston Astros,40,28.7,4.11,71,2622,2361,292,598,103,7,69,279,43,14,202,544,.253,.318,.391,.708,99,922,59,30,9,20,6,482
Kansas City Royals,39,28.3,3.29,72,2652,2420,237,604,116,14,46,233,56,24,168,496,.250,.302,.366,.668,88,886,37,24,16,23,10,504
Los Angeles Angels,49,28.3,4.17,70,2556,2321,292,525,94,7,100,281,33,13,177,682,.226,.288,.402,.690,93,933,42,33,6,17,7,405
Los Angeles Dodgers,46,31.1,5.54,72,2795,2465,399,651,120,12,112,383,42,12,275,588,.264,.340,.459,.799,126,1131,55,24,3,27,16,497
Miami Marlins,43,26.0,4.09,69,2618,2364,282,595,115,8,61,271,54,24,206,558,.252,.314,.385,.698,92,909,41,16,14,18,5,488
Milwaukee Brewers,43,27.0,4.33,73,2734,2419,316,572,98,8,65,292,89,21,248,603,.236,.313,.364,.677,92,881,36,30,16,18,8,499
Minnesota Twins,40,28.6,4.15,71,2655,2387,295,577,112,8,74,283,36,13,207,591,.242,.312,.388,.700,95,927,48,44,1,15,4,484
New York Mets,44,28.8,4.56,72,2750,2405,328,595,119,13,91,319,59,9,268,554,.247,.332,.421,.753,116,1013,64,48,3,24,14,530
New York Yankees,34,28.3,5.29,70,2714,2371,370,606,123,11,109,356,52,18,281,614,.256,.339,.455,.794,121,1078,47,31,2,25,18,512
Philadelphia Phillies,37,30.3,4.70,71,2716,2414,334,620,110,10,75,318,63,14,253,557,.257,.332,.404,.736,104,975,44,26,7,16,9,511
Pittsburgh Pirates,43,29.4,3.18,73,2697,2402,232,541,90,13,50,222,68,21,244,632,.225,.302,.336,.638,78,807,66,28,6,14,10,514
San Diego Padres,38,30.2,4.21,70,2613,2336,295,581,103,10,60,272,53,14,221,496,.249,.316,.378,.694,94,884,45,17,17,21,7,472
Seattle Mariners,45,28.8,4.40,70,2707,2391,308,581,93,4,90,298,71,20,254,618,.243,.323,.398,.722,111,952,41,37,11,14,7,522
San Francisco Giants,37,28.8,4.29,72,2686,2369,309,550,108,12,70,294,42,15,257,609,.232,.311,.377,.688,99,892,46,25,12,22,6,477
St. Louis Cardinals,36,27.1,4.56,72,2737,2444,328,624,125,4,66,312,39,13,228,562,.255,.326,.391,.717,101,955,54,37,8,20,10,509
Tampa Bay Rays,37,27.5,4.58,71,2650,2380,325,591,111,4,75,308,97,22,220,598,.248,.316,.393,.708,102,935,45,23,5,20,3,455
Texas Rangers,40,29.3,3.68,72,2604,2356,265,539,97,6,76,256,62,17,200,579,.229,.294,.372,.666,93,876,36,25,3,19,6,456
Toronto Blue Jays,43,28.1,4.25,71,2690,2394,302,608,121,3,70,290,38,11,230,486,.254,.322,.395,.717,100,945,54,23,16,23,12,509
Washington Nationals,36,26.2,4.15,71,2615,2355,295,564,116,10,66,280,58,23,198,539,.239,.307,.381,.688,96,898,46,37,10,14,3,436
League Average,41,28.1,4.31,71,2683,2396,308,586,112,9,77,295,54,16,230,589,.245,.316,.396,.712,100,948,47,28,8,19,8,488
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
,1218,28.1,4.31,2140,80478,71887,9227,17591,3351,280,2315,8845,1615,473,6912,17683,.245,.316,.396,.712,100,28447,1415,825,238,578,243,14632
