gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,team
124,1080,1065,554,218,16,169,1058,386,9,1075,32,.254,4237,.319,.432,.751,21,65,.756,.244,98,17613,4701,1832,537,842,12,29,.298,1.01,5,25.07,Athletics
123,1066,1044,435,170,17,87,1062,390,15,948,39,.232,4085,.303,.346,.649,27,93,.775,.225,93,17813,4553,1413,421,853,9,26,.291,1.02,4,46.95,Pittsburgh Pirates
122,1116,1165,511,191,16,104,845,401,15,1026,40,.251,4081,.322,.383,.705,22,81,.786,.214,78,17566,4595,1561,479,872,36,35,.291,0.96,2,39.24,San Diego Padres
123,996,1133,565,166,7,174,1089,417,19,1023,66,.244,4193,.320,.411,.731,29,129,.816,.184,76,18652,4725,1725,542,874,21,27,.287,0.88,1,24.10,Seattle Mariners
122,933,1189,497,184,23,114,1037,413,9,940,51,.233,4042,.309,.374,.683,17,54,.761,.239,79,18014,4564,1512,476,825,22,35,.282,0.78,1,35.46,San Francisco Giants
123,956,1236,529,211,4,115,955,376,13,1028,58,.249,4128,.318,.386,.704,17,72,.809,.191,90,17840,4612,1592,504,837,16,31,.296,0.77,3,35.90,St. Louis Cardinals
123,1041,1064,553,186,13,137,1050,359,9,1044,37,.251,4152,.314,.401,.715,40,157,.797,.203,78,17842,4597,1667,522,789,12,35,.302,0.98,2,30.31,Tampa Bay Rays
123,944,1232,500,184,12,128,1022,369,18,949,47,.231,4107,.300,.375,.675,27,107,.799,.201,67,17698,4565,1541,478,807,8,32,.275,0.77,2,32.09,Texas Rangers
123,1113,1199,597,222,9,141,823,405,21,1124,50,.268,4198,.337,.426,.763,18,57,.760,.240,95,17729,4721,1787,573,892,30,31,.301,0.93,7,29.77,Toronto Blue Jays
122,994,1138,504,190,14,141,1007,361,7,969,72,.238,4079,.309,.395,.704,22,60,.732,.268,84,17662,4542,1610,482,815,4,25,.280,0.87,1,28.93,Minnesota Twins
