game_pk,home_total_ip,away_total_ip,home_total_hits,away_total_hits,home_total_hits_per_ip,away_total_hits_per_ip,home_total_earned_runs,away_total_earned_runs,home_total_earned_runs_per_ip,away_total_earned_runs_per_ip,home_total_walks,away_total_walks,home_total_walks_per_ip,away_total_walks_per_ip,home_total_strikeouts,away_total_strikeouts,home_total_strikeouts_per_ip,away_total_strikeouts_per_ip,home_total_homeruns,away_total_homeruns,home_total_homeruns_per_ip,away_total_homeruns_per_ip,home_era,away_era,home_whip,away_whip,home_k_per_9,away_k_per_9,home_k_bb_ratio,away_k_bb_ratio,home_hr_per_9,away_hr_per_9,home_bb_per_9,away_bb_per_9,home_bp_era_rolling_5,away_bp_era_rolling_5,home_bp_era_rolling_10,away_bp_era_rolling_10,home_bp_whip_rolling_5,away_bp_whip_rolling_5,home_bp_whip_rolling_10,away_bp_whip_rolling_10,home_bp_k_per_9_rolling_5,away_bp_k_per_9_rolling_5,home_bp_k_per_9_rolling_10,away_bp_k_per_9_rolling_10,home_bp_k_bb_ratio_rolling_5,away_bp_k_bb_ratio_rolling_5,home_bp_k_bb_ratio_rolling_10,away_bp_k_bb_ratio_rolling_10,home_bp_hr_per_9_rolling_10,away_bp_hr_per_9_rolling_10,home_bp_bb_per_9_rolling_5,away_bp_bb_per_9_rolling_5
5057787,4.3,3.0,5,1,1.15,0.33,3,0,0.69,0.0,2,2,0.46,0.67,5,2,1.15,0.67,2,0,0.46,0.0,6.23,0.0,1.62,1.0,10.38,6.0,2.5,1.0,4.15,0.0,4.15,6.0,6.230817160132,0.0,6.230817160132,0.0,1.6153970415157035,1.0,1.6153970415157035,1.0,10.384695266886668,6.0,10.384695266886668,6.0,2.5,1.0,2.5,1.0,4.153878106754667,0.0,4.153878106754667,6.0
5057788,3.7,4.0,7,2,1.91,0.5,3,1,0.82,0.25,2,0,0.55,0.0,4,7,1.09,1.75,1,1,0.27,0.25,7.36,2.25,2.45,0.5,9.82,15.75,2.0,0.0,2.45,2.25,4.91,0.0,7.363569422096162,2.25,7.363569422096162,2.25,2.4545231406987207,0.5,2.4545231406987207,0.5,9.818092562794885,15.75,9.818092562794885,15.75,2.0,,2.0,,2.4545231406987207,2.25,4.909046281397441,0.0
5057789,6.0,3.0,5,2,0.83,0.67,2,1,0.33,0.33,1,3,0.17,1.0,6,1,1.0,0.33,1,1,0.17,0.33,3.0,3.0,1.0,1.67,9.0,3.0,6.0,0.33,1.5,3.0,1.5,9.0,3.0,3.0,3.0,3.0,1.0,1.6666666666666667,1.0,1.6666666666666667,9.0,3.0,9.0,3.0,6.0,0.3333333333333333,6.0,0.3333333333333333,1.5,3.0,1.5,9.0
5057790,3.0,4.0,1,5,0.33,1.25,0,4,0.0,1.0,0,3,0.0,0.75,2,2,0.67,0.5,0,1,0.0,0.25,0.0,9.0,0.33,2.0,6.0,4.5,0.0,0.67,0.0,2.25,0.0,6.75,0.0,9.0,0.0,9.0,0.3333333333333333,2.0,0.3333333333333333,2.0,6.0,4.5,6.0,4.5,,0.6666666666666666,,0.6666666666666666,0.0,2.25,0.0,6.75
5057791,4.0,3.0,10,10,2.5,3.33,6,8,1.5,2.67,4,1,1.0,0.33,3,1,0.75,0.33,0,1,0.0,0.33,13.5,24.0,3.5,3.67,6.75,3.0,0.75,1.0,0.0,3.0,9.0,3.0,13.5,24.0,13.5,24.0,3.5,3.6666666666666665,3.5,3.6666666666666665,6.75,3.0,6.75,3.0,0.75,1.0,0.75,1.0,0.0,3.0,9.0,3.0
5057792,5.3,5.3,5,5,0.94,0.94,2,1,0.38,0.19,1,3,0.19,0.56,5,4,0.94,0.75,2,0,0.38,0.0,3.38,1.69,1.13,1.5,8.44,6.75,5.0,1.33,3.38,0.0,1.69,5.06,3.3750210938818364,1.6875105469409182,3.3750210938818364,1.6875105469409182,1.1250070312939455,1.500009375058594,1.1250070312939455,1.500009375058594,8.43755273470459,6.750042187763673,8.43755273470459,6.750042187763673,5.0,1.3333333333333333,5.0,1.3333333333333333,3.3750210938818364,0.0,1.6875105469409182,5.062531640822755
5057793,3.0,3.7,2,4,0.67,1.09,1,1,0.33,0.27,2,1,0.67,0.27,5,0,1.67,0.0,1,0,0.33,0.0,3.0,2.45,1.33,1.36,15.0,0.0,2.5,0.0,3.0,0.0,6.0,2.45,3.0,2.4545231406987207,3.0,2.4545231406987207,1.3333333333333333,1.363623967054845,1.3333333333333333,1.363623967054845,15.0,0.0,15.0,0.0,2.5,0.0,2.5,0.0,3.0,0.0,6.0,2.4545231406987207
5057794,2.0,2.7,2,4,1.0,1.5,1,2,0.5,0.75,0,1,0.0,0.37,4,1,2.0,0.37,0,0,0.0,0.0,4.5,6.75,1.0,1.87,18.0,3.37,0.0,1.0,0.0,0.0,0.0,3.37,4.5,6.749915626054674,4.5,6.749915626054674,1.0,1.874976562792965,1.0,1.874976562792965,18.0,3.374957813027337,18.0,3.374957813027337,,1.0,,1.0,0.0,0.0,0.0,3.374957813027337
5057795,3.0,3.3,5,2,1.67,0.6,3,0,1.0,0.0,1,1,0.33,0.3,1,3,0.33,0.9,1,0,0.33,0.0,9.0,0.0,2.0,0.9,3.0,8.1,1.0,3.0,3.0,0.0,3.0,2.7,9.0,0.0,9.0,0.0,2.0,0.900009000090001,2.0,0.900009000090001,3.0,8.100081000810007,3.0,8.100081000810007,1.0,3.0,1.0,3.0,3.0,0.0,3.0,2.700027000270002
5057796,3.0,3.0,5,1,1.67,0.33,3,0,1.0,0.0,2,1,0.67,0.33,3,4,1.0,1.33,0,0,0.0,0.0,9.0,0.0,2.33,0.67,9.0,12.0,1.5,4.0,0.0,0.0,6.0,3.0,9.0,0.0,9.0,0.0,2.333333333333333,0.6666666666666666,2.333333333333333,0.6666666666666666,9.0,12.0,9.0,12.0,1.5,4.0,1.5,4.0,0.0,0.0,6.0,3.0
