game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_league_name,away_league_name,home_league_short_name,away_league_short_name,home_division_name,away_division_name,home_division_short_name,away_division_short_name,home_season,away_season,home_games_played,away_games_played,home_wins,away_wins,home_losses,away_losses,home_win_percent,away_win_percent,home_points_for,away_points_for,home_points_against,away_points_against,home_point_differential,away_point_differential,home_avg_points_for,away_avg_points_for,home_avg_points_against,away_avg_points_against,home_differential,away_differential,home_games_behind,away_games_behind,home_division_games_behind,away_division_games_behind,home_league_win_percent,away_league_win_percent,home_division_win_percent,away_division_win_percent,home_home_wins,away_home_wins,home_home_losses,away_home_losses,home_road_wins,away_road_wins,home_road_losses,away_road_losses,home_streak,away_streak,home_playoff_seed,away_playoff_seed,home_playoff_percent,away_playoff_percent,home_wildcard_percent,away_wildcard_percent,home_total,away_total,home_home,away_home,home_road,away_road,home_intra_division,away_intra_division,home_intra_league,away_intra_league,home_last_ten_games,away_last_ten_games,is_divisional_game
634446,2021-04-21,118,139,KC,TB,Kansas City Royals,Tampa Bay Rays,Royals,Rays,American League,American League,AL,AL,AL Central,AL East,AL Central,AL East,2021,2021,16,18,9,10,7,8,0.562,0.556,70,86,77,89,-7,-3,4.38,4.78,4.81,4.94,-0.44,-0.17,0.0,0.0,0.0,0.0,0.562,0.533,0.5,0.556,7,3,5,4,2,7,2,4,L2,W5,0,0,0.0,0.0,0.0,0.0,9-7,10-8,7-5,3-4,2-2,7-4,2-2,5-4,9-7,8-7,6-4,6-4,False
634504,2021-04-21,147,144,NYY,ATL,New York Yankees,Atlanta Braves,Yankees,Braves,American League,National League,AL,NL,AL East,NL East,AL East,NL East,2021,2021,16,17,6,7,10,10,0.375,0.412,58,82,65,86,-7,-4,3.62,4.82,4.06,5.06,-0.44,-0.24,0.0,0.0,0.0,0.0,0.333,0.438,0.333,0.385,4,3,6,4,2,4,4,6,W1,L1,0,0,0.0,0.0,0.0,0.0,6-10,7-10,4-6,3-4,2-4,4-6,5-10,5-8,5-10,7-9,3-7,4-6,False
634497,2021-04-21,146,110,MIA,BAL,Miami Marlins,Baltimore Orioles,Marlins,Orioles,National League,American League,NL,AL,NL East,AL East,NL East,AL East,2021,2021,16,17,7,8,9,9,0.438,0.471,71,71,70,74,1,-3,4.44,4.18,4.38,4.35,0.06,-0.18,0.0,0.0,0.0,0.0,0.5,0.438,0.667,0.444,3,1,7,6,4,7,2,3,L2,W1,0,0,0.0,0.0,0.0,0.0,7-9,8-9,3-7,1-6,4-2,7-3,4-2,4-5,6-6,7-9,6-4,4-6,False
634476,2021-04-21,135,158,SD,MIL,San Diego Padres,Milwaukee Brewers,Padres,Brewers,National League,National League,NL,NL,NL West,NL Central,NL West,NL Central,2021,2021,19,17,10,10,9,7,0.526,0.588,70,75,65,53,5,22,3.68,4.41,3.42,3.12,0.26,1.29,0.0,0.0,0.0,0.0,0.438,0.643,0.5,0.583,5,4,7,5,5,6,2,2,L2,W2,0,0,0.0,0.0,0.0,0.0,10-9,10-7,5-7,4-5,5-2,6-2,5-5,7-5,7-9,9-5,4-6,7-3,False
634459,2021-04-21,111,141,BOS,TOR,Boston Red Sox,Toronto Blue Jays,Red Sox,Blue Jays,American League,American League,AL,AL,AL East,AL East,AL East,AL East,2021,2021,18,17,12,7,6,10,0.667,0.412,100,68,70,61,30,7,5.56,4.0,3.89,3.59,1.67,0.41,0.0,0.0,0.0,0.0,0.667,0.412,0.7,0.571,6,3,5,3,6,4,1,7,W2,L3,0,0,0.0,0.0,0.0,0.0,12-6,7-10,6-5,3-3,6-1,4-7,7-3,4-3,12-6,7-10,7-3,4-6,True
634453,2021-04-21,112,121,CHC,NYM,Chicago Cubs,New York Mets,Cubs,Mets,National League,National League,NL,NL,NL Central,NL East,NL Central,NL East,2021,2021,16,12,7,7,9,5,0.438,0.583,54,38,75,40,-21,-2,3.38,3.17,4.69,3.33,-1.31,-0.17,0.0,0.0,0.0,0.0,0.438,0.583,0.417,0.625,5,4,5,1,2,3,4,4,W1,L1,0,0,0.0,0.0,0.0,0.0,7-9,7-5,5-5,4-1,2-4,3-4,5-7,5-3,7-9,7-5,4-6,6-4,False
634444,2021-04-21,113,109,CIN,AZ,Cincinnati Reds,Arizona Diamondbacks,Reds,Diamondbacks,National League,National League,NL,NL,NL Central,NL West,NL Central,NL West,2021,2021,15,16,9,6,6,10,0.6,0.375,91,73,67,83,24,-10,6.07,4.56,4.47,5.19,1.6,-0.62,0.0,0.0,0.0,0.0,0.583,0.429,0.833,0.286,7,2,2,3,2,4,4,7,L1,W1,0,0,0.0,0.0,0.0,0.0,9-6,6-10,7-2,2-3,2-4,4-7,5-1,2-5,7-5,6-8,5-5,4-6,False
634390,2021-04-21,116,134,DET,PIT,Detroit Tigers,Pittsburgh Pirates,Tigers,Pirates,American League,National League,AL,NL,AL Central,NL Central,AL Central,NL Central,2021,2021,16,16,6,7,10,9,0.375,0.438,55,65,83,81,-28,-16,3.44,4.06,5.19,5.06,-1.75,-1.0,0.0,0.0,0.0,0.0,0.375,0.438,0.333,0.417,3,4,3,3,3,3,7,6,L4,W1,0,0,0.0,0.0,0.0,0.0,6-10,7-9,3-3,4-3,3-7,3-6,3-6,5-7,6-10,7-9,3-7,6-4,False
634430,2021-04-21,108,140,LAA,TEX,Los Angeles Angels,Texas Rangers,Angels,Rangers,American League,American League,AL,AL,AL West,AL West,AL West,AL West,2021,2021,15,18,9,8,6,10,0.6,0.444,81,67,76,81,5,-14,5.4,3.72,5.07,4.5,0.33,-0.78,0.0,0.0,0.0,0.0,0.6,0.533,0.5,0.5,6,3,3,6,3,5,3,4,W1,L1,0,0,0.0,0.0,0.0,0.0,9-6,8-10,6-3,3-6,3-3,5-4,2-2,1-1,9-6,8-7,5-5,5-5,True
634428,2021-04-21,143,137,PHI,SF,Philadelphia Phillies,San Francisco Giants,Phillies,Giants,National League,National League,NL,NL,NL East,NL West,NL East,NL West,2021,2021,17,17,8,11,9,6,0.471,0.647,64,61,71,53,-7,8,3.76,3.59,4.18,3.12,-0.41,0.47,0.0,0.0,0.0,0.0,0.471,0.714,0.5,0.833,7,5,4,1,1,6,5,5,L2,W3,0,0,0.0,0.0,0.0,0.0,8-9,11-6,7-4,5-1,1-5,6-5,6-6,5-1,8-9,10-4,3-7,7-3,False
