game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_league_name,away_league_name,home_league_short_name,away_league_short_name,home_division_name,away_division_name,home_division_short_name,away_division_short_name,home_season,away_season,home_games_played,away_games_played,home_wins,away_wins,home_losses,away_losses,home_win_percent,away_win_percent,home_points_for,away_points_for,home_points_against,away_points_against,home_point_differential,away_point_differential,home_avg_points_for,away_avg_points_for,home_avg_points_against,away_avg_points_against,home_differential,away_differential,home_games_behind,away_games_behind,home_division_games_behind,away_division_games_behind,home_league_win_percent,away_league_win_percent,home_division_win_percent,away_division_win_percent,home_home_wins,away_home_wins,home_home_losses,away_home_losses,home_road_wins,away_road_wins,home_road_losses,away_road_losses,home_streak,away_streak,home_playoff_seed,away_playoff_seed,home_playoff_percent,away_playoff_percent,home_wildcard_percent,away_wildcard_percent,home_total,away_total,home_home,away_home,home_road,away_road,home_intra_division,away_intra_division,home_intra_league,away_intra_league,home_last_ten_games,away_last_ten_games,is_divisional_game
287730,2011-05-31,139,140,TB,TEX,Tampa Bay Rays,Texas Rangers,Rays,Rangers,American League,American League,AL,AL,AL East,AL West,AL East,AL West,2011,2011,53,54,28,29,25,25,0.528,0.537,227,252,204,221,23,31,4.28,4.67,3.85,4.09,0.43,0.57,0.0,0.0,0.0,0.0,0.54,0.549,0.571,0.5,13,19,15,11,15,10,10,14,L1,W3,0,0,0.0,0.0,0.0,0.0,28-25,29-25,13-15,19-11,15-10,10-14,12-9,9-9,27-23,28-23,3-7,6-4,False
287729,2011-05-31,138,137,STL,SF,St. Louis Cardinals,San Francisco Giants,Cardinals,Giants,National League,National League,NL,NL,NL Central,NL West,NL Central,NL West,2011,2011,55,53,32,29,23,24,0.582,0.547,271,184,227,189,44,-5,4.93,3.47,4.13,3.57,0.8,-0.09,0.0,0.0,0.0,0.0,0.577,0.52,0.55,0.64,14,13,10,8,18,16,13,16,L1,W1,0,0,0.0,0.0,0.0,0.0,32-23,29-24,14-10,13-8,18-13,16-16,11-9,16-9,30-22,26-24,6-4,5-5,False
287728,2011-05-31,144,135,ATL,SD,Atlanta Braves,San Diego Padres,Braves,Padres,National League,National League,NL,NL,NL East,NL West,NL East,NL West,2011,2011,55,54,30,23,25,31,0.545,0.426,212,182,180,208,32,-26,3.85,3.37,3.27,3.85,0.58,-0.48,0.0,0.0,0.0,0.0,0.558,0.451,0.524,0.562,16,9,12,20,14,14,13,11,L1,W3,0,0,0.0,0.0,0.0,0.0,30-25,23-31,16-12,9-20,14-13,14-11,11-10,9-7,29-23,23-28,5-5,4-6,False
287727,2011-05-31,121,134,NYM,PIT,New York Mets,Pittsburgh Pirates,Mets,Pirates,National League,National League,NL,NL,NL East,NL Central,NL East,NL Central,2011,2011,53,52,25,24,28,28,0.472,0.462,219,194,239,205,-20,-11,4.13,3.73,4.51,3.94,-0.38,-0.21,0.0,0.0,0.0,0.0,0.48,0.449,0.458,0.565,12,9,14,14,13,15,14,14,W2,L2,0,0,0.0,0.0,0.0,0.0,25-28,24-28,12-14,9-14,13-14,15-14,11-13,13-10,24-26,22-27,4-6,5-5,False
287726,2011-05-31,120,143,WSH,PHI,Washington Nationals,Philadelphia Phillies,Nationals,Phillies,National League,National League,NL,NL,NL East,NL East,NL East,NL East,2011,2011,53,54,22,34,31,20,0.415,0.63,202,225,224,182,-22,43,3.81,4.17,4.23,3.37,-0.42,0.8,0.0,0.0,0.0,0.0,0.42,0.627,0.367,0.633,12,19,12,10,10,15,19,10,L3,W1,0,0,0.0,0.0,0.0,0.0,22-31,34-20,12-12,19-10,10-19,15-10,11-19,19-11,21-29,32-19,2-8,7-3,True
287725,2011-05-31,133,147,OAK,NYY,Oakland Athletics,New York Yankees,Athletics,Yankees,American League,American League,AL,AL,AL West,AL East,AL West,AL East,2011,2011,55,52,27,29,28,23,0.491,0.558,197,269,190,209,7,60,3.58,5.17,3.45,4.02,0.13,1.15,0.0,0.0,0.0,0.0,0.519,0.551,0.545,0.591,14,17,13,13,13,12,15,10,L1,W2,0,0,0.0,0.0,0.0,0.0,27-28,29-23,14-13,17-13,13-15,12-10,12-10,13-9,27-25,27-22,5-5,6-4,False
287724,2011-05-31,116,142,DET,MIN,Detroit Tigers,Minnesota Twins,Tigers,Twins,American League,American League,AL,AL,AL Central,AL Central,AL Central,AL Central,2011,2011,53,52,27,17,26,35,0.509,0.327,226,180,236,270,-10,-90,4.26,3.46,4.45,5.19,-0.19,-1.73,0.0,0.0,0.0,0.0,0.52,0.347,0.643,0.417,15,6,11,15,12,11,15,20,W2,L2,0,0,0.0,0.0,0.0,0.0,27-26,17-35,15-11,6-15,12-15,11-20,9-5,5-7,26-24,17-32,5-5,2-8,True
287723,2011-05-31,113,158,CIN,MIL,Cincinnati Reds,Milwaukee Brewers,Reds,Brewers,National League,National League,NL,NL,NL Central,NL Central,NL Central,NL Central,2011,2011,55,54,28,29,27,25,0.509,0.537,273,229,255,218,18,11,4.96,4.24,4.64,4.04,0.33,0.2,0.0,0.0,0.0,0.0,0.538,0.537,0.636,0.5,16,21,11,7,12,8,16,18,W1,L1,0,0,0.0,0.0,0.0,0.0,28-27,29-25,16-11,21-7,12-16,8-18,21-12,12-12,28-24,29-25,3-7,8-2,True
287721,2011-05-31,109,146,AZ,FLA,Arizona Diamondbacks,Miami Marlins,Diamondbacks,Marlins,National League,National League,NL,NL,NL West,NL East,NL West,NL East,2011,2011,54,52,30,30,24,22,0.556,0.577,258,215,236,213,22,2,4.78,4.13,4.37,4.1,0.41,0.04,0.0,0.0,0.0,0.0,0.529,0.571,0.478,0.524,17,14,10,12,13,16,14,10,W6,L2,0,0,0.0,0.0,0.0,0.0,30-24,30-22,17-10,14-12,13-14,16-10,11-12,11-10,27-24,28-21,9-1,6-4,False
287720,2011-05-31,119,115,LAD,COL,Los Angeles Dodgers,Colorado Rockies,Dodgers,Rockies,National League,National League,NL,NL,NL West,NL West,NL West,NL West,2011,2011,55,53,25,25,30,28,0.455,0.472,194,239,227,228,-33,11,3.53,4.51,4.13,4.3,-0.6,0.21,0.0,0.0,0.0,0.0,0.462,0.472,0.429,0.391,14,13,15,15,11,12,15,13,W2,L2,0,0,0.0,0.0,0.0,0.0,25-30,25-28,14-15,13-15,11-15,12-13,9-12,9-14,24-28,25-28,5-5,2-8,True
287719,2011-05-31,141,114,TOR,CLE,Toronto Blue Jays,Cleveland Guardians,Blue Jays,Guardians,American League,American League,AL,AL,AL East,AL Central,AL East,AL Central,2011,2011,54,51,28,31,26,20,0.519,0.608,260,243,230,208,30,35,4.81,4.76,4.26,4.08,0.56,0.69,0.0,0.0,0.0,0.0,0.529,0.583,0.409,0.579,15,19,12,6,13,12,14,14,W4,L2,0,0,0.0,0.0,0.0,0.0,28-26,31-20,15-12,19-6,13-14,12-14,9-13,11-8,27-24,28-20,6-4,5-5,False
287718,2011-05-31,111,145,BOS,CWS,Boston Red Sox,Chicago White Sox,Red Sox,White Sox,American League,American League,AL,AL,AL East,AL Central,AL East,AL Central,2011,2011,54,56,30,25,24,31,0.556,0.446,256,227,228,244,28,-17,4.74,4.05,4.22,4.36,0.52,-0.3,0.0,0.0,0.0,0.0,0.549,0.434,0.556,0.417,16,10,11,13,14,15,13,18,L2,W1,0,0,0.0,0.0,0.0,0.0,30-24,25-31,16-11,10-13,14-13,15-18,10-8,5-7,28-23,23-30,6-4,5-5,False
287717,2011-05-31,136,110,SEA,BAL,Seattle Mariners,Baltimore Orioles,Mariners,Orioles,American League,American League,AL,AL,AL West,AL East,AL West,AL East,2011,2011,53,52,27,24,26,28,0.509,0.462,190,212,200,252,-10,-40,3.58,4.08,3.77,4.85,-0.19,-0.77,0.0,0.0,0.0,0.0,0.48,0.449,0.533,0.368,14,15,13,14,13,9,13,14,W1,L4,0,0,0.0,0.0,0.0,0.0,27-26,24-28,14-13,15-14,13-13,9-14,8-7,7-12,24-26,22-27,8-2,5-5,False
287716,2011-05-31,118,108,KC,LAA,Kansas City Royals,Los Angeles Angels,Royals,Angels,American League,American League,AL,AL,AL Central,AL West,AL Central,AL West,2011,2011,53,56,23,29,30,27,0.434,0.518,245,223,272,214,-27,9,4.62,3.98,5.13,3.82,-0.51,0.16,0.0,0.0,0.0,0.0,0.44,0.509,0.429,0.412,17,13,14,13,6,16,16,14,L3,W2,0,0,0.0,0.0,0.0,0.0,23-30,29-27,17-14,13-13,6-16,16-14,9-12,7-10,22-28,27-26,2-8,6-4,False
287722,2011-05-31,112,117,CHC,HOU,Chicago Cubs,Houston Astros,Cubs,Astros,National League,National League,NL,NL,NL Central,NL Central,NL Central,NL Central,2011,2011,52,54,23,20,29,34,0.442,0.37,226,221,265,277,-39,-56,4.35,4.09,5.1,5.13,-0.75,-1.04,0.0,0.0,0.0,0.0,0.449,0.353,0.333,0.37,12,11,17,17,11,9,12,17,L1,W1,0,0,0.0,0.0,0.0,0.0,23-29,20-34,12-17,11-17,11-12,9-17,7-14,10-17,22-27,18-33,4-6,5-5,True
