Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2020-08-22,STL,CIN,3,0,-119,-101,-132,122,9.5,9.5,9.5,9.5,-119,-101,104,-117
2020-08-22,CHC,CHW,4,7,-175,157,-180,164,9.5,9.5,10.5,10.5,-120,100,-110,-103
2020-08-22,CLE,DET,6,1,-175,151,-169,154,10.0,10.0,9.0,9.0,100,-120,-116,103
2020-08-22,SD,HOU,13,2,-125,105,-127,117,8.5,8.5,9.5,9.5,-110,-110,-113,101
2020-08-22,SF,ARI,5,1,144,-165,151,-164,9.0,9.0,8.5,8.5,-110,-110,-107,-105
2020-08-22,TB,TOR,2,1,101,-111,109,-118,8.5,8.5,9.0,9.0,-119,-101,101,-114
2020-08-22,WAS,MIA,5,4,-240,213,-250,207,6.5,6.5,6.5,6.5,-110,-110,-110,-110
2020-08-22,OAK,LAA,3,4,-155,135,-142,131,9.5,9.5,10.0,10.0,-119,-101,-103,-109
2020-08-22,ATL,PHI,6,5,110,-130,105,-113,9.0,9.0,9.0,9.0,-119,-101,-116,103
2020-08-22,LAD,COL,4,3,-205,172,-212,192,9.5,9.5,8.5,8.5,-105,-115,-100,-112
2020-08-22,SEA,TEX,10,1,-130,110,-133,123,9.0,9.0,8.5,8.5,-115,-105,-109,-103
2020-08-22,KC,MIN,2,7,148,-170,135,-147,9.0,9.0,9.5,9.5,-101,-119,-110,-102
2020-08-22,BAL,BOS,5,4,-101,-119,-103,-105,9.5,9.5,9.5,9.5,100,-120,-114,102
2020-08-22,PIT,MIL,12,5,144,-165,151,-164,9.5,9.5,9.5,9.5,-110,-110,-103,-109
2020-08-22,MIA,WAS,5,3,135,-150,135,-150,7.5,7.5,7.5,7.5,-110,-110,-115,-105
