Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2020-09-05,BAL,NYY,6,1,215,-260,211,-235,9.0,9.0,8.5,8.5,-120,100,-114,102
2020-09-05,MIN,DET,4,3,-235,195,-305,269,8.5,8.5,8.5,8.5,-115,-105,-101,-111
2020-09-05,KC,CHW,3,5,184,-220,198,-219,9.0,9.0,9.5,9.5,-120,100,103,-116
2020-09-05,ATL,WAS,4,10,-240,199,-273,243,9.0,9.0,9.5,9.5,-110,-110,-104,-108
2020-09-05,NYM,PHI,5,1,-140,120,-155,143,9.5,9.5,9.0,9.0,-120,100,-110,-102
2020-09-05,OAK,SD,8,4,-110,-110,-120,111,9.0,9.0,9.0,9.0,100,-120,102,-115
2020-09-05,CLE,MIL,4,3,-120,100,-110,102,8.0,8.0,8.0,8.0,-110,-110,104,-116
2020-09-05,CHC,STL,2,4,-105,-105,-110,101,6.0,6.0,6.0,6.0,-110,-110,-112,-101
2020-09-05,SEA,TEX,5,3,-150,130,-140,129,8.5,8.5,8.0,8.0,-115,-105,-111,-101
2020-09-05,BOS,TOR,9,8,122,-135,116,-125,10.5,10.5,10.5,10.5,-110,-110,-112,-100
2020-09-05,LAD,COL,2,5,-215,180,-179,164,8.5,8.5,9.5,9.5,-120,100,105,-118
2020-09-05,TB,MIA,3,7,-235,195,-214,194,7.5,7.5,7.5,7.5,100,-120,-108,-104
2020-09-05,LAA,HOU,10,9,-102,-107,-108,-101,7.0,7.0,7.5,7.5,-125,105,-120,107
2020-09-05,SF,ARI,4,3,-120,100,-133,122,8.5,8.5,9.5,9.5,-120,100,-107,-105
2020-09-05,PIT,CIN,2,6,120,-140,113,-123,9.5,9.5,9.5,9.5,100,-120,-107,-105
2020-09-05,STL,CHC,5,1,105,-115,-107,-101,7.0,7.0,7.0,7.0,-105,-115,103,-116
2020-09-05,HOU,LAA,6,7,-140,126,-164,150,7.5,7.5,7.5,7.5,-110,-110,-108,-104
