game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
716396,2023-09-28,158,138,MIL,STL,Brewers,Cardinals,Milwaukee Brewers,St. Louis Cardinals,0,0,regular,regular,2023,2023,159,161,28,33,3,0,8,6,3,2,0,0,0,0,2,0,11,8,4,3,5,9,0,0,0.239,0.249,0.318,0.325,0.384,0.415,0.702,0.74,1,0,0,1,3.7,4.73,9.0,8.0,6,8,0,3,0,0,3,4,9,5,0.0,0.0,1.18,1.45,1,0,2023-09-28
716397,2023-09-28,136,140,SEA,TEX,Mariners,Rangers,Seattle Mariners,Texas Rangers,0,0,regular,regular,2023,2023,159,159,33,30,3,2,8,3,2,0,0,0,1,2,3,2,13,9,4,1,8,9,1,0,0.243,0.265,0.323,0.338,0.414,0.457,0.737,0.795,1,0,0,1,3.77,4.29,9.0,8.6667,3,8,2,3,2,1,1,4,9,8,0.0,0.0,1.19,1.27,0,0,2023-09-28
716399,2023-09-28,144,112,ATL,CHC,Braves,Cubs,Atlanta Braves,Chicago Cubs,0,0,regular,regular,2023,2023,164,160,31,33,5,3,6,6,2,1,1,0,1,0,5,3,13,7,3,2,10,10,0,1,0.274,0.255,0.342,0.33,0.501,0.42,0.843,0.75,1,0,0,1,4.08,4.07,9.0,8.0,6,6,3,3,0,1,2,3,10,10,0.0,0.0,1.29,1.28,0,2,2023-09-28
716400,2023-09-28,142,133,MIN,OAK,Twins,Athletics,Minnesota Twins,Oakland Athletics,0,0,regular,regular,2023,2023,160,159,30,31,1,2,4,4,1,0,0,0,0,1,0,2,5,7,6,3,7,12,0,0,0.242,0.223,0.324,0.298,0.425,0.371,0.749,0.669,0,1,1,0,3.86,5.49,9.0,9.0,4,4,2,1,1,0,3,6,12,7,0.0,0.0,1.19,1.52,0,0,2023-09-28
716401,2023-09-28,116,118,DET,KC,Tigers,Royals,Detroit Tigers,Kansas City Royals,0,0,regular,regular,2023,2023,168,162,33,34,7,3,10,6,0,1,2,0,1,1,7,3,17,10,5,2,9,9,0,1,0.235,0.242,0.303,0.301,0.379,0.394,0.682,0.695,1,0,0,1,4.27,5.19,9.0,8.0,6,10,2,7,1,1,2,5,9,9,0.0,0.0,1.24,1.41,1,0,2023-09-28
716402,2023-09-28,110,111,BAL,BOS,Orioles,Red Sox,Baltimore Orioles,Boston Red Sox,0,0,regular,regular,2023,2023,161,164,26,31,2,0,4,3,1,0,0,0,1,0,2,0,8,3,3,1,5,10,0,1,0.257,0.259,0.323,0.325,0.425,0.427,0.748,0.752,1,0,0,1,3.93,4.58,9.0,8.0,3,4,0,2,0,1,1,3,10,5,0.0,0.0,1.24,1.35,1,0,2023-09-28
716403,2023-09-28,141,147,TOR,NYY,Blue Jays,Yankees,Toronto Blue Jays,New York Yankees,0,0,regular,regular,2023,2023,160,166,36,34,6,0,13,7,1,2,0,0,3,0,6,0,23,9,2,1,10,13,2,1,0.255,0.226,0.328,0.303,0.414,0.398,0.742,0.701,1,0,0,1,3.72,3.92,9.0,8.0,7,13,0,6,0,3,1,2,13,10,0.0,0.0,1.24,1.23,0,0,2023-09-28
716405,2023-09-28,115,119,COL,LAD,Rockies,Dodgers,Colorado Rockies,Los Angeles Dodgers,0,0,regular,regular,2023,2023,160,160,43,37,14,5,18,12,6,0,1,0,3,2,14,4,35,18,2,2,5,5,2,0,0.249,0.258,0.31,0.341,0.403,0.456,0.713,0.797,1,0,0,1,5.64,4.09,9.0,8.0,12,18,5,14,2,3,2,2,5,5,0.0,0.0,1.54,1.21,1,3,2023-09-28
716409,2023-09-28,143,134,PHI,PIT,Phillies,Pirates,Philadelphia Phillies,Pittsburgh Pirates,0,0,regular,regular,2023,2023,164,161,33,37,2,3,5,11,2,2,0,0,1,0,1,3,10,13,3,2,8,10,1,0,0.256,0.239,0.327,0.314,0.439,0.392,0.766,0.706,0,1,1,0,4.01,4.62,9.0,9.0,11,5,3,2,0,1,2,3,10,8,0.0,0.0,1.24,1.38,0,2,2023-09-28
716414,2023-09-28,116,118,DET,KC,Tigers,Royals,Detroit Tigers,Kansas City Royals,0,0,regular,regular,2023,2023,167,161,31,31,8,0,8,4,1,1,0,0,3,0,8,0,18,5,6,0,8,10,0,0,0.234,0.242,0.303,0.301,0.378,0.394,0.681,0.695,1,0,0,1,4.29,5.17,9.0,8.0,4,8,0,8,0,3,0,6,10,8,0.0,0.0,1.25,1.41,0,0,2023-09-28
716443,2023-09-28,145,109,CWS,AZ,White Sox,D-backs,Chicago White Sox,Arizona Diamondbacks,0,0,regular,regular,2023,2023,164,162,27,29,3,1,3,3,0,0,0,1,2,0,3,1,9,5,1,4,8,8,0,2,0.239,0.251,0.292,0.323,0.385,0.412,0.677,0.735,1,0,0,1,4.91,4.51,9.0,8.0,3,3,1,3,0,2,4,1,8,8,0.0,0.0,1.42,1.33,0,0,2023-09-28
